"","sex","isic","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","Agricultura, ganadería, caza y silvicultura","Algarrobo",1,2012,251405
"2","Hombre","Agricultura, ganadería, caza y silvicultura","Alhué",2,2011,10026
"3","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2010,149905
"4","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2011,180000
"5","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2012,182717
"6","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2013,179063
"7","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2014,96015
"8","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2015,196370
"9","Hombre","Agricultura, ganadería, caza y silvicultura","Alto Hospicio",5,2010,49966
"10","Hombre","Agricultura, ganadería, caza y silvicultura","Alto Hospicio",5,2012,181012
"11","Hombre","Agricultura, ganadería, caza y silvicultura","Alto Hospicio",5,2014,180000
"12","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2010,49993
"13","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2011,49956
"14","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2012,40180
"15","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2013,49811
"16","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2014,166245
"17","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2015,155729
"18","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2010,110108
"19","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2011,25272
"20","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2012,33185
"21","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2013,256347
"22","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2014,30126
"23","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2015,12049
"24","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2010,140000
"25","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2011,185083
"26","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2012,168380
"27","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2013,169891
"28","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2014,172484
"29","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2015,130873
"30","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",9,2011,140677
"31","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",9,2012,300000
"32","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",9,2014,60000
"33","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",9,2015,330089
"34","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2010,37142
"35","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2011,67483
"36","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2012,70000
"37","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2013,49928
"38","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2014,99981
"39","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2015,60016
"40","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2010,59959
"41","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2011,206663
"42","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2012,240402
"43","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2013,120000
"44","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2014,190000
"45","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2015,100027
"46","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2010,146879
"47","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2011,199979
"48","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2012,190030
"49","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2013,209079
"50","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2014,213045
"51","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2015,286828
"52","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2010,99932
"53","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2011,104664
"54","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2012,114313
"55","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2013,179320
"56","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2014,199962
"57","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2015,100027
"58","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2010,172468
"59","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2011,184409
"60","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2012,182821
"61","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2013,200271
"62","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2014,225000
"63","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2015,218247
"64","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2010,129667
"65","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2011,150642
"66","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2012,155122
"67","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2013,160000
"68","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2014,180000
"69","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2015,210856
"70","Hombre","Agricultura, ganadería, caza y silvicultura","Cabildo",16,2010,180000
"71","Hombre","Agricultura, ganadería, caza y silvicultura","Cabildo",16,2011,120580
"72","Hombre","Agricultura, ganadería, caza y silvicultura","Cabildo",16,2012,194085
"73","Hombre","Agricultura, ganadería, caza y silvicultura","Cabildo",16,2013,179320
"74","Hombre","Agricultura, ganadería, caza y silvicultura","Cabildo",16,2014,199962
"75","Hombre","Agricultura, ganadería, caza y silvicultura","Cabildo",16,2015,265072
"76","Hombre","Agricultura, ganadería, caza y silvicultura","Cabrero",18,2010,109925
"77","Hombre","Agricultura, ganadería, caza y silvicultura","Cabrero",18,2011,79744
"78","Hombre","Agricultura, ganadería, caza y silvicultura","Cabrero",18,2012,197176
"79","Hombre","Agricultura, ganadería, caza y silvicultura","Cabrero",18,2013,204284
"80","Hombre","Agricultura, ganadería, caza y silvicultura","Cabrero",18,2014,159970
"81","Hombre","Agricultura, ganadería, caza y silvicultura","Cabrero",18,2015,81802
"82","Hombre","Agricultura, ganadería, caza y silvicultura","Calama",19,2011,105000
"83","Hombre","Agricultura, ganadería, caza y silvicultura","Calama",19,2012,220000
"84","Hombre","Agricultura, ganadería, caza y silvicultura","Calama",19,2013,220000
"85","Hombre","Agricultura, ganadería, caza y silvicultura","Calama",19,2014,170712
"86","Hombre","Agricultura, ganadería, caza y silvicultura","Calama",19,2015,200815
"87","Hombre","Agricultura, ganadería, caza y silvicultura","Calbuco",20,2010,74072
"88","Hombre","Agricultura, ganadería, caza y silvicultura","Calbuco",20,2011,94956
"89","Hombre","Agricultura, ganadería, caza y silvicultura","Calbuco",20,2012,76112
"90","Hombre","Agricultura, ganadería, caza y silvicultura","Calbuco",20,2013,63275
"91","Hombre","Agricultura, ganadería, caza y silvicultura","Calbuco",20,2014,60251
"92","Hombre","Agricultura, ganadería, caza y silvicultura","Calbuco",20,2015,100380
"93","Hombre","Agricultura, ganadería, caza y silvicultura","Calera",22,2010,153350
"94","Hombre","Agricultura, ganadería, caza y silvicultura","Calera",22,2011,90709
"95","Hombre","Agricultura, ganadería, caza y silvicultura","Calera",22,2012,90406
"96","Hombre","Agricultura, ganadería, caza y silvicultura","Calera",22,2013,120000
"97","Hombre","Agricultura, ganadería, caza y silvicultura","Calera",22,2014,219175
"98","Hombre","Agricultura, ganadería, caza y silvicultura","Calera",22,2015,98027
"99","Hombre","Agricultura, ganadería, caza y silvicultura","Calera de Tango",23,2010,180176
"100","Hombre","Agricultura, ganadería, caza y silvicultura","Calera de Tango",23,2011,185894
"101","Hombre","Agricultura, ganadería, caza y silvicultura","Calera de Tango",23,2012,271518
"102","Hombre","Agricultura, ganadería, caza y silvicultura","Calera de Tango",23,2013,80108
"103","Hombre","Agricultura, ganadería, caza y silvicultura","Calera de Tango",23,2014,181876
"104","Hombre","Agricultura, ganadería, caza y silvicultura","Calera de Tango",23,2015,284153
"105","Hombre","Agricultura, ganadería, caza y silvicultura","Calle Larga",24,2010,130202
"106","Hombre","Agricultura, ganadería, caza y silvicultura","Calle Larga",24,2011,199093
"107","Hombre","Agricultura, ganadería, caza y silvicultura","Calle Larga",24,2012,50281
"108","Hombre","Agricultura, ganadería, caza y silvicultura","Calle Larga",24,2013,176798
"109","Hombre","Agricultura, ganadería, caza y silvicultura","Calle Larga",24,2014,211073
"110","Hombre","Agricultura, ganadería, caza y silvicultura","Calle Larga",24,2015,244952
"111","Hombre","Agricultura, ganadería, caza y silvicultura","Camarones",25,2010,61596
"112","Hombre","Agricultura, ganadería, caza y silvicultura","Camarones",25,2011,76268
"113","Hombre","Agricultura, ganadería, caza y silvicultura","Camarones",25,2012,48584
"114","Hombre","Agricultura, ganadería, caza y silvicultura","Camarones",25,2013,32044
"115","Hombre","Agricultura, ganadería, caza y silvicultura","Camiña",26,2011,32615
"116","Hombre","Agricultura, ganadería, caza y silvicultura","Camiña",26,2012,38439
"117","Hombre","Agricultura, ganadería, caza y silvicultura","Camiña",26,2013,65088
"118","Hombre","Agricultura, ganadería, caza y silvicultura","Camiña",26,2014,125000
"119","Hombre","Agricultura, ganadería, caza y silvicultura","Camiña",26,2015,41666
"120","Hombre","Agricultura, ganadería, caza y silvicultura","Canela",27,2010,70244
"121","Hombre","Agricultura, ganadería, caza y silvicultura","Canela",27,2011,64792
"122","Hombre","Agricultura, ganadería, caza y silvicultura","Canela",27,2012,36750
"123","Hombre","Agricultura, ganadería, caza y silvicultura","Canela",27,2013,18940
"124","Hombre","Agricultura, ganadería, caza y silvicultura","Canela",27,2014,16743
"125","Hombre","Agricultura, ganadería, caza y silvicultura","Canela",27,2015,60325
"126","Hombre","Agricultura, ganadería, caza y silvicultura","Cañete",28,2010,83745
"127","Hombre","Agricultura, ganadería, caza y silvicultura","Cañete",28,2011,83306
"128","Hombre","Agricultura, ganadería, caza y silvicultura","Cañete",28,2012,150730
"129","Hombre","Agricultura, ganadería, caza y silvicultura","Cañete",28,2013,116363
"130","Hombre","Agricultura, ganadería, caza y silvicultura","Cañete",28,2014,78995
"131","Hombre","Agricultura, ganadería, caza y silvicultura","Cañete",28,2015,118000
"132","Hombre","Agricultura, ganadería, caza y silvicultura","Carahue",29,2010,60899
"133","Hombre","Agricultura, ganadería, caza y silvicultura","Carahue",29,2011,46237
"134","Hombre","Agricultura, ganadería, caza y silvicultura","Carahue",29,2012,63965
"135","Hombre","Agricultura, ganadería, caza y silvicultura","Carahue",29,2013,47834
"136","Hombre","Agricultura, ganadería, caza y silvicultura","Carahue",29,2014,65621
"137","Hombre","Agricultura, ganadería, caza y silvicultura","Carahue",29,2015,58380
"138","Hombre","Agricultura, ganadería, caza y silvicultura","Cartagena",30,2010,41888
"139","Hombre","Agricultura, ganadería, caza y silvicultura","Cartagena",30,2013,379760
"140","Hombre","Agricultura, ganadería, caza y silvicultura","Cartagena",30,2014,319940
"141","Hombre","Agricultura, ganadería, caza y silvicultura","Casablanca",31,2011,181418
"142","Hombre","Agricultura, ganadería, caza y silvicultura","Casablanca",31,2012,120541
"143","Hombre","Agricultura, ganadería, caza y silvicultura","Casablanca",31,2014,191475
"144","Hombre","Agricultura, ganadería, caza y silvicultura","Casablanca",31,2015,185754
"145","Hombre","Agricultura, ganadería, caza y silvicultura","Castro",32,2010,50348
"146","Hombre","Agricultura, ganadería, caza y silvicultura","Castro",32,2011,57497
"147","Hombre","Agricultura, ganadería, caza y silvicultura","Castro",32,2012,42869
"148","Hombre","Agricultura, ganadería, caza y silvicultura","Castro",32,2013,79834
"149","Hombre","Agricultura, ganadería, caza y silvicultura","Castro",32,2014,77886
"150","Hombre","Agricultura, ganadería, caza y silvicultura","Castro",32,2015,180327
"151","Hombre","Agricultura, ganadería, caza y silvicultura","Catemu",33,2010,175271
"152","Hombre","Agricultura, ganadería, caza y silvicultura","Catemu",33,2011,177519
"153","Hombre","Agricultura, ganadería, caza y silvicultura","Catemu",33,2012,67879
"154","Hombre","Agricultura, ganadería, caza y silvicultura","Catemu",33,2013,100136
"155","Hombre","Agricultura, ganadería, caza y silvicultura","Catemu",33,2014,208754
"156","Hombre","Agricultura, ganadería, caza y silvicultura","Catemu",33,2015,264300
"157","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes",34,2010,133819
"158","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes",34,2011,147663
"159","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes",34,2012,138390
"160","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes",34,2013,178041
"161","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes",34,2014,177135
"162","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes",34,2015,172404
"163","Hombre","Agricultura, ganadería, caza y silvicultura","Cerrillos",35,2013,250000
"164","Hombre","Agricultura, ganadería, caza y silvicultura","Cerrillos",35,2014,80834
"165","Hombre","Agricultura, ganadería, caza y silvicultura","Cerrillos",35,2015,400108
"166","Hombre","Agricultura, ganadería, caza y silvicultura","Cerro Navia",36,2010,119918
"167","Hombre","Agricultura, ganadería, caza y silvicultura","Cerro Navia",36,2011,199361
"168","Hombre","Agricultura, ganadería, caza y silvicultura","Cerro Navia",36,2012,251405
"169","Hombre","Agricultura, ganadería, caza y silvicultura","Cerro Navia",36,2014,121251
"170","Hombre","Agricultura, ganadería, caza y silvicultura","Chañaral",39,2013,315427
"171","Hombre","Agricultura, ganadería, caza y silvicultura","Chanco",38,2010,35514
"172","Hombre","Agricultura, ganadería, caza y silvicultura","Chanco",38,2011,59959
"173","Hombre","Agricultura, ganadería, caza y silvicultura","Chanco",38,2012,100562
"174","Hombre","Agricultura, ganadería, caza y silvicultura","Chanco",38,2013,117406
"175","Hombre","Agricultura, ganadería, caza y silvicultura","Chanco",38,2014,111146
"176","Hombre","Agricultura, ganadería, caza y silvicultura","Chanco",38,2015,138661
