"","sex","isic","year","lb_weighted_median"
"1","Hombre","1",2010,170166
"2","Hombre","1",2012,194085
"3","Hombre","10",2010,500489
"4","Hombre","10",2012,514160
"5","Hombre","11",2010,330927
"6","Hombre","11",2012,400857
"7","Hombre","12",2010,399726
"8","Hombre","12",2012,454968
"9","Hombre","13",2010,379784
"10","Hombre","13",2012,419137
"11","Hombre","14",2010,372455
"12","Hombre","14",2012,447678
"13","Hombre","15",2010,199863
"14","Hombre","15",2012,201124
"15","Hombre","16",2010,150147
"16","Hombre","16",2012,209408
"17","Hombre","17",2010,160000
"18","Hombre","17",2012,182431
"19","Hombre","2",2010,180649
"20","Hombre","2",2012,200000
"21","Hombre","3",2010,517881
"22","Hombre","3",2012,568488
"23","Hombre","4",2010,250245
"24","Hombre","4",2012,301353
"25","Hombre","5",2010,250245
"26","Hombre","5",2012,318713
"27","Hombre","6",2010,219850
"28","Hombre","6",2012,281411
"29","Hombre","8",2010,217271
"30","Hombre","8",2012,260557
"31","Hombre","9",2010,270264
"32","Hombre","9",2012,301511
"33","Hombre","Comercio al por mayor y al por menor;reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos",2010,200196
"34","Hombre","Comercio al por mayor y al por menor;reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos",2011,236104
"35","Hombre","Comercio al por mayor y al por menor;reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos",2012,260557
"36","Hombre","Comercio al por mayor y al por menor;reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos",2015,301222
"37","Hombre","Actividades inmobiliarias, empresariales y de alquiler",2011,336373
"38","Hombre","Actividades inmobiliarias, empresariales y de alquiler",2013,420212
"39","Hombre","Actividades inmobiliarias, empresariales y de alquiler",2014,454690
"40","Hombre","Actividades inmobiliarias, empresariales y de alquiler",2015,500135
"41","Hombre","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2011,398721
"42","Hombre","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2013,500678
"43","Hombre","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2014,528428
"44","Hombre","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2015,600000
"45","Hombre","Agricultura, ganadería, caza y silvicultura",2011,182000
"46","Hombre","Agricultura, ganadería, caza y silvicultura",2013,210000
"47","Hombre","Agricultura, ganadería, caza y silvicultura",2014,225000
"48","Hombre","Agricultura, ganadería, caza y silvicultura",2015,241982
"49","Hombre","Construcción",2011,250000
"50","Hombre","Construcción",2013,298867
"51","Hombre","Construcción",2014,313939
"52","Hombre","Construcción",2015,350095
"53","Hombre","Enseñanza",2011,400000
"54","Hombre","Enseñanza",2013,400000
"55","Hombre","Enseñanza",2014,453371
"56","Hombre","Enseñanza",2015,503546
"57","Hombre","Explotación de minas y canteras",2011,502417
"58","Hombre","Explotación de minas y canteras",2013,628814
"59","Hombre","Explotación de minas y canteras",2014,646670
"60","Hombre","Explotación de minas y canteras",2015,700041
"61","Hombre","Hogares privados con servicio doméstico",2011,180197
"62","Hombre","Hogares privados con servicio doméstico",2013,210285
"63","Hombre","Hogares privados con servicio doméstico",2014,250327
"64","Hombre","Hogares privados con servicio doméstico",2015,270454
"65","Hombre","Hoteles y restaurantes",2011,240894
"66","Hombre","Hoteles y restaurantes",2013,259252
"67","Hombre","Hoteles y restaurantes",2014,287724
"68","Hombre","Hoteles y restaurantes",2015,316841
"69","Hombre","Industrias manufactureras",2011,279530
"70","Hombre","Industrias manufactureras",2013,340461
"71","Hombre","Industrias manufactureras",2014,349970
"72","Hombre","Industrias manufactureras",2015,385104
"73","Hombre","Intermediación financiera",2011,537256
"74","Hombre","Intermediación financiera",2013,610353
"75","Hombre","Intermediación financiera",2014,608127
"76","Hombre","Intermediación financiera",2015,702847
"77","Hombre","Organizaciones y organos extraterritoriales",2011,533159
