"","sex","isic","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta","p21",2011,140677
"2","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta","p21",2012,300000
"3","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta","p21",2013,1001356
"4","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta","p21",2014,60000
"5","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta","p21",2015,330089
"6","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco","p82",2010,125122
"7","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco","p82",2011,149748
"8","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco","p82",2012,199556
"9","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco","p82",2013,170000
"10","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco","p82",2014,190140
"11","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco","p82",2015,273555
"12","Hombre","Agricultura, ganadería, caza y silvicultura","Arica","p151",2010,148886
"13","Hombre","Agricultura, ganadería, caza y silvicultura","Arica","p151",2011,191767
"14","Hombre","Agricultura, ganadería, caza y silvicultura","Arica","p151",2012,190030
"15","Hombre","Agricultura, ganadería, caza y silvicultura","Arica","p151",2013,206705
"16","Hombre","Agricultura, ganadería, caza y silvicultura","Arica","p151",2014,213045
"17","Hombre","Agricultura, ganadería, caza y silvicultura","Arica","p151",2015,286828
"18","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén","p112",2010,111897
"19","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén","p112",2011,143895
"20","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén","p112",2012,215374
"21","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén","p112",2013,220298
"22","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén","p112",2014,200000
"23","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén","p112",2015,130839
"24","Hombre","Agricultura, ganadería, caza y silvicultura","Bíobío","p83",2010,168680
"25","Hombre","Agricultura, ganadería, caza y silvicultura","Bíobío","p83",2011,130000
"26","Hombre","Agricultura, ganadería, caza y silvicultura","Bíobío","p83",2012,190653
"27","Hombre","Agricultura, ganadería, caza y silvicultura","Bíobío","p83",2013,180000
"28","Hombre","Agricultura, ganadería, caza y silvicultura","Bíobío","p83",2014,185316
"29","Hombre","Agricultura, ganadería, caza y silvicultura","Bíobío","p83",2015,202726
"30","Hombre","Agricultura, ganadería, caza y silvicultura","Cachapoal","p61",2010,180000
"31","Hombre","Agricultura, ganadería, caza y silvicultura","Cachapoal","p61",2011,190603
"32","Hombre","Agricultura, ganadería, caza y silvicultura","Cachapoal","p61",2012,199233
"33","Hombre","Agricultura, ganadería, caza y silvicultura","Cachapoal","p61",2013,210146
"34","Hombre","Agricultura, ganadería, caza y silvicultura","Cachapoal","p61",2014,240720
"35","Hombre","Agricultura, ganadería, caza y silvicultura","Cachapoal","p61",2015,241065
"36","Hombre","Agricultura, ganadería, caza y silvicultura","Capitán Prat","p113",2010,129770
"37","Hombre","Agricultura, ganadería, caza y silvicultura","Capitán Prat","p113",2011,133000
"38","Hombre","Agricultura, ganadería, caza y silvicultura","Capitán Prat","p113",2012,63284
"39","Hombre","Agricultura, ganadería, caza y silvicultura","Cardenal Caro","p62",2010,169487
"40","Hombre","Agricultura, ganadería, caza y silvicultura","Cardenal Caro","p62",2011,183329
"41","Hombre","Agricultura, ganadería, caza y silvicultura","Cardenal Caro","p62",2012,183922
"42","Hombre","Agricultura, ganadería, caza y silvicultura","Cardenal Caro","p62",2013,209207
"43","Hombre","Agricultura, ganadería, caza y silvicultura","Cardenal Caro","p62",2014,235302
"44","Hombre","Agricultura, ganadería, caza y silvicultura","Cardenal Caro","p62",2015,256450
"45","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes","p72",2010,124442
"46","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes","p72",2011,146530
"47","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes","p72",2012,157178
"48","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes","p72",2013,151259
"49","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes","p72",2014,174168
"50","Hombre","Agricultura, ganadería, caza y silvicultura","Cauquenes","p72",2015,165000
"51","Hombre","Agricultura, ganadería, caza y silvicultura","Cautín","p91",2010,62637
"52","Hombre","Agricultura, ganadería, caza y silvicultura","Cautín","p91",2011,60232
"53","Hombre","Agricultura, ganadería, caza y silvicultura","Cautín","p91",2012,81394
"54","Hombre","Agricultura, ganadería, caza y silvicultura","Cautín","p91",2013,67099
"55","Hombre","Agricultura, ganadería, caza y silvicultura","Cautín","p91",2014,90300
"56","Hombre","Agricultura, ganadería, caza y silvicultura","Cautín","p91",2015,99660
"57","Hombre","Agricultura, ganadería, caza y silvicultura","Chacabuco","p133",2010,149897
"58","Hombre","Agricultura, ganadería, caza y silvicultura","Chacabuco","p133",2011,140924
"59","Hombre","Agricultura, ganadería, caza y silvicultura","Chacabuco","p133",2012,156190
"60","Hombre","Agricultura, ganadería, caza y silvicultura","Chacabuco","p133",2013,164631
"61","Hombre","Agricultura, ganadería, caza y silvicultura","Chacabuco","p133",2014,225000
"62","Hombre","Agricultura, ganadería, caza y silvicultura","Chacabuco","p133",2015,240000
"63","Hombre","Agricultura, ganadería, caza y silvicultura","Chañaral","p32",2013,315427
"64","Hombre","Agricultura, ganadería, caza y silvicultura","Chiloé","p102",2010,50000
"65","Hombre","Agricultura, ganadería, caza y silvicultura","Chiloé","p102",2011,60290
"66","Hombre","Agricultura, ganadería, caza y silvicultura","Chiloé","p102",2012,51300
"67","Hombre","Agricultura, ganadería, caza y silvicultura","Chiloé","p102",2013,99851
"68","Hombre","Agricultura, ganadería, caza y silvicultura","Chiloé","p102",2014,100973
"69","Hombre","Agricultura, ganadería, caza y silvicultura","Chiloé","p102",2015,174032
