"","sex","isic","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","1","Antofagasta","2",2010,304059
"2","Hombre","1","Antofagasta","2",2012,220000
"3","Hombre","1","Araucanía","9",2010,79659
"4","Hombre","1","Araucanía","9",2012,90109
"5","Hombre","1","Arica y Parinacota","15",2010,145562
"6","Hombre","1","Arica y Parinacota","15",2012,179799
"7","Hombre","1","Atacama","3",2010,170642
"8","Hombre","1","Atacama","3",2012,193000
"9","Hombre","1","Aysén","11",2010,179935
"10","Hombre","1","Aysén","11",2012,167368
"11","Hombre","1","Bíobío","8",2010,151324
"12","Hombre","1","Bíobío","8",2012,197216
"13","Hombre","1","Coquimbo","4",2010,170000
"14","Hombre","1","Coquimbo","4",2012,180481
"15","Hombre","1","Los Lagos","10",2010,170981
"16","Hombre","1","Los Lagos","10",2012,167862
"17","Hombre","1","Los Ríos","14",2010,155456
"18","Hombre","1","Los Ríos","14",2012,201124
"19","Hombre","1","Magallanes","12",2010,174454
"20","Hombre","1","Magallanes","12",2012,195000
"21","Hombre","1","Maule","7",2010,160900
"22","Hombre","1","Maule","7",2012,193000
"23","Hombre","1","Metropolitana","13",2010,179877
"24","Hombre","1","Metropolitana","13",2012,200902
"25","Hombre","1","O'Higgins","6",2010,180000
"26","Hombre","1","O'Higgins","6",2012,194520
"27","Hombre","1","Tarapacá","1",2010,81338
"28","Hombre","1","Tarapacá","1",2012,55183
"29","Hombre","1","Valparaíso","5",2010,170000
"30","Hombre","1","Valparaíso","5",2012,194085
"31","Hombre","1",NA,NA,2010,66199
"32","Hombre","1",NA,NA,2012,41643
"33","Hombre","10","Antofagasta","2",2010,400000
"34","Hombre","10","Antofagasta","2",2012,302649
"35","Hombre","10","Araucanía","9",2010,630544
"36","Hombre","10","Araucanía","9",2012,348785
"37","Hombre","10","Arica y Parinacota","15",2010,265619
"38","Hombre","10","Arica y Parinacota","15",2012,379026
"39","Hombre","10","Atacama","3",2010,156730
"40","Hombre","10","Atacama","3",2012,250000
"41","Hombre","10","Aysén","11",2010,456278
"42","Hombre","10","Aysén","11",2012,452330
"43","Hombre","10","Bíobío","8",2010,359754
"44","Hombre","10","Bíobío","8",2012,350316
"45","Hombre","10","Coquimbo","4",2010,136013
"46","Hombre","10","Coquimbo","4",2012,502255
"47","Hombre","10","Los Lagos","10",2010,455347
"48","Hombre","10","Los Lagos","10",2012,301353
"49","Hombre","10","Los Ríos","14",2010,120117
"50","Hombre","10","Los Ríos","14",2012,351967
"51","Hombre","10","Magallanes","12",2010,420006
"52","Hombre","10","Magallanes","12",2012,980481
"53","Hombre","10","Maule","7",2010,226588
"54","Hombre","10","Maule","7",2012,100000
"55","Hombre","10","Metropolitana","13",2010,500053
"56","Hombre","10","Metropolitana","13",2012,514444
"57","Hombre","10","O'Higgins","6",2010,360352
"58","Hombre","10","O'Higgins","6",2012,600000
"59","Hombre","10","Tarapacá","1",2010,515000
"60","Hombre","10","Tarapacá","1",2012,259802
"61","Hombre","10","Valparaíso","5",2010,299884
"62","Hombre","10","Valparaíso","5",2012,481649
"63","Hombre","11","Antofagasta","2",2010,295504
"64","Hombre","11","Antofagasta","2",2012,431939
"65","Hombre","11","Araucanía","9",2010,172819
"66","Hombre","11","Araucanía","9",2012,193450
"67","Hombre","11","Arica y Parinacota","15",2010,201808
"68","Hombre","11","Arica y Parinacota","15",2012,239594
"69","Hombre","11","Atacama","3",2010,162963
"70","Hombre","11","Atacama","3",2012,210879
"71","Hombre","11","Aysén","11",2010,273270
"72","Hombre","11","Aysén","11",2012,208343
"73","Hombre","11","Bíobío","8",2010,199942
"74","Hombre","11","Bíobío","8",2012,289500
"75","Hombre","11","Coquimbo","4",2010,187017
"76","Hombre","11","Coquimbo","4",2012,394808
"77","Hombre","11","Los Lagos","10",2010,226202
"78","Hombre","11","Los Lagos","10",2012,277761
"79","Hombre","11","Los Ríos","14",2010,130127
"80","Hombre","11","Los Ríos","14",2012,200902
"81","Hombre","11","Magallanes","12",2010,199863
"82","Hombre","11","Magallanes","12",2012,351481
"83","Hombre","11","Maule","7",2010,191578
"84","Hombre","11","Maule","7",2012,271000
"85","Hombre","11","Metropolitana","13",2010,392762
"86","Hombre","11","Metropolitana","13",2012,406059
"87","Hombre","11","O'Higgins","6",2010,178996
"88","Hombre","11","O'Higgins","6",2012,301353
"89","Hombre","11","Tarapacá","1",2010,197263
"90","Hombre","11","Tarapacá","1",2012,245382
"91","Hombre","11","Valparaíso","5",2010,216712
"92","Hombre","11","Valparaíso","5",2012,301587
"93","Hombre","11",NA,NA,2010,200000
"94","Hombre","11",NA,NA,2012,50226
"95","Hombre","12","Antofagasta","2",2010,399726
"96","Hombre","12","Antofagasta","2",2012,400608
"97","Hombre","12","Araucanía","9",2010,329774
"98","Hombre","12","Araucanía","9",2012,478973
"99","Hombre","12","Arica y Parinacota","15",2010,352037
"100","Hombre","12","Arica y Parinacota","15",2012,407227
"101","Hombre","12","Atacama","3",2010,280117
"102","Hombre","12","Atacama","3",2012,271518
"103","Hombre","12","Aysén","11",2010,481064
"104","Hombre","12","Aysén","11",2012,699536
"105","Hombre","12","Bíobío","8",2010,204730
"106","Hombre","12","Bíobío","8",2012,286740
"107","Hombre","12","Coquimbo","4",2010,431169
"108","Hombre","12","Coquimbo","4",2012,421802
"109","Hombre","12","Los Lagos","10",2010,294689
"110","Hombre","12","Los Lagos","10",2012,534628
"111","Hombre","12","Los Ríos","14",2010,172000
"112","Hombre","12","Los Ríos","14",2012,312267
"113","Hombre","12","Magallanes","12",2010,682559
"114","Hombre","12","Magallanes","12",2012,701500
"115","Hombre","12","Maule","7",2010,250000
"116","Hombre","12","Maule","7",2012,300948
"117","Hombre","12","Metropolitana","13",2010,368027
"118","Hombre","12","Metropolitana","13",2012,400000
"119","Hombre","12","O'Higgins","6",2010,279809
"120","Hombre","12","O'Higgins","6",2012,310000
"121","Hombre","12","Tarapacá","1",2010,400093
"122","Hombre","12","Tarapacá","1",2012,436693
"123","Hombre","12","Valparaíso","5",2010,393738
"124","Hombre","12","Valparaíso","5",2012,500000
"125","Hombre","12",NA,NA,2010,399726
"126","Hombre","12",NA,NA,2012,236713
"127","Hombre","13","Antofagasta","2",2010,258783
"128","Hombre","13","Antofagasta","2",2012,434738
"129","Hombre","13","Araucanía","9",2010,280000
"130","Hombre","13","Araucanía","9",2012,300000
"131","Hombre","13","Arica y Parinacota","15",2010,216009
"132","Hombre","13","Arica y Parinacota","15",2012,314950
"133","Hombre","13","Atacama","3",2010,249154
"134","Hombre","13","Atacama","3",2012,475492
"135","Hombre","13","Aysén","11",2010,519033
"136","Hombre","13","Aysén","11",2012,404636
"137","Hombre","13","Bíobío","8",2010,266780
"138","Hombre","13","Bíobío","8",2012,264992
"139","Hombre","13","Coquimbo","4",2010,376850
"140","Hombre","13","Coquimbo","4",2012,386173
"141","Hombre","13","Los Lagos","10",2010,271274
"142","Hombre","13","Los Lagos","10",2012,401804
"143","Hombre","13","Los Ríos","14",2010,206576
"144","Hombre","13","Los Ríos","14",2012,281949
"145","Hombre","13","Magallanes","12",2010,400000
"146","Hombre","13","Magallanes","12",2012,306203
"147","Hombre","13","Maule","7",2010,229843
"148","Hombre","13","Maule","7",2012,225395
"149","Hombre","13","Metropolitana","13",2010,339767
"150","Hombre","13","Metropolitana","13",2012,413396
"151","Hombre","13","O'Higgins","6",2010,200196
"152","Hombre","13","O'Higgins","6",2012,305371
"153","Hombre","13","Tarapacá","1",2010,249870
"154","Hombre","13","Tarapacá","1",2012,371669
"155","Hombre","13","Valparaíso","5",2010,293087
"156","Hombre","13","Valparaíso","5",2012,305962
"157","Hombre","13",NA,NA,2010,132129
"158","Hombre","13",NA,NA,2012,156704
"159","Hombre","14","Antofagasta","2",2010,300275
"160","Hombre","14","Antofagasta","2",2012,250000
"161","Hombre","14","Araucanía","9",2010,234203
"162","Hombre","14","Araucanía","9",2012,278289
"163","Hombre","14","Arica y Parinacota","15",2010,205288
"164","Hombre","14","Arica y Parinacota","15",2012,175369
"165","Hombre","14","Atacama","3",2010,320000
"166","Hombre","14","Atacama","3",2012,351967
"167","Hombre","14","Aysén","11",2010,463497
"168","Hombre","14","Aysén","11",2012,250000
"169","Hombre","14","Bíobío","8",2010,250083
"170","Hombre","14","Bíobío","8",2012,244750
"171","Hombre","14","Coquimbo","4",2010,223335
"172","Hombre","14","Coquimbo","4",2012,482165
"173","Hombre","14","Los Lagos","10",2010,299795
"174","Hombre","14","Los Lagos","10",2012,350000
"175","Hombre","14","Los Ríos","14",2010,113111
"176","Hombre","14","Los Ríos","14",2012,301353
"177","Hombre","14","Magallanes","12",2010,400000
"178","Hombre","14","Magallanes","12",2012,464424
"179","Hombre","14","Maule","7",2010,191792
"180","Hombre","14","Maule","7",2012,263907
"181","Hombre","14","Metropolitana","13",2010,363296
"182","Hombre","14","Metropolitana","13",2012,442000
"183","Hombre","14","O'Higgins","6",2010,290050
"184","Hombre","14","O'Higgins","6",2012,432105
"185","Hombre","14","Tarapacá","1",2010,197036
"186","Hombre","14","Tarapacá","1",2012,263353
"187","Hombre","14","Valparaíso","5",2010,344205
"188","Hombre","14","Valparaíso","5",2012,389890
"189","Hombre","14",NA,NA,2012,441985
"190","Hombre","15","Antofagasta","2",2010,200000
"191","Hombre","15","Antofagasta","2",2012,279890
"192","Hombre","15","Araucanía","9",2010,134555
"193","Hombre","15","Araucanía","9",2012,196749
"194","Hombre","15","Arica y Parinacota","15",2010,149000
"195","Hombre","15","Arica y Parinacota","15",2012,120675
"196","Hombre","15","Atacama","3",2010,109500
"197","Hombre","15","Atacama","3",2012,180000
"198","Hombre","15","Aysén","11",2010,68270
"199","Hombre","15","Aysén","11",2012,600000
"200","Hombre","15","Bíobío","8",2010,68522
"201","Hombre","15","Bíobío","8",2012,151222
"202","Hombre","15","Coquimbo","4",2010,119900
"203","Hombre","15","Coquimbo","4",2012,140017
"204","Hombre","15","Los Lagos","10",2010,64000
"205","Hombre","15","Los Lagos","10",2012,152344
"206","Hombre","15","Los Ríos","14",2010,70793
"207","Hombre","15","Los Ríos","14",2012,188486
"208","Hombre","15","Magallanes","12",2010,129234
"209","Hombre","15","Magallanes","12",2012,160722
"210","Hombre","15","Maule","7",2010,121487
"211","Hombre","15","Maule","7",2012,194114
"212","Hombre","15","Metropolitana","13",2010,200196
"213","Hombre","15","Metropolitana","13",2012,201008
"214","Hombre","15","O'Higgins","6",2010,195279
