"","sex","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","Antofagasta","p21",2010,376917
"2","Hombre","Antofagasta","p21",2011,398721
"3","Hombre","Antofagasta","p21",2012,472120
"4","Hombre","Antofagasta","p21",2013,480081
"5","Hombre","Antofagasta","p21",2014,449950
"6","Hombre","Antofagasta","p21",2015,510291
"7","Hombre","Arauco","p82",2010,180176
"8","Hombre","Arauco","p82",2011,181665
"9","Hombre","Arauco","p82",2012,201124
"10","Hombre","Arauco","p82",2013,210276
"11","Hombre","Arauco","p82",2014,227345
"12","Hombre","Arauco","p82",2015,271211
"13","Hombre","Arica","p151",2010,239437
"14","Hombre","Arica","p151",2011,246539
"15","Hombre","Arica","p151",2012,280542
"16","Hombre","Arica","p151",2013,300000
"17","Hombre","Arica","p151",2014,303127
"18","Hombre","Arica","p151",2015,356665
"19","Hombre","Aysén","p112",2010,272637
"20","Hombre","Aysén","p112",2011,318822
"21","Hombre","Aysén","p112",2012,359384
"22","Hombre","Aysén","p112",2013,348678
"23","Hombre","Aysén","p112",2014,354047
"24","Hombre","Aysén","p112",2015,400623
"25","Hombre","Bíobío","p83",2010,190136
"26","Hombre","Bíobío","p83",2011,202786
"27","Hombre","Bíobío","p83",2012,217346
"28","Hombre","Bíobío","p83",2013,247295
"29","Hombre","Bíobío","p83",2014,262822
"30","Hombre","Bíobío","p83",2015,300039
"31","Hombre","Cachapoal","p61",2010,249910
"32","Hombre","Cachapoal","p61",2011,249201
"33","Hombre","Cachapoal","p61",2012,251403
"34","Hombre","Cachapoal","p61",2013,299405
"35","Hombre","Cachapoal","p61",2014,300661
"36","Hombre","Cachapoal","p61",2015,343172
"37","Hombre","Capitán Prat","p113",2010,250133
"38","Hombre","Capitán Prat","p113",2011,241564
"39","Hombre","Capitán Prat","p113",2012,350000
"40","Hombre","Capitán Prat","p113",2013,166125
"41","Hombre","Capitán Prat","p113",2014,147500
"42","Hombre","Cardenal Caro","p62",2010,175482
"43","Hombre","Cardenal Caro","p62",2011,199361
"44","Hombre","Cardenal Caro","p62",2012,205933
"45","Hombre","Cardenal Caro","p62",2013,239679
"46","Hombre","Cardenal Caro","p62",2014,262763
"47","Hombre","Cardenal Caro","p62",2015,279329
"48","Hombre","Cauquenes","p72",2010,150000
"49","Hombre","Cauquenes","p72",2011,173564
"50","Hombre","Cauquenes","p72",2012,200000
"51","Hombre","Cauquenes","p72",2013,210000
"52","Hombre","Cauquenes","p72",2014,219959
"53","Hombre","Cauquenes","p72",2015,220009
"54","Hombre","Cautín","p91",2010,172080
"55","Hombre","Cautín","p91",2011,200967
"56","Hombre","Cautín","p91",2012,217846
"57","Hombre","Cautín","p91",2013,216101
"58","Hombre","Cautín","p91",2014,249953
"59","Hombre","Cautín","p91",2015,283934
"60","Hombre","Chacabuco","p133",2010,230225
"61","Hombre","Chacabuco","p133",2011,250572
"62","Hombre","Chacabuco","p133",2012,260040
"63","Hombre","Chacabuco","p133",2013,280000
"64","Hombre","Chacabuco","p133",2014,317499
"65","Hombre","Chacabuco","p133",2015,345489
"66","Hombre","Chañaral","p32",2010,299795
"67","Hombre","Chañaral","p32",2011,340000
"68","Hombre","Chañaral","p32",2012,324045
"69","Hombre","Chañaral","p32",2013,357983
"70","Hombre","Chañaral","p32",2014,321060
"71","Hombre","Chañaral","p32",2015,376105
"72","Hombre","Chiloé","p102",2010,156312
"73","Hombre","Chiloé","p102",2011,200792
"74","Hombre","Chiloé","p102",2012,200668
"75","Hombre","Chiloé","p102",2013,249056
"76","Hombre","Chiloé","p102",2014,249967
"77","Hombre","Chiloé","p102",2015,271100
"78","Hombre","Choapa","p42",2010,199985
"79","Hombre","Choapa","p42",2011,206202
"80","Hombre","Choapa","p42",2012,267334
"81","Hombre","Choapa","p42",2013,282797
"82","Hombre","Choapa","p42",2014,291767
"83","Hombre","Choapa","p42",2015,300844
"84","Hombre","Colchagua","p63",2010,194360
"85","Hombre","Colchagua","p63",2011,211780
"86","Hombre","Colchagua","p63",2012,220000
"87","Hombre","Colchagua","p63",2013,250000
"88","Hombre","Colchagua","p63",2014,259974
"89","Hombre","Colchagua","p63",2015,272673
"90","Hombre","Concepción","p81",2010,231702
"91","Hombre","Concepción","p81",2011,250000
"92","Hombre","Concepción","p81",2012,264234
"93","Hombre","Concepción","p81",2013,300000
"94","Hombre","Concepción","p81",2014,300000
"95","Hombre","Concepción","p81",2015,350000
"96","Hombre","Copiapó","p31",2010,300294
"97","Hombre","Copiapó","p31",2011,321676
"98","Hombre","Copiapó","p31",2012,351967
"99","Hombre","Copiapó","p31",2013,400258
"100","Hombre","Copiapó","p31",2014,401453
"101","Hombre","Copiapó","p31",2015,450935
"102","Hombre","Cordillera","p152",2010,250245
"103","Hombre","Cordillera","p152",2011,251208
"104","Hombre","Cordillera","p152",2012,321346
"105","Hombre","Cordillera","p152",2013,300407
"106","Hombre","Cordillera","p152",2014,379427
"107","Hombre","Cordillera","p152",2015,451688
"108","Hombre","Coyhaique","p111",2010,279809
"109","Hombre","Coyhaique","p111",2011,299041
"110","Hombre","Coyhaique","p111",2012,300000
"111","Hombre","Coyhaique","p111",2013,300407
"112","Hombre","Coyhaique","p111",2014,334181
"113","Hombre","Coyhaique","p111",2015,425474
"114","Hombre","Curicó","p73",2010,184873
"115","Hombre","Curicó","p73",2011,199361
"116","Hombre","Curicó","p73",2012,221237
"117","Hombre","Curicó","p73",2013,253208
"118","Hombre","Curicó","p73",2014,260768
"119","Hombre","Curicó","p73",2015,301605
"120","Hombre","El Loa","p22",2010,401112
"121","Hombre","El Loa","p22",2011,452077
"122","Hombre","El Loa","p22",2012,560346
"123","Hombre","El Loa","p22",2013,695391
"124","Hombre","El Loa","p22",2014,612814
