"","sex","work_day","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","Completa","Algarrobo","1",2010,152210
"2","Hombre","Completa","Algarrobo","1",2011,221063
"3","Hombre","Completa","Algarrobo","1",2012,291630
"4","Hombre","Completa","Algarrobo","1",2013,250339
"5","Hombre","Completa","Algarrobo","1",2014,303127
"6","Hombre","Completa","Algarrobo","1",2015,251019
"7","Hombre","Completa","Alto del Carmen","4",2010,158266
"8","Hombre","Completa","Alto del Carmen","4",2011,180000
"9","Hombre","Completa","Alto del Carmen","4",2012,190000
"10","Hombre","Completa","Alto del Carmen","4",2013,200271
"11","Hombre","Completa","Alto del Carmen","4",2014,194197
"12","Hombre","Completa","Alto del Carmen","4",2015,240000
"13","Hombre","Completa","Alto Hospicio","5",2010,248879
"14","Hombre","Completa","Alto Hospicio","5",2011,270721
"15","Hombre","Completa","Alto Hospicio","5",2012,281574
"16","Hombre","Completa","Alto Hospicio","5",2013,333410
"17","Hombre","Completa","Alto Hospicio","5",2014,352334
"18","Hombre","Completa","Alto Hospicio","5",2015,320087
"19","Hombre","Completa","Ancud","6",2010,192665
"20","Hombre","Completa","Ancud","6",2011,180206
"21","Hombre","Completa","Ancud","6",2012,150000
"22","Hombre","Completa","Ancud","6",2013,192781
"23","Hombre","Completa","Ancud","6",2014,194100
"24","Hombre","Completa","Ancud","6",2015,250880
"25","Hombre","Completa","Andacollo","7",2010,199863
"26","Hombre","Completa","Andacollo","7",2011,249201
"27","Hombre","Completa","Andacollo","7",2012,281946
"28","Hombre","Completa","Andacollo","7",2013,189283
"29","Hombre","Completa","Andacollo","7",2014,343407
"30","Hombre","Completa","Andacollo","7",2015,240065
"31","Hombre","Completa","Angol","8",2010,193667
"32","Hombre","Completa","Angol","8",2011,209329
"33","Hombre","Completa","Angol","8",2012,271576
"34","Hombre","Completa","Angol","8",2013,269465
"35","Hombre","Completa","Angol","8",2014,286517
"36","Hombre","Completa","Angol","8",2015,273317
"37","Hombre","Completa","Antofagasta","9",2010,400042
"38","Hombre","Completa","Antofagasta","9",2011,400000
"39","Hombre","Completa","Antofagasta","9",2012,478934
"40","Hombre","Completa","Antofagasta","9",2013,499009
"41","Hombre","Completa","Antofagasta","9",2014,466670
"42","Hombre","Completa","Antofagasta","9",2015,561904
"43","Hombre","Completa","Antuco","10",2010,99932
"44","Hombre","Completa","Antuco","10",2011,99680
"45","Hombre","Completa","Antuco","10",2012,81075
"46","Hombre","Completa","Antuco","10",2013,205943
"47","Hombre","Completa","Antuco","10",2014,199879
"48","Hombre","Completa","Antuco","10",2015,172936
"49","Hombre","Completa","Arauco","11",2010,237274
"50","Hombre","Completa","Arauco","11",2011,233331
"51","Hombre","Completa","Arauco","11",2012,245659
"52","Hombre","Completa","Arauco","11",2013,258651
"53","Hombre","Completa","Arauco","11",2014,254086
"54","Hombre","Completa","Arauco","11",2015,283633
"55","Hombre","Completa","Arica","12",2010,250000
"56","Hombre","Completa","Arica","12",2011,251208
"57","Hombre","Completa","Arica","12",2012,301353
"58","Hombre","Completa","Arica","12",2013,309109
"59","Hombre","Completa","Arica","12",2014,325901
"60","Hombre","Completa","Arica","12",2015,380789
"61","Hombre","Completa","Aysén","13",2010,300125
"62","Hombre","Completa","Aysén","13",2011,348881
"63","Hombre","Completa","Aysén","13",2012,401804
"64","Hombre","Completa","Aysén","13",2013,403878
"65","Hombre","Completa","Aysén","13",2014,354417
"66","Hombre","Completa","Aysén","13",2015,440219
"67","Hombre","Completa","Buin","14",2010,207095
"68","Hombre","Completa","Buin","14",2011,235569
"69","Hombre","Completa","Buin","14",2012,230000
"70","Hombre","Completa","Buin","14",2013,300000
"71","Hombre","Completa","Buin","14",2014,300000
"72","Hombre","Completa","Buin","14",2015,325067
"73","Hombre","Completa","Bulnes","15",2010,157918
"74","Hombre","Completa","Bulnes","15",2011,150483
"75","Hombre","Completa","Bulnes","15",2012,192557
"76","Hombre","Completa","Bulnes","15",2013,199948
"77","Hombre","Completa","Bulnes","15",2014,216821
"78","Hombre","Completa","Bulnes","15",2015,253278
"79","Hombre","Completa","Cabildo","16",2010,200169
"80","Hombre","Completa","Cabildo","16",2011,238226
"81","Hombre","Completa","Cabildo","16",2012,291171
"82","Hombre","Completa","Cabildo","16",2013,254459
"83","Hombre","Completa","Cabildo","16",2014,279947
"84","Hombre","Completa","Cabildo","16",2015,300000
"85","Hombre","Completa","Cabrero","18",2010,180876
"86","Hombre","Completa","Cabrero","18",2011,226103
"87","Hombre","Completa","Cabrero","18",2012,196731
"88","Hombre","Completa","Cabrero","18",2013,211546
"89","Hombre","Completa","Cabrero","18",2014,232127
"90","Hombre","Completa","Cabrero","18",2015,300081
"91","Hombre","Completa","Calama","19",2010,450000
"92","Hombre","Completa","Calama","19",2011,500309
"93","Hombre","Completa","Calama","19",2012,602706
"94","Hombre","Completa","Calama","19",2013,714767
"95","Hombre","Completa","Calama","19",2014,700861
"96","Hombre","Completa","Calama","19",2015,658077
"97","Hombre","Completa","Calbuco","20",2010,204860
"98","Hombre","Completa","Calbuco","20",2011,293808
"99","Hombre","Completa","Calbuco","20",2012,193261
"100","Hombre","Completa","Calbuco","20",2013,267910
"101","Hombre","Completa","Calbuco","20",2014,260831
"102","Hombre","Completa","Calbuco","20",2015,331853
"103","Hombre","Completa","Caldera","21",2010,243397
"104","Hombre","Completa","Caldera","21",2011,260000
"105","Hombre","Completa","Caldera","21",2012,251004
"106","Hombre","Completa","Caldera","21",2013,314729
"107","Hombre","Completa","Caldera","21",2014,342643
"108","Hombre","Completa","Caldera","21",2015,351365
"109","Hombre","Completa","Calera","22",2010,203476
"110","Hombre","Completa","Calera","22",2011,193191
"111","Hombre","Completa","Calera","22",2012,216954
"112","Hombre","Completa","Calera","22",2013,281318
"113","Hombre","Completa","Calera","22",2014,358669
"114","Hombre","Completa","Calera","22",2015,301222
"115","Hombre","Completa","Calera de Tango","23",2010,169666
"116","Hombre","Completa","Calera de Tango","23",2011,226087
"117","Hombre","Completa","Calera de Tango","23",2012,271518
"118","Hombre","Completa","Calera de Tango","23",2013,210285
"119","Hombre","Completa","Calera de Tango","23",2014,227345
"120","Hombre","Completa","Calera de Tango","23",2015,403121
"121","Hombre","Completa","Calle Larga","24",2010,171820
"122","Hombre","Completa","Calle Larga","24",2011,200967
"123","Hombre","Completa","Calle Larga","24",2012,229792
"124","Hombre","Completa","Calle Larga","24",2013,249245
"125","Hombre","Completa","Calle Larga","24",2014,252981
"126","Hombre","Completa","Calle Larga","24",2015,321304
"127","Hombre","Completa","Camarones","25",2010,117083
"128","Hombre","Completa","Camarones","25",2011,80387
"129","Hombre","Completa","Camarones","25",2012,65365
"130","Hombre","Completa","Camarones","25",2013,32044
"131","Hombre","Completa","Canela","27",2010,249829
"132","Hombre","Completa","Canela","27",2011,206074
"133","Hombre","Completa","Canela","27",2012,216524
"134","Hombre","Completa","Canela","27",2013,300349
"135","Hombre","Completa","Canela","27",2014,252606
"136","Hombre","Completa","Canela","27",2015,206683
"137","Hombre","Completa","Cañete","28",2010,164777
"138","Hombre","Completa","Cañete","28",2011,160000
"139","Hombre","Completa","Cañete","28",2012,154370
"140","Hombre","Completa","Cañete","28",2013,184810
"141","Hombre","Completa","Cañete","28",2014,176844
"142","Hombre","Completa","Cañete","28",2015,200043
"143","Hombre","Completa","Carahue","29",2010,83480
"144","Hombre","Completa","Carahue","29",2011,60962
"145","Hombre","Completa","Carahue","29",2012,73292
"146","Hombre","Completa","Carahue","29",2013,78276
"147","Hombre","Completa","Carahue","29",2014,142970
"148","Hombre","Completa","Carahue","29",2015,99354
"149","Hombre","Completa","Cartagena","30",2010,145921
"150","Hombre","Completa","Cartagena","30",2011,178428
"151","Hombre","Completa","Cartagena","30",2012,200902
"152","Hombre","Completa","Cartagena","30",2013,199245
"153","Hombre","Completa","Cartagena","30",2014,314941
"154","Hombre","Completa","Cartagena","30",2015,240065
"155","Hombre","Completa","Casablanca","31",2010,219850
"156","Hombre","Completa","Casablanca","31",2011,181418
"157","Hombre","Completa","Casablanca","31",2012,145654
"158","Hombre","Completa","Casablanca","31",2014,194380
"159","Hombre","Completa","Casablanca","31",2015,297269
"160","Hombre","Completa","Castro","32",2010,179877
"161","Hombre","Completa","Castro","32",2011,249777
"162","Hombre","Completa","Castro","32",2012,253860
