"","geography_level","geography_name","geography_id","sex","company_size","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","comuna","Algarrobo","1","Hombre","Menos de 5",2010,152209.869076695,152209.869076695,"[152210, 152210]","[152210, 152210]"
"2","comuna","Algarrobo","1","Hombre","Menos de 5",2011,378995.377558757,369577.653525398,"[245886, 524267]","[187778, 601611]"
"3","comuna","Algarrobo","1","Hombre","Menos de 5",2012,446830.968177908,402248.433468484,"[307075, 691993]","[251405, 703935]"
"4","comuna","Algarrobo","1","Hombre","Menos de 5",2013,327943.967464981,350474.469046545,"[180244, 482215]","[110149, 500678]"
"5","comuna","Algarrobo","1","Hombre","Menos de 5",2014,341017.6236498,378908.470722,"[202085, 461321]","[101042, 505211]"
"6","comuna","Alto del Carmen","4","Hombre","Menos de 5",2010,170216.857350332,141704.520717664,"[100104, 284162]","[70377, 191284]"
"7","comuna","Alto del Carmen","4","Hombre","Menos de 5",2011,188495.083941891,150724.981046247,"[115471, 297162]","[68000, 240000]"
"8","comuna","Alto del Carmen","4","Hombre","Menos de 5",2012,151124.076145024,171327.605329988,"[112957, 191240]","[85000, 201124]"
"9","comuna","Alto del Carmen","4","Hombre","Menos de 5",2013,165611.406464508,150203.34387709,"[123151, 223808]","[130037, 200271]"
"10","comuna","Alto del Carmen","4","Hombre","Menos de 5",2014,156891.937815296,89125.9812845886,"[93239, 234353]","[50521, 271332]"
"11","comuna","Alto del Carmen","4","Hombre","Menos de 5",2015,171954.592976411,137607.247453103,"[92106, 253830]","[10033, 290508]"
"12","comuna","Alto Hospicio","5","Hombre","Menos de 5",2010,210453.847641828,189994.60177012,"[174706, 264151]","[162279, 215357]"
"13","comuna","Alto Hospicio","5","Hombre","Menos de 5",2011,266687.183392619,200000,"[208987, 362237]","[180250, 217862]"
"14","comuna","Alto Hospicio","5","Hombre","Menos de 5",2012,240135.295530424,200902.06185567,"[205271, 280600]","[180000, 257840]"
"15","comuna","Alto Hospicio","5","Hombre","Menos de 5",2013,547122.643112995,212644.596613614,"[299090, 866706]","[178490, 298867]"
"16","comuna","Alto Hospicio","5","Hombre","Menos de 5",2014,391583.138686364,323752.816482588,"[294546, 556666]","[207961, 505211]"
"17","comuna","Alto Hospicio","5","Hombre","Menos de 5",2015,436721.941997706,328207.438722131,"[327725, 591633]","[300081, 400108]"
"18","comuna","Ancud","6","Hombre","Menos de 5",2010,132815.201331111,99962.3463627193,"[107570, 158322]","[80078, 170260]"
"19","comuna","Ancud","6","Hombre","Menos de 5",2011,141092.9498286,100208.532549055,"[108282, 191726]","[86317, 205518]"
"20","comuna","Ancud","6","Hombre","Menos de 5",2012,168344.319895111,120541.237113402,"[111620, 261533]","[80436, 200000]"
"21","comuna","Ancud","6","Hombre","Menos de 5",2013,143989.604232315,120087.79082286,"[114012, 185016]","[99467, 154037]"
"22","comuna","Ancud","6","Hombre","Menos de 5",2014,303920.433958415,191227.439678754,"[190874, 558031]","[169498, 230000]"
"23","comuna","Ancud","6","Hombre","Menos de 5",2015,259632.494969076,200814.922129664,"[199872, 330253]","[145713, 227862]"
"24","comuna","Andacollo","7","Hombre","Menos de 5",2010,641242.017979387,260483.800556007,"[227624, 1218435]","[169814, 1498974]"
"25","comuna","Andacollo","7","Hombre","Menos de 5",2011,357624.603349811,296488.529044814,"[208435, 575692]","[150725, 697763]"
"26","comuna","Andacollo","7","Hombre","Menos de 5",2012,288688.139782245,230556.999095365,"[152497, 433054]","[167221, 552481]"
"27","comuna","Andacollo","7","Hombre","Menos de 5",2013,181192.258708201,154616.811369314,"[149434, 258554]","[149434, 279228]"
"28","comuna","Andacollo","7","Hombre","Menos de 5",2014,278751.599724627,302034.212849201,"[147524, 369698]","[118918, 399925]"
"29","comuna","Andacollo","7","Hombre","Menos de 5",2015,209036.237293762,218276.94619889,"[143066, 253414]","[151535, 252563]"
"30","comuna","Angol","8","Hombre","Menos de 5",2010,200076.724837806,125000,"[140311, 273845]","[95429, 177006]"
"31","comuna","Angol","8","Hombre","Menos de 5",2011,222558.534125671,150350.739102731,"[160321, 298792]","[100000, 194807]"
"32","comuna","Angol","8","Hombre","Menos de 5",2012,223629.573420017,163150.109905082,"[179048, 294491]","[118282, 241430]"
"33","comuna","Angol","8","Hombre","Menos de 5",2013,242719.180734854,200000,"[197385, 294042]","[130121, 243017]"
"34","comuna","Angol","8","Hombre","Menos de 5",2014,223881.863882253,187872.747147541,"[195298, 258241]","[151225, 236822]"
"35","comuna","Angol","8","Hombre","Menos de 5",2015,202571.300139605,129136.285279274,"[155705, 256839]","[113580, 161689]"
"36","comuna","Antofagasta","9","Hombre","Menos de 5",2010,366875.906602547,350342.53278528,"[296481, 545742]","[299795, 409869]"
"37","comuna","Antofagasta","9","Hombre","Menos de 5",2011,381787.951541931,301449.962092494,"[314149, 477563]","[251208, 343597]"
