"","geography_level","geography_name","geography_id","sex","company_size","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","provincia","Antofagasta","p21","Hombre","Menos de 5",2010,360671.710464981,349870.349242318,"[287228, 501042]","[260134, 395959]"
"2","provincia","Antofagasta","p21","Hombre","Menos de 5",2011,380660.344706666,300597.683995694,"[309826, 488750]","[250111, 355449]"
"3","provincia","Antofagasta","p21","Hombre","Menos de 5",2012,410301.547945514,322557.311190219,"[335807, 495271]","[290412, 397472]"
"4","provincia","Antofagasta","p21","Hombre","Menos de 5",2013,423368.783985559,400000,"[356001, 544615]","[321086, 446236]"
"5","provincia","Antofagasta","p21","Hombre","Menos de 5",2014,500353.63852435,340822.858609347,"[388781, 676385]","[299944, 400623]"
"6","provincia","Antofagasta","p21","Hombre","Menos de 5",2015,664157.563942861,441643.323993229,"[468752, 905575]","[300581, 510347]"
"7","provincia","Arauco","p82","Hombre","Menos de 5",2010,146960.2940343,99821.7344163715,"[114601, 186555]","[80112, 119970]"
"8","provincia","Arauco","p82","Hombre","Menos de 5",2011,154840.540839629,100950.382464661,"[134131, 182148]","[79836, 120580]"
"9","provincia","Arauco","p82","Hombre","Menos de 5",2012,266748.575352013,150239.390324458,"[184850, 378268]","[92908, 168187]"
"10","provincia","Arauco","p82","Hombre","Menos de 5",2013,213870.909953957,123221.680851277,"[154776, 297344]","[100021, 179805]"
"11","provincia","Arauco","p82","Hombre","Menos de 5",2014,190798.271166328,117303.656700757,"[147310, 238478]","[94498, 151256]"
"12","provincia","Arauco","p82","Hombre","Menos de 5",2015,218978.770754548,171641.442925037,"[165839, 294038]","[127211, 200054]"
"13","provincia","Arica","p151","Hombre","Menos de 5",2010,237829.994508558,179329.751335616,"[206355, 267567]","[158590, 199863]"
"14","provincia","Arica","p151","Hombre","Menos de 5",2011,223285.159838591,180000,"[202866, 248876]","[152061, 198866]"
"15","provincia","Arica","p151","Hombre","Menos de 5",2012,281558.208908216,200353,"[245858, 339879]","[180977, 215110]"
"16","provincia","Arica","p151","Hombre","Menos de 5",2013,312925.669663133,250354.740423876,"[284729, 353045]","[221203, 278943]"
"17","provincia","Arica","p151","Hombre","Menos de 5",2014,315316.676239217,252605.647148,"[296551, 343761]","[239955, 298123]"
"18","provincia","Arica","p151","Hombre","Menos de 5",2015,347747.341653659,300081.183474654,"[308198, 396108]","[280562, 301222]"
"19","provincia","Aysén","p112","Hombre","Menos de 5",2010,445677.755849968,216854.910110923,"[321899, 601893]","[199863, 295130]"
"20","provincia","Aysén","p112","Hombre","Menos de 5",2011,342065.120954739,249200.902510106,"[265346, 449594]","[200293, 299041]"
"21","provincia","Aysén","p112","Hombre","Menos de 5",2012,512259.942892558,301435.940715048,"[350854, 788892]","[251148, 386192]"
"22","provincia","Aysén","p112","Hombre","Menos de 5",2013,353446.625085744,298867.110231973,"[285910, 469007]","[245483, 349621]"
"23","provincia","Aysén","p112","Hombre","Menos de 5",2014,374058.052900076,304392.220289978,"[311057, 491178]","[275231, 379929]"
"24","provincia","Aysén","p112","Hombre","Menos de 5",2015,364325.688691284,288326.671376131,"[284690, 463300]","[206089, 384823]"
