"","geography_level","geography_name","geography_id","sex","company_size","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","region","Antofagasta","2","Hombre","Menos de 5",2010,385138.307297726,306876.604682735,"[303890, 625118]","[250000, 350343]"
"2","region","Antofagasta","2","Hombre","Menos de 5",2011,379081.767745067,299041.083012127,"[324748, 476253]","[250312, 337590]"
"3","region","Antofagasta","2","Hombre","Menos de 5",2012,400927.066206953,317071.496492969,"[342628, 461912]","[300000, 400947]"
"4","region","Antofagasta","2","Hombre","Menos de 5",2013,417813.689609833,400000,"[353181, 490383]","[300407, 412625]"
"5","region","Antofagasta","2","Hombre","Menos de 5",2014,498904.004491797,341512.659941283,"[419487, 610809]","[299944, 400000]"
"6","region","Antofagasta","2","Hombre","Menos de 5",2015,632270.712872447,410456.179575163,"[509619, 809104]","[336915, 500796]"
"7","region","Araucanía","9","Hombre","Menos de 5",2010,187102.309958726,100097.86651008,"[141720, 283741]","[89143, 120062]"
"8","region","Araucanía","9","Hombre","Menos de 5",2011,214772.357030759,150000,"[180615, 245037]","[124750, 179425]"
"9","region","Araucanía","9","Hombre","Menos de 5",2012,188570.958624898,120334.530506264,"[166209, 231939]","[110484, 160664]"
"10","region","Araucanía","9","Hombre","Menos de 5",2013,231802.370668398,150292.991859805,"[203508, 279526]","[134520, 194263]"
"11","region","Araucanía","9","Hombre","Menos de 5",2014,282005.8791817,190503.222461739,"[239856, 333472]","[162045, 204127]"
"12","region","Araucanía","9","Hombre","Menos de 5",2015,234477.227647762,182110.80792591,"[207461, 265920]","[150583, 200788]"
"13","region","Arica y Parinacota","15","Hombre","Menos de 5",2010,233985.591228959,175067.915948915,"[209367, 272465]","[158350, 200000]"
"14","region","Arica y Parinacota","15","Hombre","Menos de 5",2011,220298.343304913,180000,"[201546, 244802]","[160765, 194109]"
"15","region","Arica y Parinacota","15","Hombre","Menos de 5",2012,276774.910632951,200000,"[242430, 322014]","[181012, 204602]"
