"","geography_level","geography_name","geography_id","sex","icse","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","comuna","Algarrobo",1,"Hombre","Asalariado sector privado",2010,350342.53278528,350342.53278528,"[350343, 350343]","[350343, 350343]"
"2","comuna","Algarrobo",1,"Hombre","Asalariado sector privado",2011,602899.924184988,602899.924184988,"[602900, 602900]","[602900, 602900]"
"3","comuna","Alhué",2,"Hombre","Asalariado sector privado",2011,393336.37646365,401933.282789992,"[330892, 490615]","[256232, 530552]"
"4","comuna","Alto del Carmen",4,"Hombre","Asalariado sector privado",2010,224600.807991958,186283.254855832,"[182412, 263692]","[170161, 208435]"
"5","comuna","Alto del Carmen",4,"Hombre","Asalariado sector privado",2011,222828.224794397,202470.201669546,"[172090, 279858]","[180000, 243255]"
"6","comuna","Alto Hospicio",5,"Hombre","Asalariado sector privado",2010,406513.207422668,314168.463550321,"[336794, 477948]","[242499, 409720]"
"7","comuna","Alto Hospicio",5,"Hombre","Asalariado sector privado",2011,407455.897165326,302557.62363735,"[351140, 501115]","[280077, 351692]"
"8","comuna","Ancud",6,"Hombre","Asalariado sector privado",2010,430689.89385406,210195.352199844,"[228647, 690016]","[185914, 280000]"
"9","comuna","Ancud",6,"Hombre","Asalariado sector privado",2011,242105.172644085,219805.791824479,"[189493, 283403]","[199331, 254472]"
"10","comuna","Andacollo",7,"Hombre","Asalariado sector privado",2010,472263.751129031,280274.026228224,"[270042, 688896]","[219850, 799453]"
"11","comuna","Andacollo",7,"Hombre","Asalariado sector privado",2011,398369.737936583,412533.014701017,"[298068, 490545]","[249201, 518338]"
"12","comuna","Angol",8,"Hombre","Asalariado sector privado",2010,247949.426727111,187289.537257232,"[220356, 290673]","[171895, 216631]"
"13","comuna","Angol",8,"Hombre","Asalariado sector privado",2011,386390.408447083,226574.882379933,"[322756, 472152]","[200000, 251208]"
"14","comuna","Antofagasta",9,"Hombre","Asalariado sector privado",2010,584590.314443628,419739.376398252,"[527210, 649977]","[399726, 499880]"
"15","comuna","Antofagasta",9,"Hombre","Asalariado sector privado",2011,585511.201744299,480000,"[531317, 667179]","[400000, 502417]"
"16","comuna","Antuco",10,"Hombre","Asalariado sector privado",2010,393064.321771698,439699.071812408,"[279809, 459685]","[279809, 459685]"
"17","comuna","Antuco",10,"Hombre","Asalariado sector privado",2011,195058.521143943,150000,"[127278, 279317]","[99680, 252000]"
"18","comuna","Arauco",11,"Hombre","Asalariado sector privado",2010,296190.607572739,283533.404414845,"[238649, 341371]","[230993, 340508]"
"19","comuna","Arauco",11,"Hombre","Asalariado sector privado",2011,304619.237443267,249929.075870203,"[241424, 375393]","[223689, 287712]"
"20","comuna","Arica",12,"Hombre","Asalariado sector privado",2010,336682.031866618,260000,"[312781, 358442]","[249910, 294798]"
"21","comuna","Arica",12,"Hombre","Asalariado sector privado",2011,347607.708577717,251208.301743745,"[318934, 377604]","[239581, 279369]"
"22","comuna","Aysén",13,"Hombre","Asalariado sector privado",2010,354180.788346704,260595.210106943,"[300521, 448915]","[232981, 350325]"
"23","comuna","Aysén",13,"Hombre","Asalariado sector privado",2011,415563.691795007,338913.227413744,"[360578, 489948]","[299475, 371585]"
"24","comuna","Buin",14,"Hombre","Asalariado sector privado",2010,470139.478186254,249853.613194106,"[292568, 703790]","[200000, 287690]"
"25","comuna","Buin",14,"Hombre","Asalariado sector privado",2011,443548.436435084,249949.427735067,"[280149, 675701]","[219776, 355134]"
"26","comuna","Bulnes",15,"Hombre","Asalariado sector privado",2010,191623.712929148,170669.979999218,"[158642, 223737]","[156946, 180176]"
"27","comuna","Bulnes",15,"Hombre","Asalariado sector privado",2011,184261.755519605,170664.402961869,"[158961, 213483]","[149172, 200000]"
"28","comuna","Cabildo",16,"Hombre","Asalariado sector privado",2010,238448.980090029,200195.73302016,"[201357, 284788]","[182843, 299807]"
"29","comuna","Cabildo",16,"Hombre","Asalariado sector privado",2011,392884.751920994,381449.308855747,"[321041, 479219]","[230783, 456449]"
"30","comuna","Cabrero",18,"Hombre","Asalariado sector privado",2010,296463.821721954,221172.718666549,"[222137, 384486]","[176332, 260449]"
"31","comuna","Cabrero",18,"Hombre","Asalariado sector privado",2011,353425.014827151,246700.520940358,"[242411, 481412]","[206574, 299041]"
"32","comuna","Calama",19,"Hombre","Asalariado sector privado",2010,629287.689984887,449692.232535418,"[533580, 723813]","[380000, 480893]"
"33","comuna","Calama",19,"Hombre","Asalariado sector privado",2011,631038.041007703,480000,"[557694, 700570]","[416946, 508319]"
"34","comuna","Calbuco",20,"Hombre","Asalariado sector privado",2010,257903.500901659,227056.318062197,"[212650, 335005]","[201420, 255436]"
"35","comuna","Calbuco",20,"Hombre","Asalariado sector privado",2011,384839.047782397,303640.296450433,"[249713, 575687]","[216306, 330146]"
"36","comuna","Caldera",21,"Hombre","Asalariado sector privado",2010,344360.989244472,320079.614089427,"[264942, 424734]","[249517, 403666]"
"37","comuna","Caldera",21,"Hombre","Asalariado sector privado",2011,411039.071706597,319096.712124223,"[314713, 503614]","[260000, 588262]"
"38","comuna","Calera",22,"Hombre","Asalariado sector privado",2010,436836.674192659,300269.064957341,"[328902, 596094]","[202626, 370488]"
"39","comuna","Calera",22,"Hombre","Asalariado sector privado",2011,290620.771297352,210916.039213709,"[247246, 342269]","[189684, 292742]"
"40","comuna","Calera de Tango",23,"Hombre","Asalariado sector privado",2010,718202.192209824,215210.412996672,"[160157, 1771732]","[140137, 2302251]"
"41","comuna","Calera de Tango",23,"Hombre","Asalariado sector privado",2011,710919.493934798,246184.13570887,"[220812, 1435132]","[200967, 1037804]"
"42","comuna","Calle Larga",24,"Hombre","Asalariado sector privado",2010,233487.808944996,210516.734016559,"[196586, 268313]","[170049, 260234]"
"43","comuna","Calle Larga",24,"Hombre","Asalariado sector privado",2011,264571.513237892,204548.052476039,"[219367, 301518]","[185900, 224150]"
"44","comuna","Camarones",25,"Hombre","Asalariado sector privado",2010,274479.629786803,281795.10191513,"[185907, 364207]","[140602, 435426]"
"45","comuna","Camarones",25,"Hombre","Asalariado sector privado",2011,250563.38028169,199079.545454545,"[153835, 352876]","[162500, 390000]"
"46","comuna","Camiña",26,"Hombre","Asalariado sector privado",2011,602899.924184988,602899.924184988,"[602900, 602900]","[602900, 602900]"
