"","geography_level","geography_name","geography_id","sex","icse","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","provincia","Antofagasta","p21","Hombre","Asalariado sector privado",2010,572695.192946788,410401.252691328,"[511477, 642065]","[381489, 490093]"
"2","provincia","Antofagasta","p21","Hombre","Asalariado sector privado",2011,583843.831527409,482319.93934799,"[535708, 641027]","[400000, 500000]"
"3","provincia","Arauco","p82","Hombre","Asalariado sector privado",2010,279574.548034445,249829.018075232,"[259854, 300097]","[220000, 275057]"
"4","provincia","Arauco","p82","Hombre","Asalariado sector privado",2011,275559.925763496,222878.008320529,"[250822, 305695]","[201388, 250003]"
"5","provincia","Arica","p151","Hombre","Asalariado sector privado",2010,336353.618733957,260000,"[309272, 361731]","[249841, 296442]"
"6","provincia","Arica","p151","Hombre","Asalariado sector privado",2011,347206.973074926,251208.301743745,"[322821, 382917]","[233895, 279105]"
"7","provincia","Aysén","p112","Hombre","Asalariado sector privado",2010,348453.409227902,275823.494763636,"[290569, 444741]","[239419, 345363]"
"8","provincia","Aysén","p112","Hombre","Asalariado sector privado",2011,406814.59913609,338913.227413744,"[363022, 458651]","[300735, 365135]"
"9","provincia","Bíobío","p83","Hombre","Asalariado sector privado",2010,308439.41277183,211867.84664776,"[273512, 344744]","[196915, 229860]"
"10","provincia","Bíobío","p83","Hombre","Asalariado sector privado",2011,325215.963214657,241188.463552113,"[284320, 358269]","[221063, 269154]"
"11","provincia","Cachapoal","p61","Hombre","Asalariado sector privado",2010,359974.222866719,250000,"[333929, 392333]","[241367, 279809]"
"12","provincia","Cachapoal","p61","Hombre","Asalariado sector privado",2011,327178.053388371,249200.902510106,"[307285, 359512]","[241160, 264402]"
"13","provincia","Capitán Prat","p113","Hombre","Asalariado sector privado",2010,284157.538714282,253379.659900794,"[178225, 426569]","[159891, 450440]"
"14","provincia","Capitán Prat","p113","Hombre","Asalariado sector privado",2011,299015.813547182,324058.709249431,"[95909, 514297]","[49840, 524319]"
"15","provincia","Cardenal Caro","p62","Hombre","Asalariado sector privado",2010,232854.11643944,196522.998438019,"[210572, 261979]","[180000, 201534]"
"16","provincia","Cardenal Caro","p62","Hombre","Asalariado sector privado",2011,239379.336900646,200966.641394996,"[219270, 270765]","[199361, 219666]"
"17","provincia","Cauquenes","p72","Hombre","Asalariado sector privado",2010,179770.566552953,170127.256237967,"[163648, 200136]","[150147, 172090]"
"18","provincia","Cauquenes","p72","Hombre","Asalariado sector privado",2011,213543.455082141,182129.168382613,"[193016, 245834]","[179121, 200782]"
"19","provincia","Cautín","p91","Hombre","Asalariado sector privado",2010,293548.939151869,200195.73302016,"[257433, 363190]","[197193, 220010]"
"20","provincia","Cautín","p91","Hombre","Asalariado sector privado",2011,303024.235669891,236594.18355547,"[274061, 343021]","[214966, 255994]"
"21","provincia","Chacabuco","p133","Hombre","Asalariado sector privado",2010,437234.885472514,250000,"[364304, 518054]","[227442, 270000]"
"22","provincia","Chacabuco","p133","Hombre","Asalariado sector privado",2011,518687.804860102,257027.949529944,"[410431, 686738]","[240208, 295412]"
"23","provincia","Chañaral","p32","Hombre","Asalariado sector privado",2010,416960.556486525,314144.87212153,"[327610, 492750]","[281219, 423902]"
"24","provincia","Chañaral","p32","Hombre","Asalariado sector privado",2011,533449.559143161,436813.535924092,"[467393, 635029]","[391885, 548984]"
"25","provincia","Chiloé","p102","Hombre","Asalariado sector privado",2010,301058.342101706,202281.78424747,"[244817, 368413]","[185907, 249829]"
"26","provincia","Chiloé","p102","Hombre","Asalariado sector privado",2011,293414.017012726,224174.047626921,"[264860, 330731]","[218500, 260809]"
"27","provincia","Choapa","p42","Hombre","Asalariado sector privado",2010,384320.850332737,299794.821690278,"[342237, 455642]","[252879, 359591]"
"28","provincia","Choapa","p42","Hombre","Asalariado sector privado",2011,348499.68488039,293719.543020156,"[297726, 406371]","[259169, 344609]"
"29","provincia","Colchagua","p63","Hombre","Asalariado sector privado",2010,241608.235690753,196925.571588825,"[225498, 259993]","[183365, 200000]"
"30","provincia","Colchagua","p63","Hombre","Asalariado sector privado",2011,263519.676961981,214217.239951409,"[237766, 296938]","[200000, 230000]"
"31","provincia","Concepción","p81","Hombre","Asalariado sector privado",2010,356133.277803226,249829.018075232,"[328644, 386399]","[231547, 260134]"
"32","provincia","Concepción","p81","Hombre","Asalariado sector privado",2011,384982.507728827,267884.290917108,"[362573, 417052]","[250000, 282928]"
"33","provincia","Copiapó","p31","Hombre","Asalariado sector privado",2010,477131.655523873,349760.625305325,"[417403, 536135]","[320000, 377503]"
"34","provincia","Copiapó","p31","Hombre","Asalariado sector privado",2011,544979.023445592,375748.159623461,"[478909, 614724]","[325250, 439128]"
"35","provincia","Cordillera","p152","Hombre","Asalariado sector privado",2010,374922.612659069,299794.821690278,"[343201, 425500]","[260028, 320054]"
"36","provincia","Cordillera","p152","Hombre","Asalariado sector privado",2011,392823.272040236,299041.083012127,"[347910, 436605]","[251208, 314615]"
"37","provincia","Coyhaique","p111","Hombre","Asalariado sector privado",2010,362876.665515288,249829.018075232,"[319790, 408437]","[221301, 272451]"
"38","provincia","Coyhaique","p111","Hombre","Asalariado sector privado",2011,405983.92051494,300000,"[358100, 468651]","[259649, 350000]"
"39","provincia","Curicó","p73","Hombre","Asalariado sector privado",2010,311956.441838022,195940.126256745,"[269066, 370430]","[181042, 200196]"
"40","provincia","Curicó","p73","Hombre","Asalariado sector privado",2011,254619.32449921,199360.722008085,"[232666, 274542]","[183886, 200000]"
"41","provincia","El Loa","p22","Hombre","Asalariado sector privado",2010,594436.261116306,406298.603646091,"[513938, 673504]","[375627, 472529]"
"42","provincia","El Loa","p22","Hombre","Asalariado sector privado",2011,607643.107474271,450000,"[546919, 703027]","[400000, 498640]"
"43","provincia","Elqui","p41","Hombre","Asalariado sector privado",2010,450970.931674551,254374.841939571,"[396336, 538104]","[249829, 306340]"
"44","provincia","Elqui","p41","Hombre","Asalariado sector privado",2011,441855.389589363,299041.083012127,"[384171, 530997]","[250000, 348881]"
"45","provincia","General Carrera","p114","Hombre","Asalariado sector privado",2010,383198.756130963,249829.018075232,"[223040, 539395]","[182016, 599590]"
"46","provincia","General Carrera","p114","Hombre","Asalariado sector privado",2011,390134.99650598,370249.519551175,"[286959, 518861]","[251208, 609025]"
"47","provincia","Huasco","p33","Hombre","Asalariado sector privado",2010,327778.122869256,242517.362555516,"[281667, 374503]","[206147, 297087]"
"48","provincia","Huasco","p33","Hombre","Asalariado sector privado",2011,401577.939905579,308131.086897817,"[351025, 463455]","[271140, 348881]"
"49","provincia","Iquique","p11","Hombre","Asalariado sector privado",2010,525446.898756504,349141.184915385,"[444866, 652219]","[299795, 379740]"
"50","provincia","Iquique","p11","Hombre","Asalariado sector privado",2011,509657.869772172,362800.215541304,"[446212, 577314]","[320605, 400000]"
"51","provincia","Limarí","p43","Hombre","Asalariado sector privado",2010,299998.11574405,210205.519671168,"[274008, 328369]","[200081, 227823]"
"52","provincia","Limarí","p43","Hombre","Asalariado sector privado",2011,284397.160708693,200000,"[256719, 313385]","[188315, 222000]"
"53","provincia","Linares","p74","Hombre","Asalariado sector privado",2010,191292.844118181,170000,"[168361, 229139]","[164941, 174880]"
"54","provincia","Linares","p74","Hombre","Asalariado sector privado",2011,241701.52472846,180869.977255496,"[203989, 279488]","[179425, 184713]"
"55","provincia","Llanquihue","p101","Hombre","Asalariado sector privado",2010,309593.803090156,230834.41320957,"[283532, 341127]","[215234, 245832]"
"56","provincia","Llanquihue","p101","Hombre","Asalariado sector privado",2011,381604.967109643,289943.123034892,"[332684, 449967]","[249580, 304464]"
"57","provincia","Los Andes","p53","Hombre","Asalariado sector privado",2010,494927.492036544,350000,"[452098, 555757]","[299795, 362267]"
"58","provincia","Los Andes","p53","Hombre","Asalariado sector privado",2011,453222.914342359,321446.695266709,"[409879, 503055]","[298753, 359086]"
"59","provincia","Magallanes","p121","Hombre","Asalariado sector privado",2010,588602.577206611,300000,"[454617, 711063]","[276280, 342748]"
"60","provincia","Magallanes","p121","Hombre","Asalariado sector privado",2011,655550.207565918,348881.263514149,"[536511, 809028]","[300000, 360241]"
"61","provincia","Maipo","p134","Hombre","Asalariado sector privado",2010,356672.900992554,228060.519552788,"[302315, 422774]","[206885, 249829]"
"62","provincia","Maipo","p134","Hombre","Asalariado sector privado",2011,368843.088661974,269727.7270852,"[328017, 424748]","[249580, 299041]"
"63","provincia","Malleco","p92","Hombre","Asalariado sector privado",2010,238026.206543779,180436.907286303,"[214358, 259895]","[175000, 197830]"
"64","provincia","Malleco","p92","Hombre","Asalariado sector privado",2011,317836.8497042,208443.881860902,"[274120, 368081]","[199361, 236733]"
"65","provincia","Marga Marga","p58","Hombre","Asalariado sector privado",2010,341006.461628525,237546.32226392,"[289993, 419920]","[203571, 260254]"
"66","provincia","Marga Marga","p58","Hombre","Asalariado sector privado",2011,338161.282446871,242418.543740749,"[299810, 383178]","[219297, 280285]"
"67","provincia","Melipilla","p135","Hombre","Asalariado sector privado",2010,309060.488342477,193558.159122767,"[227368, 419432]","[179877, 211206]"
"68","provincia","Melipilla","p135","Hombre","Asalariado sector privado",2011,297196.146793823,234866.399908869,"[260978, 350379]","[200000, 251208]"
"69","provincia","Ñuble","p84","Hombre","Asalariado sector privado",2010,233567.85246783,180176.159718144,"[209816, 260309]","[171898, 199863]"
"70","provincia","Ñuble","p84","Hombre","Asalariado sector privado",2011,288210.181886782,220000,"[258944, 325090]","[200000, 249302]"
"71","provincia","Osorno","p103","Hombre","Asalariado sector privado",2010,298976.053763678,219849.535906204,"[264392, 326551]","[200196, 227704]"
"72","provincia","Osorno","p103","Hombre","Asalariado sector privado",2011,314291.489146878,227473.079727051,"[289840, 344318]","[214967, 250000]"
"73","provincia","Parinacota","p152","Hombre","Asalariado sector privado",2011,174840.978013647,148212.89802881,"[147710, 228600]","[147710, 228600]"
