"","geography_level","geography_name","geography_id","sex","icse","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","region","Antofagasta","2","Hombre","Asalariado Sector Privado",2010,572458.89000562,410401.252691328,"[529746, 611449]","[399726, 450231]"
"2","region","Antofagasta","2","Hombre","Asalariado Sector Privado",2011,585103.262977368,479730.865659091,"[539292, 634828]","[400000, 500000]"
"3","region","Antofagasta","2","Hombre","Asalariado Sector Privado",2012,664554.182727359,502810.541835605,"[616440, 710901]","[482698, 552801]"
"4","region","Antofagasta","2","Hombre","Asalariado Sector Privado",2013,702989.744400148,550745.594215999,"[634229, 764257]","[500621, 600000]"
"5","region","Antofagasta","2","Hombre","Asalariado Sector Privado",2014,731205.133676724,520371.191149521,"[655273, 797415]","[500000, 580212]"
"6","region","Antofagasta","2","Hombre","Asalariado Sector Privado",2015,802982.520049311,600162.366949308,"[734597, 887500]","[551143, 652648]"
"7","region","Araucanía","9","Hombre","Asalariado Sector Privado",2010,282756.42256644,200000,"[248491, 324249]","[190935, 218703]"
"8","region","Araucanía","9","Hombre","Asalariado Sector Privado",2011,305902.450764693,231111.637604245,"[283042, 334940]","[209327, 250000]"
"9","region","Araucanía","9","Hombre","Asalariado Sector Privado",2012,384201.60404974,260469.839835712,"[344648, 443674]","[250000, 279953]"
"10","region","Araucanía","9","Hombre","Asalariado Sector Privado",2013,376035.770785182,263999.280704909,"[331747, 451972]","[249328, 284992]"
"11","region","Araucanía","9","Hombre","Asalariado Sector Privado",2014,369592.725115825,289828.031188669,"[339994, 400090]","[264950, 305886]"
"12","region","Araucanía","9","Hombre","Asalariado Sector Privado",2015,425052.636283865,321303.875407462,"[390241, 466418]","[300623, 350000]"
"13","region","Arica y Parinacota","15","Hombre","Asalariado Sector Privado",2010,336353.618733957,260000,"[309272, 361731]","[249841, 296442]"
"14","region","Arica y Parinacota","15","Hombre","Asalariado Sector Privado",2011,345892.120976467,251208.301743745,"[318637, 376869]","[234969, 269137]"
"15","region","Arica y Parinacota","15","Hombre","Asalariado Sector Privado",2012,422137.734878225,300000,"[386692, 458013]","[265730, 321799]"
"16","region","Arica y Parinacota","15","Hombre","Asalariado Sector Privado",2013,390707.463992477,304677.47013645,"[362005, 425138]","[300000, 350000]"
"17","region","Arica y Parinacota","15","Hombre","Asalariado Sector Privado",2014,420893.401655435,349934.370898181,"[388696, 458466]","[303127, 378908]"
"18","region","Arica y Parinacota","15","Hombre","Asalariado Sector Privado",2015,462787.651907955,391589.098152845,"[433419, 504001]","[353599, 404274]"
"19","region","Atacama","3","Hombre","Asalariado Sector Privado",2010,435719.008190407,320000,"[403046, 473912]","[300294, 347006]"
"20","region","Atacama","3","Hombre","Asalariado Sector Privado",2011,511738.772314642,358849.299614553,"[454184, 572402]","[328056, 400422]"
"21","region","Atacama","3","Hombre","Asalariado Sector Privado",2012,474782.759160302,392015.386075142,"[441078, 521732]","[351579, 408835]"
"22","region","Atacama","3","Hombre","Asalariado Sector Privado",2013,580642.052863025,450000,"[538171, 649761]","[400258, 493849]"
"23","region","Atacama","3","Hombre","Asalariado Sector Privado",2014,586720.451840802,460000,"[538239, 639151]","[401980, 500000]"
"24","region","Atacama","3","Hombre","Asalariado Sector Privado",2015,635006.882913998,480015.894241926,"[585525, 686565]","[450122, 550078]"
"25","region","Aysén","11","Hombre","Asalariado Sector Privado",2010,355701.902338999,250244.6662752,"[316612, 400749]","[240112, 279809]"
"26","region","Aysén","11","Hombre","Asalariado Sector Privado",2011,404328.44322225,318977.155212936,"[365641, 433262]","[297677, 348881]"
"27","region","Aysén","11","Hombre","Asalariado Sector Privado",2012,411407.824591337,314874.074657913,"[375674, 454050]","[290480, 350000]"
"28","region","Aysén","11","Hombre","Asalariado Sector Privado",2013,405953.878175978,338716.058262902,"[369134, 448062]","[300339, 367947]"
"29","region","Aysén","11","Hombre","Asalariado Sector Privado",2014,527019.029988656,353647.9060072,"[461574, 600918]","[339936, 399925]"
"30","region","Aysén","11","Hombre","Asalariado Sector Privado",2015,533735.260369976,400108.244632872,"[483873, 600224]","[380103, 443275]"
"31","region","Bíobío","8","Hombre","Asalariado Sector Privado",2010,315729.19025237,219849.535906204,"[302724, 334558]","[209925, 226919]"
"32","region","Bíobío","8","Hombre","Asalariado Sector Privado",2011,342819.05875941,250000,"[321992, 359474]","[241160, 258039]"
"33","region","Bíobío","8","Hombre","Asalariado Sector Privado",2012,348426.285851396,251405.270917803,"[332762, 366143]","[250000, 264004]"
"34","region","Bíobío","8","Hombre","Asalariado Sector Privado",2013,380135.095026597,298867.110231973,"[363270, 397263]","[280415, 300000]"
"35","region","Bíobío","8","Hombre","Asalariado Sector Privado",2014,407002.673817317,300000,"[387984, 435641]","[296310, 314526]"
"36","region","Bíobío","8","Hombre","Asalariado Sector Privado",2015,445905.930787119,350000,"[425721, 464296]","[332580, 351360]"
"37","region","Coquimbo","4","Hombre","Asalariado Sector Privado",2010,409004.954071971,250000,"[370794, 452015]","[239798, 277787]"
"38","region","Coquimbo","4","Hombre","Asalariado Sector Privado",2011,396378.316940685,261028.08805954,"[362293, 425644]","[249580, 299041]"
"39","region","Coquimbo","4","Hombre","Asalariado Sector Privado",2012,456392.34782599,331518.796234299,"[423936, 496253]","[301353, 356185]"
"40","region","Coquimbo","4","Hombre","Asalariado Sector Privado",2013,499735.440881911,348678.295270635,"[460691, 549038]","[320236, 375535]"
