"","geography_level","geography_name","geography_id","sex","isced","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","country","País","country","Hombre","Doctorado",2010,1439610.38631277,1300846.38537276,"[1113778, 1787715]","[851577, 1621258]"
"2","country","País","country","Hombre","Doctorado",2011,2001602.34763589,1872332.50404371,"[1649320, 2284764]","[1500000, 2468431]"
"3","country","País","country","Hombre","Doctorado",2012,1935134.55832173,1580455.83368266,"[1396494, 2453078]","[1105542, 1966906]"
"4","country","País","country","Hombre","Doctorado",2013,1522377.48948647,1241518.14857996,"[1174966, 1926599]","[800000, 1888612]"
"5","country","País","country","Hombre","Doctorado",2014,1968113.25524763,1569072.72163896,"[1605699, 2533234]","[1447366, 1934814]"
"6","country","País","country","Hombre","Doctorado",2015,2323896.06380923,2211523.91396187,"[1808396, 2806688]","[1500406, 2999212]"
"7","country","País","country","Hombre","Educación preescolar",2010,165267.715008424,167066.778790557,"[116684, 218063]","[100564, 185210]"
"8","country","País","country","Hombre","Educación preescolar",2011,195626.698438076,185413.289408747,"[134520, 248616]","[125742, 320000]"
"9","country","País","country","Hombre","Educación Preescolar",2012,173972.360856062,190419.003005376,"[131523, 225235]","[66172, 290000]"
"10","country","País","country","Hombre","Educación primaria (nivel 1)",2010,192030.063587773,169883.732291158,"[181857, 204912]","[163067, 171882]"
"11","country","País","country","Hombre","Educación primaria (nivel 1)",2011,207929.445982475,182000,"[200186, 215544]","[180870, 185000]"
"12","country","País","country","Hombre","Educación Primaria (nivel 1)",2012,239744.700042755,196096.111315886,"[221172, 276586]","[193870, 200332]"
"13","country","País","country","Hombre","Educación primaria (nivel 2)",2010,221449.830304874,190185.946369152,"[213165, 230976]","[180176, 199863]"
"14","country","País","country","Hombre","Educación primaria (nivel 2)",2011,253721.67222953,200966.641394996,"[244052, 265899]","[200459, 212070]"
"15","country","País","country","Hombre","Educación Primaria (nivel 2)",2012,261790.446486159,219406.302976861,"[252125, 272082]","[210947, 224645]"
"16","country","País","country","Hombre","Educación secundaria",2010,323904.797837138,249829.018075232,"[313511, 331720]","[242261, 250000]"
"17","country","País","country","Hombre","Educación secundaria",2011,345239.902540296,263266.300227445,"[334962, 355759]","[258030, 274082]"
"18","country","País","country","Hombre","Educación Secundaria",2012,375846.908286559,301353.092783505,"[366730, 386346]","[300000, 301353]"
"19","country","País","country","Hombre","Educación Técnica (Educación Superior no Universitaria)",2010,478756.575117227,358839.499158637,"[449547, 502467]","[332479, 390374]"
"20","country","País","country","Hombre","Educación Técnica (Educación Superior no Universitaria)",2011,532377.214935684,401933.282789992,"[500792, 583327]","[389452, 420270]"
"21","country","País","country","Hombre","Educación Técnica (Educación Superior no Universitaria)",2012,565658.293101107,412304.644305196,"[525357, 614034]","[400892, 446425]"
"22","country","País","country","Hombre","Educación universitaria",2010,909346.25286405,664431.120398318,"[858127, 961434]","[600348, 700616]"
"23","country","País","country","Hombre","Educación universitaria",2011,925326.708872439,602899.924184988,"[874310, 979179]","[598082, 661199]"
"24","country","País","country","Hombre","Educación Universitaria",2012,987849.198472794,703157.216494845,"[935287, 1043283]","[650000, 740432]"
"25","country","País","country","Hombre","Nivel ignorado",2010,384748.000244019,230171.602796389,"[269822, 510344]","[199863, 694813]"
"26","country","País","country","Hombre","Nivel ignorado",2011,410677.94740186,251400.604796496,"[273714, 673908]","[199472, 413915]"
"27","country","País","country","Hombre","Nivel ignorado",2012,424864.257193531,247108.989811248,"[250811, 896212]","[189761, 315150]"
"28","country","País","country","Hombre","Nivel ignorado",2013,561293.483141659,298867.110231973,"[381232, 852367]","[231748, 433621]"
"29","country","País","country","Hombre","Nivel ignorado",2014,473643.078921817,280475.247631204,"[346517, 689526]","[268659, 351119]"
"30","country","País","country","Hombre","Nivel ignorado",2015,913607.558172326,510331.104566868,"[629140, 1288109]","[309796, 1300352]"
"31","country","País","country","Hombre","Nunca estudió",2010,140154.781856295,140000,"[127447, 153559]","[122578, 150000]"
"32","country","País","country","Hombre","Nunca estudió",2011,138043.826017589,120579.984836998,"[124201, 155875]","[104993, 150863]"
"33","country","País","country","Hombre","Nunca Estudió",2012,175042.634124562,160000.24226387,"[150710, 220072]","[130205, 180812]"
"34","country","País","country","Hombre","Postítulo y Maestría",2012,1848366.66550814,1506765.46391753,"[1538099, 2158615]","[1195170, 1940535]"
"35","country","País","country","Hombre","Postitulos y maestria",2010,1790601.1307925,1401370.13114112,"[1535643, 2228092]","[1151125, 1682645]"
"36","country","País","country","Hombre","Postitulos y maestria",2011,1856950.55094477,1495205.41506064,"[1597497, 2170309]","[1198662, 1607581]"
"37","country","País","country","Hombre","Postítulos y Maestría",2013,1791771.9070035,1335749.31116693,"[1538442, 2120033]","[1058102, 1731216]"
"38","country","País","country","Mujer","Doctorado",2010,713760.665713849,486688.934499081,"[425027, 1650096]","[360352, 1512986]"
"39","country","País","country","Mujer","Doctorado",2011,1451274.10111632,1028013.45913282,"[1058956, 2125371]","[767772, 2231960]"
