"","geography_level","geography_name","geography_id","sex","isco","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","country","País","country","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,222269.020004065,149897.410845139,"[202620, 250897]","[138470, 151652]"
"2","country","País","country","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,230134.539961963,169456.613706872,"[209918, 260181]","[159616, 179425]"
"3","country","País","country","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,233790.097132852,181011.795060818,"[214436, 257121]","[170456, 193457]"
"4","country","País","country","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,240137.42163429,190257.568910981,"[221359, 264826]","[169663, 200000]"
"5","country","País","country","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,280016.107611619,200000,"[250918, 329348]","[199962, 203879]"
"6","country","País","country","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,307538.195918394,220182.591260006,"[284688, 336209]","[205055, 240546]"
"7","country","País","country","Hombre","Empleados de oficina",2010,357004.823813011,299794.821690278,"[327361, 382626]","[266087, 300294]"
"8","country","País","country","Hombre","Empleados de oficina",2011,403586.207843028,308483.794541319,"[372132, 437236]","[299041, 331595]"
"9","country","País","country","Hombre","Empleados de oficina",2012,412630.882113348,351578.608247422,"[392970, 435453]","[329126, 358386]"
"10","country","País","country","Hombre","Empleados de oficina",2013,456460.512453443,372010.538237348,"[426845, 479914]","[350000, 389062]"
"11","country","País","country","Hombre","Empleados de oficina",2014,471476.239636254,400000,"[443508, 500773]","[389932, 412521]"
"12","country","País","country","Hombre","Empleados de oficina",2015,471109.293068638,400108.244632872,"[446026, 494415]","[380000, 401630]"
"13","country","País","country","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2010,1447923.03160904,1000978.6651008,"[1248868, 1693755]","[999316, 1151921]"
"14","country","País","country","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2011,1713845.54292321,1086492.89771394,"[1459250, 1974051]","[996804, 1207703]"
"15","country","País","country","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2012,1703814.41017768,1205412.37113402,"[1512276, 1928293]","[1005621, 1500000]"
"16","country","País","country","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2013,1803606.32777404,1210005.42333325,"[1606187, 2079434]","[1195468, 1494336]"
