"","geography_level","geography_name","geography_id","sex","isco","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","provincia","Antofagasta","p21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,237983.791975973,237983.791975973,"[170166, 329774]","[170166, 329774]"
"2","provincia","Antofagasta","p21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,180068.730477235,164687.867128644,"[77642, 285249]","[50000, 343022]"
"3","provincia","Antofagasta","p21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,309235.925557384,306022.68035227,"[231628, 381145]","[270318, 365548]"
"4","provincia","Antofagasta","p21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,233537.023674511,183525.878155019,"[150284, 300339]","[130000, 395521]"
"5","provincia","Antofagasta","p21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,292658.962408022,227798.206890927,"[182419, 522007]","[71759, 359971]"
"6","provincia","Antofagasta","p21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,435377.209471109,373072.431715034,"[330081, 615825]","[330073, 750000]"
"7","provincia","Arauco","p82","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,146365.863409831,99017.938249426,"[117865, 175568]","[75847, 138704]"
"8","provincia","Arauco","p82","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,135560.28195205,79744.288803234,"[108321, 159192]","[67679, 110532]"
"9","provincia","Arauco","p82","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,243107.607591592,156286.207606114,"[160713, 372007]","[130347, 196660]"
"10","provincia","Arauco","p82","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,209175.505629937,117135.252417864,"[132200, 336155]","[90073, 163753]"
"11","provincia","Arauco","p82","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,193941.95268494,119997.021321651,"[142101, 271481]","[86893, 176760]"
"12","provincia","Arauco","p82","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,266101.569643983,212857.404030979,"[193447, 369842]","[150018, 250051]"
"13","provincia","Arica","p151","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,269838.038853853,208701.181959527,"[217700, 337384]","[165565, 259274]"
"14","provincia","Arica","p151","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,284923.578428867,207227.504211761,"[234568, 368546]","[164378, 266845]"
"15","provincia","Arica","p151","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,318330.470802988,205036.295598278,"[236896, 431194]","[179500, 260316]"
"16","provincia","Arica","p151","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,356217.504564322,299996.091080037,"[294061, 466464]","[230490, 308829]"
"17","provincia","Arica","p151","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,330302.045997063,300000,"[290663, 366564]","[259356, 307958]"
"18","provincia","Arica","p151","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,464621.97158815,406288.775161349,"[394225, 558066]","[331760, 502521]"
"19","provincia","Aysén","p112","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,258086.504547471,219968.131491638,"[194632, 379707]","[180613, 241727]"
"20","provincia","Aysén","p112","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,282365.786818611,251208.301743745,"[249252, 336688]","[193649, 300000]"
"21","provincia","Aysén","p112","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,389974.796044097,351267.221258468,"[307663, 508589]","[256144, 449829]"
"22","provincia","Aysén","p112","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,364385.642473578,279330.547672162,"[246288, 620480]","[222178, 336799]"
