"","geography_level","geography_name","geography_id","sex","isco","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","region","Antofagasta",2,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,323522.620230825,297036.530059584,"[240257, 408454]","[220000, 478078]"
"2","region","Antofagasta",2,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,201288.0605229,190330.259423156,"[134372, 270121]","[105000, 319843]"
"3","region","Antofagasta",2,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,307819.972130378,305283.444662667,"[237243, 387446]","[245459, 353082]"
"4","region","Antofagasta",2,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,226414.832016803,183525.878155019,"[157420, 306704]","[126818, 389714]"
"5","region","Antofagasta",2,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,334253.511402676,265137.54795557,"[227735, 510857]","[170985, 454690]"
"6","region","Antofagasta",2,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,412645.956667903,364794.804784097,"[304351, 575114]","[319165, 706265]"
"7","region","Araucanía",9,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,135293.017897463,70745.6924505474,"[101657, 183783]","[61585, 80062]"
"8","region","Araucanía",9,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,158154.775857083,68825.3473953759,"[107592, 232881]","[60290, 86314]"
"9","region","Araucanía",9,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,173198.723194728,86995.3563693207,"[121649, 228177]","[72637, 111266]"
"10","region","Araucanía",9,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,142785.924929849,80064.5731786158,"[112923, 174486]","[63112, 112000]"
"11","region","Araucanía",9,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,181147.182248519,111434.579819581,"[142740, 212271]","[91651, 138872]"
"12","region","Araucanía",9,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,196554.479771739,100400.64551129,"[148631, 273210]","[96827, 127973]"
"13","region","Arica y Parinacota",15,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,241351.565793079,180955.886054879,"[207628, 298340]","[150147, 213208]"
"14","region","Arica y Parinacota",15,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,264648.106757716,200966.641394996,"[214449, 327294]","[154549, 245719]"
"15","region","Arica y Parinacota",15,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,293250.585549967,200461.509987748,"[226322, 387679]","[159292, 220061]"
"16","region","Arica y Parinacota",15,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,350641.839459038,272106.723908753,"[289291, 504610]","[223269, 308829]"
"17","region","Arica y Parinacota",15,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,317959.420268837,284288.842272955,"[282939, 355010]","[249953, 306382]"
"18","region","Arica y Parinacota",15,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,440983.105814483,394803.016994383,"[386047, 512598]","[325669, 501633]"
"19","region","Atacama",3,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,229955.351005017,183761.515594195,"[177236, 286156]","[149364, 299795]"
"20","region","Atacama",3,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,209088.996588192,193776.149148409,"[157823, 282736]","[146733, 205000]"
"21","region","Atacama",3,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,217961.115634445,194385.371841826,"[161307, 275566]","[135546, 201124]"
"22","region","Atacama",3,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,241481.429904959,230637.902402112,"[194962, 295919]","[205121, 298996]"
"23","region","Atacama",3,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,251918.620769183,226695.004181313,"[190927, 320624]","[169625, 284548]"
"24","region","Atacama",3,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,283110.164218899,256766.440238232,"[208496, 361727]","[227965, 360000]"
"25","region","Aysén",11,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,266494.199899792,219580.172946879,"[211261, 341260]","[191315, 259530]"
"26","region","Aysén",11,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,304473.031044999,249705.820950913,"[254176, 351566]","[194246, 301450]"
"27","region","Aysén",11,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,341085.359215779,270000,"[263989, 419888]","[208234, 330333]"
"28","region","Aysén",11,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,281068.658187781,250338.906461818,"[232824, 345918]","[198359, 280620]"
"29","region","Aysén",11,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,501920.933902848,282664.363769934,"[367913, 621771]","[246255, 348921]"
"30","region","Aysén",11,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,352424.37595767,301019.04514849,"[293934, 423079]","[251032, 396497]"
"31","region","Bíobío",8,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,268972.879882603,131114.75808073,"[186450, 358730]","[100965, 149897]"
"32","region","Bíobío",8,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,194990.970406056,143648.988119781,"[162301, 232329]","[115546, 160499]"
"33","region","Bíobío",8,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,297698.633798144,193870.489690722,"[227704, 369073]","[170000, 200602]"
"34","region","Bíobío",8,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,201176.036127015,159243.670393879,"[166694, 243266]","[119547, 199245]"
"35","region","Bíobío",8,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,215002.458330268,159979.347501839,"[162041, 294389]","[120000, 200463]"
"36","region","Bíobío",8,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,287543.603851113,204317.26023641,"[220081, 363256]","[167054, 221470]"
"37","region","Coquimbo",4,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,177227.489904461,150146.79976512,"[155125, 202443]","[129547, 170166]"
"38","region","Coquimbo",4,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,255917.874871171,178125.85458662,"[196095, 366986]","[141409, 200204]"
"39","region","Coquimbo",4,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,184854.69759487,150607.96965411,"[159552, 218807]","[116087, 200474]"
"40","region","Coquimbo",4,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,252610.079151633,167010.526162302,"[191239, 349667]","[150203, 203240]"
"41","region","Coquimbo",4,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,281211.552898182,221060.014818818,"[232064, 347116]","[197903, 260000]"
"42","region","Coquimbo",4,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,279409.503039953,230937.160449114,"[220235, 339304]","[185166, 250000]"
"43","region","Los Lagos",10,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,211134.657093044,136603.0284465,"[172588, 327420]","[106444, 162640]"
"44","region","Los Lagos",10,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,303872.385191723,171454.887887654,"[246430, 376092]","[152299, 200798]"
"45","region","Los Lagos",10,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,233599.607876994,150681.792678278,"[207470, 277736]","[132742, 185251]"
"46","region","Los Lagos",10,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,293327.928428772,214872.471845205,"[248912, 344664]","[182855, 277272]"
"47","region","Los Lagos",10,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,374150.239105699,199962.497656104,"[256958, 565484]","[159625, 202898]"
"48","region","Los Lagos",10,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,315085.983494464,240000,"[272223, 365177]","[200786, 265808]"
"49","region","Los Ríos",14,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,165543.814845011,130057.949438959,"[128071, 209345]","[87835, 170000]"
"50","region","Los Ríos",14,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,192698.386139446,126046.71458754,"[159869, 227433]","[100472, 183403]"
"51","region","Los Ríos",14,"Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,272661.265334607,194246.21268946,"[197052, 352873]","[139874, 200941]"
