"","geography_level","geography_name","geography_id","sex","isic","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","country","País","country","Hombre","Agricultura, ganadería, caza y silvicultura",2010,232109.002677422,172000,"[215481, 255517]","[170166, 173973]"
"2","country","País","country","Hombre","Agricultura, ganadería, caza y silvicultura",2011,254220.151042901,184408.667857479,"[242051, 280102]","[182000, 189393]"
"3","country","País","country","Hombre","Agricultura, ganadería, caza y silvicultura",2012,261185.476833673,198868.493111341,"[243065, 279147]","[194085, 200474]"
"4","country","País","country","Hombre","Agricultura, ganadería, caza y silvicultura",2013,287781.420155608,210284.681427927,"[269560, 303868]","[210000, 212287]"
"5","country","País","country","Hombre","Agricultura, ganadería, caza y silvicultura",2014,304360.121373589,227345.0824332,"[288622, 329763]","[225000, 232397]"
"6","country","País","country","Hombre","Agricultura, ganadería, caza y silvicultura",2015,341306.691044478,250000,"[322558, 360320]","[241982, 250068]"
"7","country","País","country","Hombre","Pesca",2010,300684.799902363,202157.961120791,"[264547, 350407]","[180649, 228646]"
"8","country","País","country","Hombre","Pesca",2011,270582.658725682,200966.641394996,"[245333, 292382]","[180754, 220000]"
"9","country","País","country","Hombre","Pesca",2012,321361.984170222,217531.904685077,"[265872, 390792]","[200000, 250000]"
"10","country","País","country","Hombre","Pesca",2013,295044.700772927,230076.383126462,"[262545, 329985]","[200129, 260707]"
"11","country","País","country","Hombre","Pesca",2014,385930.070808853,293797.418139376,"[339593, 443181]","[249953, 303127]"
"12","country","País","country","Hombre","Pesca",2015,473384.596892039,301222.383194496,"[394684, 581010]","[264785, 331345]"
"13","country","País","country","Hombre","Explotación de minas y canteras",2010,712978.552096354,540000,"[675023, 754829]","[517881, 553731]"
"14","country","País","country","Hombre","Explotación de minas y canteras",2011,707463.861776054,540000,"[663459, 750846]","[502417, 559902]"
"15","country","País","country","Hombre","Explotación de minas y canteras",2012,773265.450305598,602706.18556701,"[730081, 846060]","[568488, 649112]"
"16","country","País","country","Hombre","Explotación de minas y canteras",2013,862003.478656262,670000,"[811145, 928281]","[628814, 700000]"
"17","country","País","country","Hombre","Explotación de minas y canteras",2014,837214.031741779,671289.448775797,"[793322, 876994]","[646670, 700000]"
"18","country","País","country","Hombre","Explotación de minas y canteras",2015,955279.814919946,745781.06945459,"[887867, 1026588]","[700041, 796779]"
"19","country","País","country","Hombre","Industrias manufactureras",2010,399285.660420716,261998.363619658,"[379463, 424956]","[250245, 280000]"
"20","country","País","country","Hombre","Industrias manufactureras",2011,435973.223421542,299041.083012127,"[410849, 461587]","[279530, 300761]"
"21","country","País","country","Hombre","Industrias manufactureras",2012,442220.750679974,301686.325101363,"[421064, 464972]","[301353, 316771]"
"22","country","País","country","Hombre","Industrias manufactureras",2013,490148.584246479,350000,"[466457, 513407]","[340461, 355000]"
"23","country","País","country","Hombre","Industrias manufactureras",2014,497273.185274471,359932.495780987,"[476271, 540761]","[349970, 375620]"
