"","geography_level","geography_name","geography_id","sex","isic","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","provincia","Antofagasta","p21","Hombre","1",2012,357531.363997844,357531.363997844,"[300000, 402248]","[300000, 402248]"
"2","provincia","Arauco","p82","Hombre","1",2010,204918.793119408,164523.932697837,"[178596, 230318]","[125122, 220107]"
"3","provincia","Arauco","p82","Hombre","1",2012,291911.392630553,241082.474226804,"[232687, 429279]","[199556, 269155]"
"4","provincia","Arica","p151","Hombre","1",2010,245291.340221163,164920.733138127,"[202166, 317449]","[148886, 189062]"
"5","provincia","Arica","p151","Hombre","1",2012,293017.472347544,200902.06185567,"[221132, 372082]","[190030, 220000]"
"6","provincia","Aysén","p112","Hombre","1",2010,335981.281943091,218391.769445647,"[195498, 529389]","[111897, 253622]"
"7","provincia","Aysén","p112","Hombre","1",2012,341304.512336239,275230.899356189,"[236506, 559607]","[215374, 350505]"
"8","provincia","Bíobío","p83","Hombre","1",2010,357279.809226609,184654.314190623,"[256478, 567246]","[168680, 201274]"
"9","provincia","Bíobío","p83","Hombre","1",2012,221052.562807197,197312.234703475,"[188456, 258037]","[190653, 207042]"
"10","provincia","Cachapoal","p61","Hombre","1",2010,248383.522091494,184461.221586594,"[219367, 306871]","[180000, 199919]"
"11","provincia","Cachapoal","p61","Hombre","1",2012,258423.229296063,200902.06185567,"[235542, 304664]","[199233, 221237]"
"12","provincia","Capitán Prat","p113","Hombre","1",2010,194240.864745716,178633.848072615,"[154125, 240097]","[129770, 257433]"
"13","provincia","Capitán Prat","p113","Hombre","1",2012,266697.487113402,266697.487113402,"[63284, 470111]","[63284, 470111]"
"14","provincia","Cardenal Caro","p62","Hombre","1",2010,208683.706742096,179876.893014167,"[181141, 237589]","[169487, 189870]"
"15","provincia","Cardenal Caro","p62","Hombre","1",2012,217930.266596509,196096.111315886,"[194054, 249307]","[183922, 211625]"
"16","provincia","Cauquenes","p72","Hombre","1",2010,157744.566001832,141902.882266732,"[126068, 184694]","[124442, 170069]"
"17","provincia","Cauquenes","p72","Hombre","1",2012,197333.704764538,176999.074305547,"[166350, 230930]","[157178, 200000]"
"18","provincia","Cautín","p91","Hombre","1",2010,214365.469819365,77865.1038487684,"[108453, 521909]","[62637, 92676]"
"19","provincia","Cautín","p91","Hombre","1",2012,146044.631836472,105802.289127662,"[124565, 173125]","[81394, 130731]"
"20","provincia","Chacabuco","p133","Hombre","1",2010,196733.58561601,172000,"[154710, 280115]","[149897, 183032]"
"21","provincia","Chacabuco","p133","Hombre","1",2012,185766.311078773,181011.795060818,"[151726, 224186]","[156190, 201015]"
"22","provincia","Chiloé","p102","Hombre","1",2010,75582.0208250985,59958.9643380557,"[61234, 94287]","[50000, 60661]"
"23","provincia","Chiloé","p102","Hombre","1",2012,132258.969010261,80930.7247765702,"[101714, 193057]","[51300, 116882]"
"24","provincia","Choapa","p42","Hombre","1",2010,159218.91325313,145570.526653943,"[139578, 179625]","[126113, 160157]"
"25","provincia","Choapa","p42","Hombre","1",2012,174606.646111061,120156.489730906,"[137379, 226617]","[82908, 161536]"
"26","provincia","Colchagua","p63","Hombre","1",2010,225395.260602132,179876.893014167,"[193388, 305163]","[171978, 194898]"
"27","provincia","Colchagua","p63","Hombre","1",2012,229087.287294347,193956.900660032,"[205021, 268735]","[193003, 210595]"
"28","provincia","Concepción","p81","Hombre","1",2010,273868.710995017,210524.907621999,"[216178, 346355]","[140921, 271140]"
"29","provincia","Concepción","p81","Hombre","1",2012,291635.272407826,224171.881576066,"[236859, 362643]","[198901, 281544]"
"30","provincia","Copiapó","p31","Hombre","1",2010,316667.227121876,287865.013607791,"[257633, 396552]","[177980, 390382]"
"31","provincia","Copiapó","p31","Hombre","1",2012,290685.494845421,301621.004237105,"[236170, 381931]","[209291, 351579]"
"32","provincia","Cordillera","p152","Hombre","1",2010,255486.666587363,174509.679001692,"[168483, 342980]","[159131, 241750]"
"33","provincia","Cordillera","p152","Hombre","1",2012,254874.787763984,197140.511621819,"[110964, 628161]","[30169, 301597]"
"34","provincia","Coyhaique","p111","Hombre","1",2010,353781.159295812,279089.345058214,"[287835, 427662]","[210752, 314656]"
"35","provincia","Coyhaique","p111","Hombre","1",2012,297160.53223572,197895.177209294,"[223676, 388160]","[150843, 253583]"
"36","provincia","Curicó","p73","Hombre","1",2010,215872.313677681,171924.325732913,"[188773, 261723]","[169899, 175029]"
"37","provincia","Curicó","p73","Hombre","1",2012,283264.166730165,201425.751774153,"[247231, 318221]","[194063, 217979]"
"38","provincia","El Loa","p22","Hombre","1",2010,385521.545372359,420019.040264055,"[270470, 515517]","[304059, 531073]"
"39","provincia","El Loa","p22","Hombre","1",2012,220000,220000,"[220000, 220000]","[220000, 220000]"
"40","provincia","Elqui","p41","Hombre","1",2010,231089.569975075,174880.312652662,"[192825, 280774]","[160157, 186180]"
"41","provincia","Elqui","p41","Hombre","1",2012,214786.369931326,193870.489690722,"[183360, 248743]","[180208, 200000]"
"42","provincia","General Carrera","p114","Hombre","1",2010,189679.149285124,170102.786039977,"[138168, 249721]","[140330, 263431]"
"43","provincia","General Carrera","p114","Hombre","1",2012,111639.090024516,96869.9617532611,"[70808, 181146]","[45253, 219287]"
"44","provincia","Huasco","p33","Hombre","1",2010,192915.648180126,173279.018207415,"[165063, 231662]","[150557, 197668]"
"45","provincia","Huasco","p33","Hombre","1",2012,191767.103340733,193000,"[168118, 215871]","[190000, 193071]"
"46","provincia","Iquique","p11","Hombre","1",2010,105541.99013948,54909.2631742806,"[43263, 618553]","[40589, 588606]"
"47","provincia","Iquique","p11","Hombre","1",2012,405754.893963159,413939.206441301,"[223741, 541818]","[181012, 531607]"
"48","provincia","Limarí","p43","Hombre","1",2010,186233.518141952,173104.239610432,"[173107, 204143]","[170313, 180176]"
"49","provincia","Limarí","p43","Hombre","1",2012,218179.10428881,193000,"[178097, 286625]","[184394, 200404]"
"50","provincia","Linares","p74","Hombre","1",2010,150105.135265407,150000,"[136959, 166479]","[139907, 159891]"
"51","provincia","Linares","p74","Hombre","1",2012,169001.619501226,183094.080507462,"[156602, 185404]","[158416, 193000]"
"52","provincia","Llanquihue","p101","Hombre","1",2010,313362.695817377,199863.214460186,"[254340, 399396]","[180016, 213746]"
"53","provincia","Llanquihue","p101","Hombre","1",2012,335304.606050175,200000,"[226746, 584387]","[180000, 231293]"
"54","provincia","Los Andes","p53","Hombre","1",2010,238116.825161383,187365.940130206,"[186744, 315158]","[166604, 207553]"
"55","provincia","Los Andes","p53","Hombre","1",2012,253988.985623032,200339.201329755,"[201743, 302987]","[193069, 219579]"
"56","provincia","Magallanes","p121","Hombre","1",2010,1045997.80166122,288956.052003618,"[346604, 2123295]","[169416, 582040]"
"57","provincia","Magallanes","p121","Hombre","1",2012,275930.750213179,271984.975180117,"[211732, 361632]","[195000, 353079]"
"58","provincia","Maipo","p134","Hombre","1",2010,209394.725925052,180025.786518854,"[168216, 288107]","[171674, 200171]"
"59","provincia","Maipo","p134","Hombre","1",2012,277391.431987795,219737.48260302,"[225175, 370282]","[200902, 258871]"
"60","provincia","Malleco","p92","Hombre","1",2010,187606.625346731,140000,"[157586, 238226]","[122375, 154812]"
"61","provincia","Malleco","p92","Hombre","1",2012,342402.183781777,160000,"[227091, 481288]","[130586, 170227]"
"62","provincia","Marga Marga","p58","Hombre","1",2010,176607.266778845,170121.456842594,"[155049, 235368]","[161469, 176127]"
"63","provincia","Marga Marga","p58","Hombre","1",2012,285859.828400086,244622.69023369,"[215449, 387969]","[192743, 261461]"
"64","provincia","Melipilla","p135","Hombre","1",2010,212285.479030877,180051.784724303,"[189866, 235148]","[169933, 200190]"
"65","provincia","Melipilla","p135","Hombre","1",2012,256253.629202126,200902.06185567,"[210669, 322832]","[193946, 214965]"
"66","provincia","Ñuble","p84","Hombre","1",2010,174290.280031087,149897.410845139,"[146425, 210828]","[137796, 152819]"
"67","provincia","Ñuble","p84","Hombre","1",2012,396284.621805183,198847.570782809,"[284740, 512061]","[162006, 238183]"
"68","provincia","Osorno","p103","Hombre","1",2010,254258.207071915,190000,"[209059, 354602]","[179877, 200000]"
"69","provincia","Osorno","p103","Hombre","1",2012,264410.201030526,200902.06185567,"[231127, 312864]","[182000, 220521]"
"70","provincia","Parinacota","p152","Hombre","1",2010,147314.765163991,100283.222475135,"[100230, 225209]","[60362, 181177]"
