"","geography_level","geography_name","geography_id","sex","isic","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","region","Antofagasta",2,"Hombre","Agricultura, ganadería, caza y silvicultura",2010,385521.545372359,420019.040264055,"[270470, 515517]","[304059, 531073]"
"2","region","Antofagasta",2,"Hombre","Agricultura, ganadería, caza y silvicultura",2011,149103.779986879,124280.048209988,"[78498, 239371]","[55000, 320000]"
"3","region","Antofagasta",2,"Hombre","Agricultura, ganadería, caza y silvicultura",2012,286163.857528319,252735.407870115,"[220000, 375939]","[220000, 402248]"
"4","region","Antofagasta",2,"Hombre","Agricultura, ganadería, caza y silvicultura",2013,674221.931082117,674221.931082117,"[220000, 1001356]","[220000, 1001356]"
"5","region","Antofagasta",2,"Hombre","Agricultura, ganadería, caza y silvicultura",2014,402321.104473521,171725.4930084,"[133898, 1158290]","[60000, 479005]"
"6","region","Antofagasta",2,"Hombre","Agricultura, ganadería, caza y silvicultura",2015,330440.47282119,309320.509968609,"[219623, 524012]","[200815, 501962]"
"7","region","Araucanía",9,"Hombre","Agricultura, ganadería, caza y silvicultura",2010,206193.33842646,95038.916097441,"[130820, 339127]","[79659, 115931]"
"8","region","Araucanía",9,"Hombre","Agricultura, ganadería, caza y silvicultura",2011,176246.880970039,100000,"[137444, 225511]","[80000, 112801]"
"9","region","Araucanía",9,"Hombre","Agricultura, ganadería, caza y silvicultura",2012,202350.770248864,120258.930946281,"[155482, 259411]","[90109, 152821]"
"10","region","Araucanía",9,"Hombre","Agricultura, ganadería, caza y silvicultura",2013,191998.412273488,118066.638572303,"[156116, 244115]","[101660, 127847]"
"11","region","Araucanía",9,"Hombre","Agricultura, ganadería, caza y silvicultura",2014,217745.220496215,151563.3882888,"[187521, 256286]","[116892, 173437]"
"12","region","Araucanía",9,"Hombre","Agricultura, ganadería, caza y silvicultura",2015,212302.755983914,150000,"[180674, 250428]","[118924, 180385]"
"13","region","Arica y Parinacota",15,"Hombre","Agricultura, ganadería, caza y silvicultura",2010,229579.086133863,158115.071797496,"[188975, 285769]","[145562, 181177]"
"14","region","Arica y Parinacota",15,"Hombre","Agricultura, ganadería, caza y silvicultura",2011,343740.946842869,201370.602186878,"[251445, 489691]","[174597, 224916]"
"15","region","Arica y Parinacota",15,"Hombre","Agricultura, ganadería, caza y silvicultura",2012,279726.017490465,196365.890611837,"[222634, 386974]","[179799, 209778]"
"16","region","Arica y Parinacota",15,"Hombre","Agricultura, ganadería, caza y silvicultura",2013,289487.307686613,222301.5947144,"[248641, 351262]","[207695, 253952]"
"17","region","Arica y Parinacota",15,"Hombre","Agricultura, ganadería, caza y silvicultura",2014,267343.283618779,240351.310832021,"[241719, 301862]","[205116, 252606]"
"18","region","Arica y Parinacota",15,"Hombre","Agricultura, ganadería, caza y silvicultura",2015,344970.243070186,301182.886877546,"[302672, 380762]","[269689, 321147]"
"19","region","Atacama",3,"Hombre","Agricultura, ganadería, caza y silvicultura",2010,246320.538382786,194500.815326119,"[218683, 276595]","[170642, 224808]"
"20","region","Atacama",3,"Hombre","Agricultura, ganadería, caza y silvicultura",2011,233717.395819611,205000,"[204852, 276346]","[193579, 226566]"
"21","region","Atacama",3,"Hombre","Agricultura, ganadería, caza y silvicultura",2012,232566.041611947,200707.367650438,"[209975, 271796]","[193000, 251128]"
"22","region","Atacama",3,"Hombre","Agricultura, ganadería, caza y silvicultura",2013,272001.682737781,240000,"[235187, 313296]","[212372, 299187]"
"23","region","Atacama",3,"Hombre","Agricultura, ganadería, caza y silvicultura",2014,263460.207864171,228058.258638223,"[220676, 320700]","[199962, 281695]"
"24","region","Atacama",3,"Hombre","Agricultura, ganadería, caza y silvicultura",2015,401256.971345461,300909.595532912,"[308825, 524857]","[247672, 381965]"
"25","region","Aysén",11,"Hombre","Agricultura, ganadería, caza y silvicultura",2010,307281.102769995,217845.632312654,"[243782, 367206]","[179935, 250697]"
"26","region","Aysén",11,"Hombre","Agricultura, ganadería, caza y silvicultura",2011,266605.107657296,190280.868419623,"[219961, 339724]","[162453, 233128]"
"27","region","Aysén",11,"Hombre","Agricultura, ganadería, caza y silvicultura",2012,301004.517262139,212365.71077951,"[235160, 381234]","[167368, 272188]"
"28","region","Aysén",11,"Hombre","Agricultura, ganadería, caza y silvicultura",2013,263086.873758886,220298.237686399,"[224472, 357229]","[207898, 250697]"
"29","region","Aysén",11,"Hombre","Agricultura, ganadería, caza y silvicultura",2014,374808.201217562,262709.87303392,"[286008, 482962]","[202085, 327067]"
"30","region","Aysén",11,"Hombre","Agricultura, ganadería, caza y silvicultura",2015,342066.422553477,300081.183474654,"[276770, 402392]","[246877, 341508]"
"31","region","Bíobío",8,"Hombre","Agricultura, ganadería, caza y silvicultura",2010,256343.605298369,164226.779145437,"[215494, 303707]","[151324, 172336]"
"32","region","Bíobío",8,"Hombre","Agricultura, ganadería, caza y silvicultura",2011,236740.940200723,188091.67078682,"[210734, 263192]","[171388, 199361]"
"33","region","Bíobío",8,"Hombre","Agricultura, ganadería, caza y silvicultura",2012,299690.36986318,200902.06185567,"[258623, 358131]","[197216, 212866]"
"34","region","Bíobío",8,"Hombre","Agricultura, ganadería, caza y silvicultura",2013,308697.858215981,209206.977162381,"[235475, 394708]","[199245, 210337]"
"35","region","Bíobío",8,"Hombre","Agricultura, ganadería, caza y silvicultura",2014,292002.106348543,224957.809863117,"[257465, 337377]","[207726, 234223]"
"36","region","Bíobío",8,"Hombre","Agricultura, ganadería, caza y silvicultura",2015,340062.057192148,250000,"[292845, 391172]","[240779, 260721]"
"37","region","Coquimbo",4,"Hombre","Agricultura, ganadería, caza y silvicultura",2010,198334.345980887,172000,"[180335, 220953]","[170000, 175662]"
"38","region","Coquimbo",4,"Hombre","Agricultura, ganadería, caza y silvicultura",2011,235054.641132299,181418.257027357,"[205692, 272063]","[180000, 182880]"
"39","region","Coquimbo",4,"Hombre","Agricultura, ganadería, caza y silvicultura",2012,210230.063646074,193000,"[182869, 249694]","[180481, 194069]"
"40","region","Coquimbo",4,"Hombre","Agricultura, ganadería, caza y silvicultura",2013,268722.946630705,210000,"[232820, 304135]","[200000, 225821]"
"41","region","Coquimbo",4,"Hombre","Agricultura, ganadería, caza y silvicultura",2014,267151.888485283,227345.0824332,"[241047, 307848]","[223559, 254964]"
"42","region","Coquimbo",4,"Hombre","Agricultura, ganadería, caza y silvicultura",2015,270061.881117958,241426.810340062,"[238215, 308100]","[240000, 250000]"
"43","region","Los Lagos",10,"Hombre","Agricultura, ganadería, caza y silvicultura",2010,257357.760344762,179876.893014167,"[228786, 304653]","[170981, 189896]"
"44","region","Los Lagos",10,"Hombre","Agricultura, ganadería, caza y silvicultura",2011,290424.143533198,194321.162039565,"[249954, 325617]","[182880, 201708]"
"45","region","Los Lagos",10,"Hombre","Agricultura, ganadería, caza y silvicultura",2012,271437.766545738,185596.304555073,"[226807, 336290]","[167862, 200000]"
"46","region","Los Lagos",10,"Hombre","Agricultura, ganadería, caza y silvicultura",2013,248291.192613915,200298.104332003,"[228019, 278495]","[180116, 220298]"
"47","region","Los Lagos",10,"Hombre","Agricultura, ganadería, caza y silvicultura",2014,351357.759474326,202084.5177184,"[265058, 497839]","[199980, 220000]"
"48","region","Los Lagos",10,"Hombre","Agricultura, ganadería, caza y silvicultura",2015,338878.629034477,241065.217391305,"[300535, 382242]","[208593, 276544]"
"49","region","Los Ríos",14,"Hombre","Agricultura, ganadería, caza y silvicultura",2010,282164.406417125,171882.36443576,"[224394, 374029]","[155456, 182481]"
"50","region","Los Ríos",14,"Hombre","Agricultura, ganadería, caza y silvicultura",2011,261357.752778945,180869.977255496,"[200180, 327462]","[146700, 199361]"
"51","region","Los Ríos",14,"Hombre","Agricultura, ganadería, caza y silvicultura",2012,284706.198763854,211107.928130852,"[234272, 359875]","[201124, 223827]"
"52","region","Los Ríos",14,"Hombre","Agricultura, ganadería, caza y silvicultura",2013,242726.485683688,210284.681427927,"[218763, 268497]","[193988, 220776]"
"53","region","Los Ríos",14,"Hombre","Agricultura, ganadería, caza y silvicultura",2014,258874.289893055,219958.747421714,"[227841, 298515]","[194490, 240458]"
"54","region","Los Ríos",14,"Hombre","Agricultura, ganadería, caza y silvicultura",2015,329781.677497151,260070.359011367,"[278295, 379116]","[224702, 301153]"
"55","region","Magallanes",12,"Hombre","Agricultura, ganadería, caza y silvicultura",2010,940317.200477697,312462.36988182,"[321552, 1529423]","[174454, 472857]"
"56","region","Magallanes",12,"Hombre","Agricultura, ganadería, caza y silvicultura",2011,274284.781460271,272286.758515077,"[208757, 386696]","[181418, 360546]"
"57","region","Magallanes",12,"Hombre","Agricultura, ganadería, caza y silvicultura",2012,265966.297714026,229894.053535329,"[203011, 344213]","[195000, 334502]"
"58","region","Magallanes",12,"Hombre","Agricultura, ganadería, caza y silvicultura",2013,480113.441480811,374510.153501924,"[350485, 647878]","[267251, 509869]"
"59","region","Magallanes",12,"Hombre","Agricultura, ganadería, caza y silvicultura",2014,565789.591547859,362665.563490022,"[335727, 830681]","[261859, 588682]"
"60","region","Magallanes",12,"Hombre","Agricultura, ganadería, caza y silvicultura",2015,596036.615774847,359121.747082401,"[357434, 817861]","[288659, 500000]"
"61","region","Maule",7,"Hombre","Agricultura, ganadería, caza y silvicultura",2010,180857.79621036,169883.732291158,"[165944, 199490]","[160900, 170604]"
"62","region","Maule",7,"Hombre","Agricultura, ganadería, caza y silvicultura",2011,216767.407678506,180000,"[191796, 239343]","[171711, 181418]"
"63","region","Maule",7,"Hombre","Agricultura, ganadería, caza y silvicultura",2012,226904.516409328,193870.489690722,"[207261, 252333]","[193000, 196382]"
"64","region","Maule",7,"Hombre","Agricultura, ganadería, caza y silvicultura",2013,274680.058010164,210000,"[243803, 300174]","[209207, 210774]"
"65","region","Maule",7,"Hombre","Agricultura, ganadería, caza y silvicultura",2014,268571.981508942,225000,"[240650, 299074]","[224958, 239955]"
"66","region","Maule",7,"Hombre","Agricultura, ganadería, caza y silvicultura",2015,293942.622267389,241000,"[261858, 336022]","[240000, 250533]"
"67","region","Metropolitana",13,"Hombre","Agricultura, ganadería, caza y silvicultura",2010,268433.788391711,193459.950658159,"[232252, 357593]","[179877, 200196]"
"68","region","Metropolitana",13,"Hombre","Agricultura, ganadería, caza y silvicultura",2011,394519.751071818,200966.641394996,"[305179, 556162]","[199361, 238629]"
"69","region","Metropolitana",13,"Hombre","Agricultura, ganadería, caza y silvicultura",2012,337914.068888168,211189.953350924,"[271540, 405190]","[200902, 224922]"
"70","region","Metropolitana",13,"Hombre","Agricultura, ganadería, caza y silvicultura",2013,423449.795219056,261785.494370144,"[361824, 524942]","[240306, 296150]"
"71","region","Metropolitana",13,"Hombre","Agricultura, ganadería, caza y silvicultura",2014,378686.99232463,264114.990950339,"[305172, 435901]","[247562, 299973]"
"72","region","Metropolitana",13,"Hombre","Agricultura, ganadería, caza y silvicultura",2015,514687.090676568,297552.115424499,"[404263, 667020]","[270584, 320027]"
"73","region","O'Higgins",6,"Hombre","Agricultura, ganadería, caza y silvicultura",2010,237672.306993333,180176.159718144,"[214322, 280274]","[180000, 193412]"
"74","region","O'Higgins",6,"Hombre","Agricultura, ganadería, caza y silvicultura",2011,233098.291373614,200000,"[217993, 254086]","[195940, 210755]"
"75","region","O'Higgins",6,"Hombre","Agricultura, ganadería, caza y silvicultura",2012,246176.488150573,200484.233018829,"[225779, 272170]","[194520, 210274]"
"76","region","O'Higgins",6,"Hombre","Agricultura, ganadería, caza y silvicultura",2013,290786.291734804,220266.605220423,"[257907, 337529]","[210285, 239094]"
"77","region","O'Higgins",6,"Hombre","Agricultura, ganadería, caza y silvicultura",2014,306229.265063155,252266.747770468,"[278838, 326577]","[240000, 261277]"
"78","region","O'Higgins",6,"Hombre","Agricultura, ganadería, caza y silvicultura",2015,324111.390937792,250067.652895545,"[294670, 368761]","[241065, 275945]"
"79","region","Tarapacá",1,"Hombre","Agricultura, ganadería, caza y silvicultura",2010,141976.712982328,116645.957650007,"[102331, 208246]","[81338, 130796]"
"80","region","Tarapacá",1,"Hombre","Agricultura, ganadería, caza y silvicultura",2011,139580.839757652,128362.572662027,"[106001, 177152]","[81957, 150725]"
"81","region","Tarapacá",1,"Hombre","Agricultura, ganadería, caza y silvicultura",2012,157984.152066466,100000,"[104675, 238760]","[55183, 168670]"
"82","region","Tarapacá",1,"Hombre","Agricultura, ganadería, caza y silvicultura",2013,198506.761068407,149338.134707822,"[138504, 260961]","[100149, 239656]"
"83","region","Tarapacá",1,"Hombre","Agricultura, ganadería, caza y silvicultura",2014,215225.838603977,207787.689660024,"[185878, 256039]","[154370, 262710]"
"84","region","Tarapacá",1,"Hombre","Agricultura, ganadería, caza y silvicultura",2015,131041.675682818,101274.593148142,"[94537, 163278]","[94079, 155581]"
"85","region","Valparaíso",5,"Hombre","Agricultura, ganadería, caza y silvicultura",2010,210317.516231222,171882.36443576,"[187506, 245766]","[170000, 172088]"
"86","region","Valparaíso",5,"Hombre","Agricultura, ganadería, caza y silvicultura",2011,219908.791802258,188236.585104299,"[192688, 252910]","[181418, 199696]"
"87","region","Valparaíso",5,"Hombre","Agricultura, ganadería, caza y silvicultura",2012,265088.206541086,210000,"[237866, 340843]","[194085, 241349]"
"88","region","Valparaíso",5,"Hombre","Agricultura, ganadería, caza y silvicultura",2013,290709.444788192,229131.451177846,"[251585, 341514]","[210285, 249056]"
"89","region","Valparaíso",5,"Hombre","Agricultura, ganadería, caza y silvicultura",2014,371439.865215336,274478.699708308,"[319525, 428624]","[241676, 299944]"
"90","region","Valparaíso",5,"Hombre","Agricultura, ganadería, caza y silvicultura",2015,375297.037363471,264453.847048036,"[317619, 469105]","[248623, 300566]"
"91","region",NA,NA,"Hombre","Agricultura, ganadería, caza y silvicultura",2010,141008.471936847,145412.305221542,"[109190, 173540]","[66199, 172000]"
"92","region",NA,NA,"Hombre","Agricultura, ganadería, caza y silvicultura",2011,188309.042760456,149685.287390128,"[127154, 258040]","[91581, 344770]"
"93","region",NA,NA,"Hombre","Agricultura, ganadería, caza y silvicultura",2012,156289.571045716,66400.1663670874,"[90176, 229328]","[41643, 184469]"
"94","region","Antofagasta",2,"Hombre","Pesca",2010,225217.573994159,195553.846811528,"[147110, 312034]","[101272, 350343]"
"95","region","Antofagasta",2,"Hombre","Pesca",2011,82486.7391618742,82486.7391618742,"[50000, 139553]","[50000, 139553]"
"96","region","Antofagasta",2,"Hombre","Pesca",2012,323759.701608568,314437.508235747,"[230930, 405375]","[128064, 408038]"
"97","region","Antofagasta",2,"Hombre","Pesca",2013,273831.477952306,260409.538549872,"[186632, 368766]","[141774, 400000]"
"98","region","Antofagasta",2,"Hombre","Pesca",2014,315137.73780917,304081.170369142,"[260209, 371529]","[205850, 373482]"
"99","region","Antofagasta",2,"Hombre","Pesca",2015,426219.197743239,408085.094296532,"[323266, 529397]","[300062, 499110]"
"100","region","Araucanía",9,"Hombre","Pesca",2010,241059.878490405,238150.498354798,"[180506, 295781]","[166233, 314785]"
"101","region","Araucanía",9,"Hombre","Pesca",2011,245590.023778088,228327.905033069,"[185093, 317000]","[180870, 317000]"
"102","region","Araucanía",9,"Hombre","Pesca",2013,518036.324402086,518036.324402086,"[518036, 518036]","[518036, 518036]"
"103","region","Araucanía",9,"Hombre","Pesca",2015,220835.002417707,220835.002417707,"[220835, 220835]","[220835, 220835]"
"104","region","Arica y Parinacota",15,"Hombre","Pesca",2010,208744.919943007,213150.557970504,"[145932, 267781]","[136353, 301097]"
