"","geography_level","geography_name","geography_id","sex","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","region","Antofagasta","2","Hombre",2010,585124.878946706,410401.252691328,"[544593, 631124]","[399726, 450000]"
"2","region","Antofagasta","2","Hombre",2011,630045.270246909,470000,"[569267, 682604]","[419212, 498402]"
"3","region","Antofagasta","2","Hombre",2012,686178.793279275,502810.541835605,"[641425, 735538]","[500000, 553092]"
"4","region","Antofagasta","2","Hombre",2013,761768.189226889,535436.255239908,"[699188, 819007]","[500678, 597734]"
"5","region","Antofagasta","2","Hombre",2014,764430.556984946,525419.74606784,"[708687, 834193]","[500000, 598727]"
"6","region","Antofagasta","2","Hombre",2015,825950.712748348,600000,"[776265, 920379]","[587223, 650092]"
"7","region","Araucanía","9","Hombre",2010,288252.184982315,180176.159718144,"[248719, 381468]","[172059, 199876]"
"8","region","Araucanía","9","Hombre",2011,325547.575840329,211014.973464746,"[298641, 355987]","[200425, 235000]"
"9","region","Araucanía","9","Hombre",2012,342774.366076797,232592.685786237,"[314158, 380998]","[214516, 250776]"
"10","region","Araucanía","9","Hombre",2013,350601.484624839,239559.010720718,"[312356, 387333]","[216166, 252710]"
"11","region","Araucanía","9","Hombre",2014,395854.569915407,272814.09891984,"[362199, 431507]","[250000, 293542]"
"12","region","Araucanía","9","Hombre",2015,420294.322817509,300081.183474654,"[380363, 462789]","[277476, 316371]"
"13","region","Arica y Parinacota","15","Hombre",2010,351238.390632357,250000,"[325354, 378505]","[229843, 260134]"
"14","region","Arica y Parinacota","15","Hombre",2011,365894.622649381,254614.97205518,"[337890, 399143]","[237971, 280000]"
"15","region","Arica y Parinacota","15","Hombre",2012,471399.577545403,301353.092783505,"[422935, 518806]","[276021, 301686]"
"16","region","Arica y Parinacota","15","Hombre",2013,398206.234332179,300406.687754181,"[372991, 423479]","[300000, 338467]"
"17","region","Arica y Parinacota","15","Hombre",2014,425878.843859266,320000,"[396524, 451975]","[300525, 350000]"
"18","region","Arica y Parinacota","15","Hombre",2015,483835.725225734,397830.611739844,"[454799, 517938]","[354937, 400108]"
"19","region","Atacama","3","Hombre",2010,453941.570139965,309787.982413288,"[412249, 484735]","[299907, 337001]"
"20","region","Atacama","3","Hombre",2011,501258.263918655,340000,"[447393, 567332]","[301450, 364629]"
"21","region","Atacama","3","Hombre",2012,472040.359757175,381713.917525773,"[436861, 521327]","[341034, 401804]"
"22","region","Atacama","3","Hombre",2013,579108.164243048,400542.250338908,"[525454, 635838]","[385964, 459066]"
"23","region","Atacama","3","Hombre",2014,559497.400008589,401856.830591384,"[520318, 601430]","[394158, 450000]"
"24","region","Atacama","3","Hombre",2015,624361.130087591,450000,"[583609, 666597]","[408807, 498390]"
"25","region","Aysén","11","Hombre",2010,497531.472321641,306416.046752435,"[433170, 562414]","[279809, 350327]"
"26","region","Aysén","11","Hombre",2011,512072.395438345,340000,"[466003, 562168]","[314207, 374593]"
