"","geography_level","geography_name","geography_id","sex","work_day","year","weighted_mean","weighted_median","lb_weighted_mean","ub_weighted_mean","lb_weighted_median","ub_weighted_median","ci_weighted_mean","ci_weighted_median"
"1","comuna","Algarrobo",1,"Hombre","Completa",2010,251276.200930988,251276.200930988,152210,350343,152210,350343,"[152210, 350343]","[152210, 350343]"
"2","comuna","Algarrobo",1,"Hombre","Completa",2011,454046.021661432,518092.0015163,316662,584284,221063,601611,"[316662, 584284]","[221063, 601611]"
"3","comuna","Algarrobo",1,"Hombre","Completa",2012,561695.243068352,418338.370807223,388075,756314,291630,905059,"[388075, 756314]","[291630, 905059]"
"4","comuna","Algarrobo",1,"Hombre","Completa",2013,398873.32429583,465630.366018981,285303,505059,250339,526963,"[285303, 505059]","[250339, 526963]"
"5","comuna","Algarrobo",1,"Hombre","Completa",2014,554288.962884754,404169.0354368,350003,853302,303127,505211,"[350003, 853302]","[303127, 505211]"
"6","comuna","Algarrobo",1,"Hombre","Completa",2015,1274358.94490222,766485.455903663,306243,2575451,251019,3313446,"[306243, 2575451]","[251019, 3313446]"
"7","comuna","Alhué",2,"Hombre","Completa",2011,393336.37646365,401933.282789992,330892,490615,256232,530552,"[330892, 490615]","[256232, 530552]"
"8","comuna","Alhué",2,"Hombre","Completa",2012,534940.170369162,543035.385182453,374556,681310,341911,696895,"[374556, 681310]","[341911, 696895]"
"9","comuna","Alhué",2,"Hombre","Completa",2013,557254.405784006,580786.262991417,409317,750134,257323,788317,"[409317, 750134]","[257323, 788317]"
"10","comuna","Alhué",2,"Hombre","Completa",2014,743418.419556564,757816.941444,671985,826984,628609,851268,"[671985, 826984]","[628609, 851268]"
"11","comuna","Alhué",2,"Hombre","Completa",2015,702182.844380058,687791.108294099,521353,894764,409700,978973,"[521353, 894764]","[409700, 978973]"
"12","comuna","Alto del Carmen",4,"Hombre","Completa",2010,240502.934192732,184528.189505971,187984,289044,158266,200060,"[187984, 289044]","[158266, 200060]"
"13","comuna","Alto del Carmen",4,"Hombre","Completa",2011,256334.05921657,205000,206353,309325,180000,240933,"[206353, 309325]","[180000, 240933]"
"14","comuna","Alto del Carmen",4,"Hombre","Completa",2012,197264.98565892,193000,171012,228792,190000,193000,"[171012, 228792]","[190000, 193000]"
"15","comuna","Alto del Carmen",4,"Hombre","Completa",2013,248585.83636512,212370.044816047,197473,299762,200271,240000,"[197473, 299762]","[200271, 240000]"
"16","comuna","Alto del Carmen",4,"Hombre","Completa",2014,254806.877419268,266797.883098807,209540,307486,194197,300000,"[209540, 307486]","[194197, 300000]"
"17","comuna","Alto del Carmen",4,"Hombre","Completa",2015,343915.324172327,296766.720093253,262480,428736,240000,368644,"[262480, 428736]","[240000, 368644]"
"18","comuna","Alto Hospicio",5,"Hombre","Completa",2010,381795.770587861,294995.343735094,318795,435022,248879,350000,"[318795, 435022]","[248879, 350000]"
"19","comuna","Alto Hospicio",5,"Hombre","Completa",2011,392559.970963387,300000,329742,446102,270721,350582,"[329742, 446102]","[270721, 350582]"
