"","geography_level","geography_name","geography_id","sex","work_day","year","weighted_mean","weighted_median","lb_weighted_mean","ub_weighted_mean","lb_weighted_median","ub_weighted_median","ci_weighted_mean","ci_weighted_median"
"1","country","País","country","Hombre","Completa",2010,452040.375316446,266000,441107,468709,259894,274468,"[441107, 468709]","[259894, 274468]"
"2","country","País","country","Hombre","Completa",2011,489576.946246662,299041.083012127,477775,501546,299041,300000,"[477775, 501546]","[299041, 300000]"
"3","country","País","country","Hombre","Completa",2012,536685.754979255,323000,520837,551960,318833,335657,"[520837, 551960]","[318833, 335657]"
"4","country","País","country","Hombre","Completa",2013,570790.660240156,360000,553935,588406,350474,371338,"[553935, 588406]","[350474, 371338]"
"5","country","País","country","Hombre","Completa",2014,582061.216281687,380000,569553,595329,374999,390000,"[569553, 595329]","[374999, 390000]"
"6","country","País","country","Hombre","Completa",2015,631255.031176838,401291.31744062,613581,648009,400108,401630,"[613581, 648009]","[400108, 401630]"
"7","country","País","country","Hombre","Parcial",2010,183805.495475431,110107.653161088,166576,222115,100046,120117,"[166576, 222115]","[100046, 120117]"
"8","country","País","country","Hombre","Parcial",2011,200814.590579686,114377.007548593,179602,229821,100483,120447,"[179602, 229821]","[100483, 120447]"
"9","country","País","country","Hombre","Parcial",2012,228835.807008072,120674.530040545,210037,246997,120000,150000,"[210037, 246997]","[120000, 150000]"
"10","country","País","country","Hombre","Parcial",2013,245810.874698597,149433.555115986,219846,275427,133552,150203,"[219846, 275427]","[133552, 150203]"
"11","country","País","country","Hombre","Parcial",2014,258119.963767721,151563.3882888,239498,283808,149972,161668,"[239498, 283808]","[149972, 161668]"
"12","country","País","country","Hombre","Parcial",2015,250103.476514928,155576.287016128,232924,274781,150041,170693,"[232924, 274781]","[150041, 170693]"
"13","country","País","country","Mujer","Completa",2010,335116.53538348,220000,325125,346952,215000,225043,"[325125, 346952]","[215000, 225043]"
"14","country","País","country","Mujer","Completa",2011,354552.192799834,249200.902510106,342168,369608,240000,250000,"[342168, 369608]","[240000, 250000]"
"15","country","País","country","Mujer","Completa",2012,407277.124990468,274000,393883,418005,263712,281263,"[393883, 418005]","[263712, 281263]"
"16","country","País","country","Mujer","Completa",2013,424608.680250569,298867.110231973,413754,434974,290187,300000,"[413754, 434974]","[290187, 300000]"
"17","country","País","country","Mujer","Completa",2014,454310.051385971,310000,442575,467814,303127,319940,"[442575, 467814]","[303127, 319940]"
"18","country","País","country","Mujer","Completa",2015,476175.217633179,331344.621513946,464309,488723,322174,340634,"[464309, 488723]","[322174, 340634]"
"19","country","País","country","Mujer","Parcial",2010,129736.47450203,75073.39988256,120756,138949,70000,80000,"[120756, 138949]","[70000, 80000]"
"20","country","País","country","Mujer","Parcial",2011,140232.757132268,80000,129850,152491,79744,80387,"[129850, 152491]","[79744, 80387]"
"21","country","País","country","Mujer","Parcial",2012,142154.890151301,80449.6866936968,133186,150008,80361,90406,"[133186, 150008]","[80361, 90406]"
"22","country","País","country","Mujer","Parcial",2013,155432.317248563,99622.3700773242,146997,164313,90122,100000,"[146997, 164313]","[90122, 100000]"
"23","country","País","country","Mujer","Parcial",2014,177453.895061741,112478.904931558,167340,190724,101042,119989,"[167340, 190724]","[101042, 119989]"
"24","country","País","country","Mujer","Parcial",2015,180888.617917707,110448.207171315,171713,192084,100407,120000,"[171713, 192084]","[100407, 120000]"
