"","geography_level","geography_name","geography_id","sex","work_day","year","weighted_mean","weighted_median","lb_weighted_mean","ub_weighted_mean","lb_weighted_median","ub_weighted_median","ci_weighted_mean","ci_weighted_median"
"1","provincia","Antofagasta","p21","Hombre","Completa",2010,575980.724507862,419849.588297827,529112,628194,399726,487524,"[529112, 628194]","[399726, 487524]"
"2","provincia","Antofagasta","p21","Hombre","Completa",2011,590383.736153248,467425.442680191,529660,643916,399710,499300,"[529660, 643916]","[399710, 499300]"
"3","provincia","Antofagasta","p21","Hombre","Completa",2012,664624.067440206,502255.154639175,603152,729929,482165,552481,"[603152, 729929]","[482165, 552481]"
"4","provincia","Antofagasta","p21","Hombre","Completa",2013,683091.966432685,500677.812923635,626619,767140,498112,551217,"[626619, 767140]","[498112, 551217]"
"5","provincia","Antofagasta","p21","Hombre","Completa",2014,708081.984045055,500000,648965,797665,493124,550584,"[648965, 797665]","[493124, 550584]"
"6","provincia","Antofagasta","p21","Hombre","Completa",2015,803695.517623932,600050.257511276,737291,902004,561084,652966,"[737291, 902004]","[561084, 652966]"
"7","provincia","Arauco","p82","Hombre","Completa",2010,294594.479615795,221540.232778202,266702,322124,202988,251107,"[266702, 322124]","[202988, 251107]"
"8","provincia","Arauco","p82","Hombre","Completa",2011,279179.804277911,212866.495882541,254191,309142,200000,244387,"[254191, 309142]","[200000, 244387]"
"9","provincia","Arauco","p82","Hombre","Completa",2012,320170.955913937,245100.515463917,282761,362965,219189,258607,"[282761, 362965]","[219189, 258607]"
"10","provincia","Arauco","p82","Hombre","Completa",2013,329882.007888684,252173.187390131,300359,368027,234545,289401,"[300359, 368027]","[234545, 289401]"
"11","provincia","Arauco","p82","Hombre","Completa",2014,341879.652609276,269949.37183574,308797,376662,249953,299947,"[308797, 376662]","[249953, 299947]"
"12","provincia","Arauco","p82","Hombre","Completa",2015,348451.239922392,300564.248662853,323114,384802,283296,331497,"[323114, 384802]","[283296, 331497]"
"13","provincia","Arica","p151","Hombre","Completa",2010,367732.667054063,265543.520276468,340324,402366,250000,299903,"[340324, 402366]","[250000, 299903]"
"14","provincia","Arica","p151","Hombre","Completa",2011,389997.557043183,280000,362748,427011,260810,299579,"[362748, 427011]","[260810, 299579]"
"15","provincia","Arica","p151","Hombre","Completa",2012,508627.810474872,315422.520733998,456524,557536,301353,351783,"[456524, 557536]","[301353, 351783]"
"16","provincia","Arica","p151","Hombre","Completa",2013,424591.765166758,340285.399693969,399026,452571,304228,350474,"[399026, 452571]","[304228, 350474]"
"17","provincia","Arica","p151","Hombre","Completa",2014,452011.573533962,350000,416183,481798,325901,380944,"[416183, 481798]","[325901, 380944]"
"18","provincia","Arica","p151","Hombre","Completa",2015,510581.568782083,400108.244632872,479706,546310,380789,445440,"[479706, 546310]","[380789, 445440]"
"19","provincia","Aysén","p112","Hombre","Completa",2010,605061.334266027,352192.755925498,478106,805378,302277,399870,"[478106, 805378]","[302277, 399870]"
"20","provincia","Aysén","p112","Hombre","Completa",2011,571163.258850699,378785.371815361,489888,648942,348390,420115,"[489888, 648942]","[348390, 420115]"
"21","provincia","Aysén","p112","Hombre","Completa",2012,624437.666862165,419073.107085397,528933,741184,382240,483858,"[528933, 741184]","[382240, 483858]"
"22","provincia","Aysén","p112","Hombre","Completa",2013,627683.947748576,450610.031631271,548009,727266,398489,512340,"[548009, 727266]","[398489, 512340]"
"23","provincia","Aysén","p112","Hombre","Completa",2014,643116.213175372,445464.764720491,558528,744116,374180,525313,"[558528, 744116]","[374180, 525313]"
"24","provincia","Aysén","p112","Hombre","Completa",2015,763414.174063465,500135.30579109,653524,910052,444110,601192,"[653524, 910052]","[444110, 601192]"
"25","provincia","Bíobío","p83","Hombre","Completa",2010,348098.923440861,213000,306922,403629,202205,230225,"[306922, 403629]","[202205, 230225]"
"26","provincia","Bíobío","p83","Hombre","Completa",2011,337402.921103906,240314.711302734,305803,369607,224526,267473,"[305803, 369607]","[224526, 267473]"
"27","provincia","Bíobío","p83","Hombre","Completa",2012,349244.746902085,241082.474226804,315272,390982,220000,277946,"[315272, 390982]","[220000, 277946]"
"28","provincia","Bíobío","p83","Hombre","Completa",2013,382382.280469265,290393.131495708,351729,421552,270000,298867,"[351729, 421552]","[270000, 298867]"
"29","provincia","Bíobío","p83","Hombre","Completa",2014,412131.709099703,319939.996249766,370340,445898,280014,349934,"[370340, 445898]","[280014, 349934]"
"30","provincia","Bíobío","p83","Hombre","Completa",2015,499255.089756774,342140.732955056,450571,568960,314191,389661,"[450571, 568960]","[314191, 389661]"
"31","provincia","Cachapoal","p61","Hombre","Completa",2010,405242.41793339,271994.823586228,368130,439253,250000,299795,"[368130, 439253]","[250000, 299795]"
"32","provincia","Cachapoal","p61","Hombre","Completa",2011,378406.059579195,261256.633813495,338484,462330,250032,282776,"[338484, 462330]","[250032, 282776]"
"33","provincia","Cachapoal","p61","Hombre","Completa",2012,424034.935213808,281573.903427939,382309,464815,261173,301353,"[382309, 464815]","[261173, 301353]"
"34","provincia","Cachapoal","p61","Hombre","Completa",2013,438626.894795716,310000,402849,489076,300000,348678,"[402849, 489076]","[300000, 348678]"
"35","provincia","Cachapoal","p61","Hombre","Completa",2014,464856.733906533,324539.180851473,425112,518843,302053,353265,"[425112, 518843]","[302053, 353265]"
"36","provincia","Cachapoal","p61","Hombre","Completa",2015,524213.03420431,359603.346150824,482396,568137,350000,399859,"[482396, 568137]","[350000, 399859]"
"37","provincia","Capitán Prat","p113","Hombre","Completa",2010,656496.262974757,452908.362750679,429344,1073387,259475,699846,"[429344, 1073387]","[259475, 699846]"
"38","provincia","Capitán Prat","p113","Hombre","Completa",2011,711657.698028061,457950.409915597,358345,1008451,242076,817104,"[358345, 1008451]","[242076, 817104]"
"39","provincia","Capitán Prat","p113","Hombre","Completa",2012,518182.345152127,547018.508725542,388257,663638,350000,673470,"[388257, 663638]","[350000, 673470]"
"40","provincia","Capitán Prat","p113","Hombre","Completa",2013,503125,350000,233797,833906,166125,515000,"[233797, 833906]","[166125, 515000]"
"41","provincia","Capitán Prat","p113","Hombre","Completa",2014,722166.666666667,692500,382237,1066354,225000,1200000,"[382237, 1066354]","[225000, 1200000]"
"42","provincia","Cardenal Caro","p62","Hombre","Completa",2010,244957.519772347,199573.726612259,225721,267712,180176,200917,"[225721, 267712]","[180176, 200917]"
"43","provincia","Cardenal Caro","p62","Hombre","Completa",2011,293733.256913212,208576.655718605,267618,327604,200000,221017,"[267618, 327604]","[200000, 221017]"
"44","provincia","Cardenal Caro","p62","Hombre","Completa",2012,370421.753681464,231037.371134021,294115,473371,215527,251273,"[294115, 473371]","[215527, 251273]"
"45","provincia","Cardenal Caro","p62","Hombre","Completa",2013,461881.496689103,264213.157066823,337263,684051,250000,297898,"[337263, 684051]","[250000, 297898]"
"46","provincia","Cardenal Caro","p62","Hombre","Completa",2014,407060.802678012,300000,365216,467409,279947,321677,"[365216, 467409]","[279947, 321677]"
"47","provincia","Cardenal Caro","p62","Hombre","Completa",2015,390759.367195219,300081.183474654,354571,449281,280076,319131,"[354571, 449281]","[280076, 319131]"
"48","provincia","Cauquenes","p72","Hombre","Completa",2010,205314.13052455,170685.330358531,179308,231915,150000,172071,"[179308, 231915]","[150000, 172071]"
"49","provincia","Cauquenes","p72","Hombre","Completa",2011,243784.996497587,190834.169992337,214274,272148,180323,200000,"[214274, 272148]","[180323, 200000]"
"50","provincia","Cauquenes","p72","Hombre","Completa",2012,260274.712903734,201124.216734242,230734,286282,200000,221237,"[230734, 286282]","[200000, 221237]"
"51","provincia","Cauquenes","p72","Hombre","Completa",2013,305730.529222073,237699.051574736,266086,348217,210000,250218,"[266086, 348217]","[210000, 250218]"
"52","provincia","Cauquenes","p72","Hombre","Completa",2014,318701.129109414,237450.893986861,283841,368743,222333,257762,"[283841, 368743]","[222333, 257762]"
"53","provincia","Cauquenes","p72","Hombre","Completa",2015,322530.509529146,247926.935791811,285175,379033,240879,262795,"[285175, 379033]","[240879, 262795]"
"54","provincia","Cautín","p91","Hombre","Completa",2010,332338.726678841,200147.419376382,282913,438669,190156,210561,"[282913, 438669]","[190156, 210561]"
"55","provincia","Cautín","p91","Hombre","Completa",2011,345651.562069222,241323.685823492,305549,373887,211064,250165,"[305549, 373887]","[211064, 250165]"
"56","provincia","Cautín","p91","Hombre","Completa",2012,382895.972241449,271305.241998618,337988,425216,244750,300000,"[337988, 425216]","[244750, 300000]"
"57","provincia","Cautín","p91","Hombre","Completa",2013,398961.989935957,280378.937530908,349662,450041,256289,299441,"[349662, 450041]","[256289, 299441]"
"58","provincia","Cautín","p91","Hombre","Completa",2014,435951.236802915,300000,393558,492296,275985,334220,"[393558, 492296]","[275985, 334220]"
"59","provincia","Cautín","p91","Hombre","Completa",2015,468065.201363651,339211.355035137,419487,542722,301180,350095,"[419487, 542722]","[301180, 350095]"
"60","provincia","Chacabuco","p133","Hombre","Completa",2010,456025.5447671,263240.937819724,388877,561060,246000,300000,"[388877, 561060]","[246000, 300000]"
"61","provincia","Chacabuco","p133","Hombre","Completa",2011,654519.097084467,281353.297952994,529547,814469,258162,308090,"[529547, 814469]","[258162, 308090]"
"62","provincia","Chacabuco","p133","Hombre","Completa",2012,857128.711285052,300000,708636,1090112,280600,336436,"[708636, 1090112]","[280600, 336436]"
"63","provincia","Chacabuco","p133","Hombre","Completa",2013,693020.260976233,318791.584247437,586626,823442,295015,369053,"[586626, 823442]","[295015, 369053]"
"64","provincia","Chacabuco","p133","Hombre","Completa",2014,704483.990026579,354378.845144274,560926,858222,323683,395896,"[560926, 858222]","[323683, 395896]"
"65","provincia","Chacabuco","p133","Hombre","Completa",2015,699446.443394341,390883.040137705,533933,946423,353599,408180,"[533933, 946423]","[353599, 408180]"
"66","provincia","Chañaral","p32","Hombre","Completa",2010,425862.785847143,330447.898114854,365977,484264,299795,394986,"[365977, 484264]","[299795, 394986]"
"67","provincia","Chañaral","p32","Hombre","Completa",2011,514573.631301793,413674.018242602,438220,579460,361525,533229,"[438220, 579460]","[361525, 533229]"
"68","provincia","Chañaral","p32","Hombre","Completa",2012,545170.018419612,496268.012459824,448829,666452,341408,645309,"[448829, 666452]","[341408, 645309]"
