"","geography_level","geography_name","geography_id","sex","work_day","year","weighted_mean","weighted_median","lb_weighted_mean","ub_weighted_mean","lb_weighted_median","ub_weighted_median","ci_weighted_mean","ci_weighted_median"
"1","region","Antofagasta","2","Hombre","Completa",2010,616704.641243421,450000,569870,669316,400391,498889,"[569870, 669316]","[400391, 498889]"
"2","region","Antofagasta","2","Hombre","Completa",2011,648318.869650563,482319.93934799,586264,715346,448180,501269,"[586264, 715346]","[448180, 501269]"
"3","region","Antofagasta","2","Hombre","Completa",2012,706263.32893195,541997.796127767,654907,742374,500000,580000,"[654907, 742374]","[500000, 580000]"
"4","region","Antofagasta","2","Hombre","Completa",2013,785490.518800975,556401.707731006,703373,841584,500678,600000,"[703373, 841584]","[500678, 600000]"
"5","region","Antofagasta","2","Hombre","Completa",2014,796313.674063427,552872.493759211,732600,865423,505211,600000,"[732600, 865423]","[505211, 600000]"
"6","region","Antofagasta","2","Hombre","Completa",2015,856088.744686205,602444.766388992,800624,930868,600000,679574,"[800624, 930868]","[600000, 679574]"
"7","region","Araucanía","9","Hombre","Completa",2010,324830.283985891,200000,281891,411236,191595,202861,"[281891, 411236]","[191595, 202861]"
"8","region","Araucanía","9","Hombre","Completa",2011,348623.854521206,235468.209953814,310725,377952,210365,250000,"[310725, 377952]","[210365, 250000]"
"9","region","Araucanía","9","Hombre","Completa",2012,387473.377199137,262764.636027274,344012,431047,250000,295894,"[344012, 431047]","[250000, 295894]"
"10","region","Araucanía","9","Hombre","Completa",2013,389110.832689628,278942.636216508,349403,439639,250069,298867,"[349403, 439639]","[250069, 298867]"
"11","region","Araucanía","9","Hombre","Completa",2014,426001.738279573,300000,393495,463069,279947,317000,"[393495, 463069]","[279947, 317000]"
"12","region","Araucanía","9","Hombre","Completa",2015,452687.388765522,320086.595706298,415174,499444,300081,350000,"[415174, 499444]","[300081, 350000]"
"13","region","Arica y Parinacota","15","Hombre","Completa",2010,363863.368977306,259865.580639148,340200,401407,249829,293669,"[340200, 401407]","[249829, 293669]"
"14","region","Arica y Parinacota","15","Hombre","Completa",2011,385991.566437943,279105.010811319,358078,425454,251208,300000,"[358078, 425454]","[251208, 300000]"
"15","region","Arica y Parinacota","15","Hombre","Completa",2012,504613.550501628,311742.535938075,459341,558184,301353,350000,"[459341, 558184]","[301353, 350000]"
"16","region","Arica y Parinacota","15","Hombre","Completa",2013,423540.796056763,340000,395216,451172,300407,353716,"[395216, 451172]","[300407, 353716]"
"17","region","Arica y Parinacota","15","Hombre","Completa",2014,450557.316923096,350000,420182,480255,317315,376024,"[420182, 480255]","[317315, 376024]"
"18","region","Arica y Parinacota","15","Hombre","Completa",2015,508249.574541642,400108.244632872,478664,541608,387437,440103,"[478664, 541608]","[387437, 440103]"
"19","region","Atacama","3","Hombre","Completa",2010,463225.373682717,319781.143136297,419211,513083,300094,349761,"[419211, 513083]","[300094, 349761]"
"20","region","Atacama","3","Hombre","Completa",2011,522937.117206172,348881.263514149,474091,594081,319463,380645,"[474091, 594081]","[319463, 380645]"
"21","region","Atacama","3","Hombre","Completa",2012,495181.271114699,395650.84037954,459849,531749,360839,405000,"[459849, 531749]","[360839, 405000]"
"22","region","Atacama","3","Hombre","Completa",2013,605822.59264261,430582.919114326,547041,675706,399609,475676,"[547041, 675706]","[399609, 475676]"
"23","region","Atacama","3","Hombre","Completa",2014,589248.119237875,444585.93898048,535406,648285,400000,499906,"[535406, 648285]","[400000, 499906]"
"24","region","Atacama","3","Hombre","Completa",2015,653605.594731346,462883.515558315,599518,696820,446218,508265,"[599518, 696820]","[446218, 508265]"
"25","region","Aysén","11","Hombre","Completa",2010,528288.239745687,347245.891983403,450514,577850,294650,355638,"[450514, 577850]","[294650, 355638]"
"26","region","Aysén","11","Hombre","Completa",2011,548679.296113566,362738.049929037,503440,614416,332375,399468,"[503440, 614416]","[332375, 399468]"
"27","region","Aysén","11","Hombre","Completa",2012,556772.101282401,391304.196750117,500825,615783,350750,402037,"[500825, 615783]","[350750, 402037]"
"28","region","Aysén","11","Hombre","Completa",2013,575706.598336614,395632.655933011,527259,621164,350000,401969,"[527259, 621164]","[350000, 401969]"
"29","region","Aysén","11","Hombre","Completa",2014,608575.026036346,399962.547577855,554652,663203,383961,449837,"[554652, 663203]","[383961, 449837]"
"30","region","Aysén","11","Hombre","Completa",2015,751843.726200116,500135.30579109,679550,833807,451834,558436,"[679550, 833807]","[451834, 558436]"
"31","region","Bíobío","8","Hombre","Completa",2010,353103.616701994,230225.092973184,336232,373208,220102,246889,"[336232, 373208]","[220102, 246889]"
"32","region","Bíobío","8","Hombre","Completa",2011,399588.396831568,260328.863025521,370312,426157,250000,272783,"[370312, 426157]","[250000, 272783]"
"33","region","Bíobío","8","Hombre","Completa",2012,411446.146783889,276456.356088577,390147,440849,261461,290694,"[390147, 440849]","[261461, 290694]"
"34","region","Bíobío","8","Hombre","Completa",2013,433570.622572089,300000,412947,456703,298867,306567,"[412947, 456703]","[298867, 306567]"
"35","region","Bíobío","8","Hombre","Completa",2014,472111.34987528,323637.682407001,446512,496196,303127,341020,"[446512, 496196]","[303127, 341020]"
"36","region","Bíobío","8","Hombre","Completa",2015,534885.21596795,370100.126285407,508828,561863,350095,392940,"[508828, 561863]","[350095, 392940]"
"37","region","Coquimbo","4","Hombre","Completa",2010,407998.039697905,250000,379543,433896,239836,270051,"[379543, 433896]","[239836, 270051]"
"38","region","Coquimbo","4","Hombre","Completa",2011,423358.374027211,280000,385263,470001,259169,299041,"[385263, 470001]","[259169, 299041]"
"39","region","Coquimbo","4","Hombre","Completa",2012,475970.261627467,350000,444169,518021,326257,370349,"[444169, 518021]","[326257, 370349]"
"40","region","Coquimbo","4","Hombre","Completa",2013,510139.469204837,348678.295270635,466094,556374,325301,374735,"[466094, 556374]","[325301, 374735]"
"41","region","Coquimbo","4","Hombre","Completa",2014,532884.474605194,394064.80955088,493188,570797,354342,400000,"[493188, 570797]","[354342, 400000]"
"42","region","Coquimbo","4","Hombre","Completa",2015,560558.287819249,400000,517900,626797,371270,403220,"[517900, 626797]","[371270, 403220]"
"43","region","Los Lagos","10","Hombre","Completa",2010,365079.93676889,239835.857352223,343056,393584,229843,249829,"[343056, 393584]","[229843, 249829]"
"44","region","Los Lagos","10","Hombre","Completa",2011,413922.792640291,294760.12829861,393164,438525,270598,303197,"[393164, 438525]","[270598, 303197]"
"45","region","Los Lagos","10","Hombre","Completa",2012,503899.126932769,300000,456621,618684,276478,308072,"[456621, 618684]","[276478, 308072]"
"46","region","Los Lagos","10","Hombre","Completa",2013,472504.146379008,311275.742429699,437763,511690,300000,338716,"[437763, 511690]","[300000, 338716]"
"47","region","Los Lagos","10","Hombre","Completa",2014,554854.111887218,325000,500199,656637,303127,350000,"[500199, 656637]","[303127, 350000]"
"48","region","Los Lagos","10","Hombre","Completa",2015,613366.191238382,371507.605939878,568671,687051,351424,400000,"[568671, 687051]","[351424, 400000]"
"49","region","Los Ríos","14","Hombre","Completa",2010,351926.043850953,214964.878123469,323655,393906,200196,228421,"[323655, 393906]","[200196, 228421]"
"50","region","Los Ríos","14","Hombre","Completa",2011,360212.424610052,241717.127286298,330066,394330,228866,265313,"[330066, 394330]","[228866, 265313]"
"51","region","Los Ríos","14","Hombre","Completa",2012,441202.313231291,289253.580417388,392518,483421,265421,300000,"[392518, 483421]","[265421, 300000]"
"52","region","Los Ríos","14","Hombre","Completa",2013,423715.861500049,300399.997690698,397485,471135,280000,330447,"[397485, 471135]","[280000, 330447]"
"53","region","Los Ríos","14","Hombre","Completa",2014,438469.156321849,319969.393277289,409747,466772,300711,343544,"[409747, 466772]","[300711, 343544]"
"54","region","Los Ríos","14","Hombre","Completa",2015,491741.513763404,360825.643456725,449670,522560,349659,400108,"[449670, 522560]","[349659, 400108]"
"55","region","Magallanes","12","Hombre","Completa",2010,744604.037966642,400000,647302,835275,349874,449847,"[647302, 835275]","[349874, 449847]"
"56","region","Magallanes","12","Hombre","Completa",2011,797618.173666186,422507.384291515,704531,1021144,397190,498402,"[704531, 1021144]","[397190, 498402]"
"57","region","Magallanes","12","Hombre","Completa",2012,744113.670173484,480942.531510119,653887,835194,407250,506328,"[653887, 835194]","[407250, 506328]"
"58","region","Magallanes","12","Hombre","Completa",2013,754339.659838953,500000,660130,854273,441759,531881,"[660130, 854273]","[441759, 531881]"
"59","region","Magallanes","12","Hombre","Completa",2014,735754.031778527,500000,651984,813293,431284,557594,"[651984, 813293]","[431284, 557594]"
"60","region","Magallanes","12","Hombre","Completa",2015,846604.988284474,502037.30532416,752250,957642,450266,605819,"[752250, 957642]","[450266, 605819]"
