"","sex","company_size","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Menos de 5","Antofagasta","p21",2010,395959
"2","Hombre","Menos de 5","Antofagasta","p21",2011,355449
"3","Hombre","Menos de 5","Antofagasta","p21",2012,397472
"4","Hombre","Menos de 5","Antofagasta","p21",2013,446236
"5","Hombre","Menos de 5","Antofagasta","p21",2014,400623
"6","Hombre","Menos de 5","Antofagasta","p21",2015,510347
"7","Hombre","Menos de 5","Arauco","p82",2010,119970
"8","Hombre","Menos de 5","Arauco","p82",2011,120580
"9","Hombre","Menos de 5","Arauco","p82",2012,168187
"10","Hombre","Menos de 5","Arauco","p82",2013,179805
"11","Hombre","Menos de 5","Arauco","p82",2014,151256
"12","Hombre","Menos de 5","Arauco","p82",2015,200054
"13","Hombre","Menos de 5","Arica","p151",2010,199863
"14","Hombre","Menos de 5","Arica","p151",2011,198866
"15","Hombre","Menos de 5","Arica","p151",2012,215110
"16","Hombre","Menos de 5","Arica","p151",2013,278943
"17","Hombre","Menos de 5","Arica","p151",2014,298123
"18","Hombre","Menos de 5","Arica","p151",2015,301222
"19","Hombre","Menos de 5","Aysén","p112",2010,295130
"20","Hombre","Menos de 5","Aysén","p112",2011,299041
"21","Hombre","Menos de 5","Aysén","p112",2012,386192
"22","Hombre","Menos de 5","Aysén","p112",2013,349621
"23","Hombre","Menos de 5","Aysén","p112",2014,379929
"24","Hombre","Menos de 5","Aysén","p112",2015,384823
"25","Hombre","Menos de 5","Bíobío","p83",2010,177717
"26","Hombre","Menos de 5","Bíobío","p83",2011,165690
"27","Hombre","Menos de 5","Bíobío","p83",2012,200942
"28","Hombre","Menos de 5","Bíobío","p83",2013,199847
"29","Hombre","Menos de 5","Bíobío","p83",2014,224958
"30","Hombre","Menos de 5","Bíobío","p83",2015,280987
"31","Hombre","Menos de 5","Cachapoal","p61",2010,202259
"32","Hombre","Menos de 5","Cachapoal","p61",2011,239790
"33","Hombre","Menos de 5","Cachapoal","p61",2012,231182
"34","Hombre","Menos de 5","Cachapoal","p61",2013,298867
"35","Hombre","Menos de 5","Cachapoal","p61",2014,302878
"36","Hombre","Menos de 5","Cachapoal","p61",2015,321000
"37","Hombre","Menos de 5","Capitán Prat","p113",2010,284316
