"","sex","company_size","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Menos de 5","Antofagasta","2",2010,350343
"2","Hombre","Menos de 5","Antofagasta","2",2011,337590
"3","Hombre","Menos de 5","Antofagasta","2",2012,400947
"4","Hombre","Menos de 5","Antofagasta","2",2013,412625
"5","Hombre","Menos de 5","Antofagasta","2",2014,400000
"6","Hombre","Menos de 5","Antofagasta","2",2015,500796
"7","Hombre","Menos de 5","Araucanía","9",2010,120062
"8","Hombre","Menos de 5","Araucanía","9",2011,179425
"9","Hombre","Menos de 5","Araucanía","9",2012,160664
"10","Hombre","Menos de 5","Araucanía","9",2013,194263
"11","Hombre","Menos de 5","Araucanía","9",2014,204127
"12","Hombre","Menos de 5","Araucanía","9",2015,200788
"13","Hombre","Menos de 5","Arica y Parinacota","15",2010,200000
"14","Hombre","Menos de 5","Arica y Parinacota","15",2011,194109
"15","Hombre","Menos de 5","Arica y Parinacota","15",2012,204602
"16","Hombre","Menos de 5","Arica y Parinacota","15",2013,298867
"17","Hombre","Menos de 5","Arica y Parinacota","15",2014,288100
"18","Hombre","Menos de 5","Arica y Parinacota","15",2015,301222
"19","Hombre","Menos de 5","Atacama","3",2010,245268
"20","Hombre","Menos de 5","Atacama","3",2011,249261
"21","Hombre","Menos de 5","Atacama","3",2012,291630
"22","Hombre","Menos de 5","Atacama","3",2013,298867
"23","Hombre","Menos de 5","Atacama","3",2014,299159
"24","Hombre","Menos de 5","Atacama","3",2015,342566
"25","Hombre","Menos de 5","Aysén","11",2010,265449
"26","Hombre","Menos de 5","Aysén","11",2011,294747
"27","Hombre","Menos de 5","Aysén","11",2012,300240
"28","Hombre","Menos de 5","Aysén","11",2013,298867
"29","Hombre","Menos de 5","Aysén","11",2014,300609
"30","Hombre","Menos de 5","Aysén","11",2015,383924
"31","Hombre","Menos de 5","Bíobío","8",2010,160157
"32","Hombre","Menos de 5","Bíobío","8",2011,179425
"33","Hombre","Menos de 5","Bíobío","8",2012,200000
"34","Hombre","Menos de 5","Bíobío","8",2013,200000
"35","Hombre","Menos de 5","Bíobío","8",2014,208000
"36","Hombre","Menos de 5","Bíobío","8",2015,240065
"37","Hombre","Menos de 5","Coquimbo","4",2010,200000
"38","Hombre","Menos de 5","Coquimbo","4",2011,236423
"39","Hombre","Menos de 5","Coquimbo","4",2012,256220
"40","Hombre","Menos de 5","Coquimbo","4",2013,250178
"41","Hombre","Menos de 5","Coquimbo","4",2014,299944
"42","Hombre","Menos de 5","Coquimbo","4",2015,300000
"43","Hombre","Menos de 5","Los Lagos","10",2010,179877
"44","Hombre","Menos de 5","Los Lagos","10",2011,200000
"45","Hombre","Menos de 5","Los Lagos","10",2012,200000
"46","Hombre","Menos de 5","Los Lagos","10",2013,200277
"47","Hombre","Menos de 5","Los Lagos","10",2014,230000
"48","Hombre","Menos de 5","Los Lagos","10",2015,260531
"49","Hombre","Menos de 5","Los Ríos","14",2010,173003
"50","Hombre","Menos de 5","Los Ríos","14",2011,180000
"51","Hombre","Menos de 5","Los Ríos","14",2012,200902
"52","Hombre","Menos de 5","Los Ríos","14",2013,200142
"53","Hombre","Menos de 5","Los Ríos","14",2014,249953
"54","Hombre","Menos de 5","Los Ríos","14",2015,242209
"55","Hombre","Menos de 5","Magallanes","12",2010,299795
"56","Hombre","Menos de 5","Magallanes","12",2011,301450
"57","Hombre","Menos de 5","Magallanes","12",2012,402248
"58","Hombre","Menos de 5","Magallanes","12",2013,355451
"59","Hombre","Menos de 5","Magallanes","12",2014,368577
"60","Hombre","Menos de 5","Magallanes","12",2015,401304
"61","Hombre","Menos de 5","Maule","7",2010,161100
"62","Hombre","Menos de 5","Maule","7",2011,179727
"63","Hombre","Menos de 5","Maule","7",2012,195453
"64","Hombre","Menos de 5","Maule","7",2013,210000
"65","Hombre","Menos de 5","Maule","7",2014,249978
"66","Hombre","Menos de 5","Maule","7",2015,250068
"67","Hombre","Menos de 5","Metropolitana","13",2010,245082
"68","Hombre","Menos de 5","Metropolitana","13",2011,249201
"69","Hombre","Menos de 5","Metropolitana","13",2012,300000
"70","Hombre","Menos de 5","Metropolitana","13",2013,300407
"71","Hombre","Menos de 5","Metropolitana","13",2014,303127
"72","Hombre","Menos de 5","Metropolitana","13",2015,336020
"73","Hombre","Menos de 5","O'Higgins","6",2010,200196
"74","Hombre","Menos de 5","O'Higgins","6",2011,210000
"75","Hombre","Menos de 5","O'Higgins","6",2012,219878
"76","Hombre","Menos de 5","O'Higgins","6",2013,268613
"77","Hombre","Menos de 5","O'Higgins","6",2014,299944
"78","Hombre","Menos de 5","O'Higgins","6",2015,300081
"79","Hombre","Menos de 5","Tarapacá","1",2010,222355
"80","Hombre","Menos de 5","Tarapacá","1",2011,219297
"81","Hombre","Menos de 5","Tarapacá","1",2012,297941
"82","Hombre","Menos de 5","Tarapacá","1",2013,294842
"83","Hombre","Menos de 5","Tarapacá","1",2014,329402
"84","Hombre","Menos de 5","Tarapacá","1",2015,322714
"85","Hombre","Menos de 5","Valparaíso","5",2010,180176
"86","Hombre","Menos de 5","Valparaíso","5",2011,200813
"87","Hombre","Menos de 5","Valparaíso","5",2012,211190
"88","Hombre","Menos de 5","Valparaíso","5",2013,268363
"89","Hombre","Menos de 5","Valparaíso","5",2014,299944
"90","Hombre","Menos de 5","Valparaíso","5",2015,300000
"91","Hombre","Menos de 5",NA,NA,2010,148263
"92","Hombre","Menos de 5",NA,NA,2011,391978
"93","Hombre","Menos de 5",NA,NA,2012,154135
"94","Hombre","De 5 a 10 personas","Antofagasta","2",2010,599590
"95","Hombre","De 5 a 10 personas","Antofagasta","2",2011,470000
"96","Hombre","De 5 a 10 personas","Antofagasta","2",2012,506164
"97","Hombre","De 5 a 10 personas","Antofagasta","2",2013,498488
"98","Hombre","De 5 a 10 personas","Antofagasta","2",2014,599887
"99","Hombre","De 5 a 10 personas","Antofagasta","2",2015,728085
"100","Hombre","De 5 a 10 personas","Araucanía","9",2010,200196
"101","Hombre","De 5 a 10 personas","Araucanía","9",2011,367896
"102","Hombre","De 5 a 10 personas","Araucanía","9",2012,384607
"103","Hombre","De 5 a 10 personas","Araucanía","9",2013,290351
"104","Hombre","De 5 a 10 personas","Araucanía","9",2014,350000
"105","Hombre","De 5 a 10 personas","Araucanía","9",2015,451834
"106","Hombre","De 5 a 10 personas","Arica y Parinacota","15",2010,231776
"107","Hombre","De 5 a 10 personas","Arica y Parinacota","15",2011,319683
"108","Hombre","De 5 a 10 personas","Arica y Parinacota","15",2012,251405
"109","Hombre","De 5 a 10 personas","Arica y Parinacota","15",2013,280896
"110","Hombre","De 5 a 10 personas","Arica y Parinacota","15",2014,259776
"111","Hombre","De 5 a 10 personas","Arica y Parinacota","15",2015,349257
"112","Hombre","De 5 a 10 personas","Atacama","3",2010,371083
"113","Hombre","De 5 a 10 personas","Atacama","3",2011,315700
"114","Hombre","De 5 a 10 personas","Atacama","3",2012,433231
"115","Hombre","De 5 a 10 personas","Atacama","3",2013,561592
"116","Hombre","De 5 a 10 personas","Atacama","3",2014,874292
"117","Hombre","De 5 a 10 personas","Atacama","3",2015,450122
"118","Hombre","De 5 a 10 personas","Aysén","11",2010,376368
"119","Hombre","De 5 a 10 personas","Aysén","11",2011,600000
"120","Hombre","De 5 a 10 personas","Aysén","11",2012,402797
"121","Hombre","De 5 a 10 personas","Aysén","11",2013,448776
"122","Hombre","De 5 a 10 personas","Aysén","11",2014,620692
"123","Hombre","De 5 a 10 personas","Aysén","11",2015,802547
"124","Hombre","De 5 a 10 personas","Bíobío","8",2010,201117
"125","Hombre","De 5 a 10 personas","Bíobío","8",2011,231841
"126","Hombre","De 5 a 10 personas","Bíobío","8",2012,295230
"127","Hombre","De 5 a 10 personas","Bíobío","8",2013,248707
"128","Hombre","De 5 a 10 personas","Bíobío","8",2014,299944
"129","Hombre","De 5 a 10 personas","Bíobío","8",2015,347995
"130","Hombre","De 5 a 10 personas","Coquimbo","4",2010,299795
"131","Hombre","De 5 a 10 personas","Coquimbo","4",2011,300000
"132","Hombre","De 5 a 10 personas","Coquimbo","4",2012,331855
"133","Hombre","De 5 a 10 personas","Coquimbo","4",2013,350000
"134","Hombre","De 5 a 10 personas","Coquimbo","4",2014,303127
"135","Hombre","De 5 a 10 personas","Coquimbo","4",2015,354823
"136","Hombre","De 5 a 10 personas","Los Lagos","10",2010,250103
"137","Hombre","De 5 a 10 personas","Los Lagos","10",2011,330000
"138","Hombre","De 5 a 10 personas","Los Lagos","10",2012,251379
"139","Hombre","De 5 a 10 personas","Los Lagos","10",2013,342148
"140","Hombre","De 5 a 10 personas","Los Lagos","10",2014,351915
"141","Hombre","De 5 a 10 personas","Los Lagos","10",2015,446336
"142","Hombre","De 5 a 10 personas","Los Ríos","14",2010,228153
"143","Hombre","De 5 a 10 personas","Los Ríos","14",2011,244899
"144","Hombre","De 5 a 10 personas","Los Ríos","14",2012,294000
"145","Hombre","De 5 a 10 personas","Los Ríos","14",2013,307759
"146","Hombre","De 5 a 10 personas","Los Ríos","14",2014,319488
"147","Hombre","De 5 a 10 personas","Los Ríos","14",2015,301222
"148","Hombre","De 5 a 10 personas","Magallanes","12",2010,630575
"149","Hombre","De 5 a 10 personas","Magallanes","12",2011,450047
"150","Hombre","De 5 a 10 personas","Magallanes","12",2012,510556
"151","Hombre","De 5 a 10 personas","Magallanes","12",2013,784661
"152","Hombre","De 5 a 10 personas","Magallanes","12",2014,607128
"153","Hombre","De 5 a 10 personas","Magallanes","12",2015,573577
"154","Hombre","De 5 a 10 personas","Maule","7",2010,202496
"155","Hombre","De 5 a 10 personas","Maule","7",2011,224781
"156","Hombre","De 5 a 10 personas","Maule","7",2012,271548
"157","Hombre","De 5 a 10 personas","Maule","7",2013,259534
"158","Hombre","De 5 a 10 personas","Maule","7",2014,266502
"159","Hombre","De 5 a 10 personas","Maule","7",2015,302724
"160","Hombre","De 5 a 10 personas","Metropolitana","13",2010,299795
"161","Hombre","De 5 a 10 personas","Metropolitana","13",2011,336000
"162","Hombre","De 5 a 10 personas","Metropolitana","13",2012,400000
"163","Hombre","De 5 a 10 personas","Metropolitana","13",2013,398489
"164","Hombre","De 5 a 10 personas","Metropolitana","13",2014,400000
"165","Hombre","De 5 a 10 personas","Metropolitana","13",2015,412745
