"","sex","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Algarrobo","1",2010,350343
"2","Hombre","Algarrobo","1",2011,601611
"3","Hombre","Algarrobo","1",2012,905059
"4","Hombre","Algarrobo","1",2013,526963
"5","Hombre","Algarrobo","1",2014,505211
"6","Hombre","Algarrobo","1",2015,3313446
"7","Hombre","Alto del Carmen","4",2010,209847
"8","Hombre","Alto del Carmen","4",2011,225886
"9","Hombre","Alto del Carmen","4",2012,193000
"10","Hombre","Alto del Carmen","4",2013,238670
"11","Hombre","Alto del Carmen","4",2014,300000
"12","Hombre","Alto del Carmen","4",2015,337195
"13","Hombre","Alto Hospicio","5",2010,299888
"14","Hombre","Alto Hospicio","5",2011,306661
"15","Hombre","Alto Hospicio","5",2012,342961
"16","Hombre","Alto Hospicio","5",2013,423190
"17","Hombre","Alto Hospicio","5",2014,454309
"18","Hombre","Alto Hospicio","5",2015,436767
"19","Hombre","Ancud","6",2010,205000
"20","Hombre","Ancud","6",2011,220000
"21","Hombre","Ancud","6",2012,200000
"22","Hombre","Ancud","6",2013,257253
"23","Hombre","Ancud","6",2014,399961
"24","Hombre","Ancud","6",2015,351510
"25","Hombre","Andacollo","7",2010,603000
"26","Hombre","Andacollo","7",2011,498402
"27","Hombre","Andacollo","7",2012,552481
"28","Hombre","Andacollo","7",2013,529991
"29","Hombre","Andacollo","7",2014,449916
"30","Hombre","Andacollo","7",2015,743467
"31","Hombre","Angol","8",2010,219929
"32","Hombre","Angol","8",2011,244556
"33","Hombre","Angol","8",2012,318589
"34","Hombre","Angol","8",2013,299243
"35","Hombre","Angol","8",2014,358700
"36","Hombre","Angol","8",2015,301222
"37","Hombre","Antofagasta","9",2010,450354
"38","Hombre","Antofagasta","9",2011,500000
"39","Hombre","Antofagasta","9",2012,552801
"40","Hombre","Antofagasta","9",2013,535000
"41","Hombre","Antofagasta","9",2014,509822
"42","Hombre","Antofagasta","9",2015,634763
"43","Hombre","Antuco","10",2010,439699
"44","Hombre","Antuco","10",2011,199361
"45","Hombre","Antuco","10",2012,301353
"46","Hombre","Antuco","10",2013,448301
"47","Hombre","Antuco","10",2014,349934
"48","Hombre","Antuco","10",2015,596144
"49","Hombre","Arauco","11",2010,306000
"50","Hombre","Arauco","11",2011,268108
"51","Hombre","Arauco","11",2012,305228
"52","Hombre","Arauco","11",2013,300024
"53","Hombre","Arauco","11",2014,335937
"54","Hombre","Arauco","11",2015,406386
"55","Hombre","Arica","12",2010,279909
"56","Hombre","Arica","12",2011,297291
"57","Hombre","Arica","12",2012,320700
"58","Hombre","Arica","12",2013,340461
"59","Hombre","Arica","12",2014,351575
"60","Hombre","Arica","12",2015,400737
"61","Hombre","Aysén","13",2010,385883
"62","Hombre","Aysén","13",2011,414850
"63","Hombre","Aysén","13",2012,480061
"64","Hombre","Aysén","13",2013,550000
"65","Hombre","Aysén","13",2014,499906
"66","Hombre","Aysén","13",2015,571108
"67","Hombre","Buin","14",2010,297261
"68","Hombre","Buin","14",2011,348881
"69","Hombre","Buin","14",2012,385750
"70","Hombre","Buin","14",2013,412848
"71","Hombre","Buin","14",2014,405340
"72","Hombre","Buin","14",2015,400000
"73","Hombre","Bulnes","15",2010,188280
"74","Hombre","Bulnes","15",2011,202917
"75","Hombre","Bulnes","15",2012,248590
"76","Hombre","Bulnes","15",2013,257989
"77","Hombre","Bulnes","15",2014,264446
"78","Hombre","Bulnes","15",2015,330687
"79","Hombre","Cabildo","16",2010,300000
"80","Hombre","Cabildo","16",2011,443578
"81","Hombre","Cabildo","16",2012,619083
"82","Hombre","Cabildo","16",2013,392034
"83","Hombre","Cabildo","16",2014,599887
"84","Hombre","Cabildo","16",2015,516899
"85","Hombre","Cabrero","18",2010,357956
"86","Hombre","Cabrero","18",2011,389276
"87","Hombre","Cabrero","18",2012,313279
"88","Hombre","Cabrero","18",2013,388527
"89","Hombre","Cabrero","18",2014,399925
"90","Hombre","Cabrero","18",2015,396433
"91","Hombre","Calama","19",2010,568462
"92","Hombre","Calama","19",2011,690886
"93","Hombre","Calama","19",2012,700012
"94","Hombre","Calama","19",2013,946139
"95","Hombre","Calama","19",2014,908550
"96","Hombre","Calama","19",2015,761741
"97","Hombre","Calbuco","20",2010,278968
"98","Hombre","Calbuco","20",2011,392875
