"","sex","icse","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Asalariado Sector Privado","Antofagasta","p21",2010,490093
"2","Hombre","Asalariado Sector Privado","Antofagasta","p21",2011,500000
"3","Hombre","Asalariado Sector Privado","Antofagasta","p21",2012,550796
"4","Hombre","Asalariado Sector Privado","Antofagasta","p21",2013,597734
"5","Hombre","Asalariado Sector Privado","Antofagasta","p21",2014,555732
"6","Hombre","Asalariado Sector Privado","Antofagasta","p21",2015,660924
"7","Hombre","Asalariado Sector Privado","Arauco","p82",2010,275057
"8","Hombre","Asalariado Sector Privado","Arauco","p82",2011,250003
"9","Hombre","Asalariado Sector Privado","Arauco","p82",2012,268605
"10","Hombre","Asalariado Sector Privado","Arauco","p82",2013,284248
"11","Hombre","Asalariado Sector Privado","Arauco","p82",2014,320000
"12","Hombre","Asalariado Sector Privado","Arauco","p82",2015,350000
"13","Hombre","Asalariado Sector Privado","Arica","p151",2010,296442
"14","Hombre","Asalariado Sector Privado","Arica","p151",2011,279105
"15","Hombre","Asalariado Sector Privado","Arica","p151",2012,321799
"16","Hombre","Asalariado Sector Privado","Arica","p151",2013,350000
"17","Hombre","Asalariado Sector Privado","Arica","p151",2014,376692
"18","Hombre","Asalariado Sector Privado","Arica","p151",2015,402653
"19","Hombre","Asalariado Sector Privado","Aysén","p112",2010,345363
"20","Hombre","Asalariado Sector Privado","Aysén","p112",2011,365135
"21","Hombre","Asalariado Sector Privado","Aysén","p112",2012,405112
"22","Hombre","Asalariado Sector Privado","Aysén","p112",2013,400158
"23","Hombre","Asalariado Sector Privado","Aysén","p112",2014,523725
"24","Hombre","Asalariado Sector Privado","Aysén","p112",2015,450122
"25","Hombre","Asalariado Sector Privado","Bíobío","p83",2010,229860
"26","Hombre","Asalariado Sector Privado","Bíobío","p83",2011,269154
"27","Hombre","Asalariado Sector Privado","Bíobío","p83",2012,261850
"28","Hombre","Asalariado Sector Privado","Bíobío","p83",2013,300000
"29","Hombre","Asalariado Sector Privado","Bíobío","p83",2014,342074
"30","Hombre","Asalariado Sector Privado","Bíobío","p83",2015,361229
"31","Hombre","Asalariado Sector Privado","Cachapoal","p61",2010,279809
"32","Hombre","Asalariado Sector Privado","Cachapoal","p61",2011,264402
"33","Hombre","Asalariado Sector Privado","Cachapoal","p61",2012,281574
"34","Hombre","Asalariado Sector Privado","Cachapoal","p61",2013,327965
"35","Hombre","Asalariado Sector Privado","Cachapoal","p61",2014,328236
"36","Hombre","Asalariado Sector Privado","Cachapoal","p61",2015,366041
"37","Hombre","Asalariado Sector Privado","Capitán Prat","p113",2010,450440
