"","sex","icse","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Asalariado Sector Privado","Antofagasta","2",2010,450231
"2","Hombre","Asalariado Sector Privado","Antofagasta","2",2011,500000
"3","Hombre","Asalariado Sector Privado","Antofagasta","2",2012,552801
"4","Hombre","Asalariado Sector Privado","Antofagasta","2",2013,600000
"5","Hombre","Asalariado Sector Privado","Antofagasta","2",2014,580212
"6","Hombre","Asalariado Sector Privado","Antofagasta","2",2015,652648
"7","Hombre","Asalariado Sector Privado","Araucanía","9",2010,218703
"8","Hombre","Asalariado Sector Privado","Araucanía","9",2011,250000
"9","Hombre","Asalariado Sector Privado","Araucanía","9",2012,279953
"10","Hombre","Asalariado Sector Privado","Araucanía","9",2013,284992
"11","Hombre","Asalariado Sector Privado","Araucanía","9",2014,305886
"12","Hombre","Asalariado Sector Privado","Araucanía","9",2015,350000
"13","Hombre","Asalariado Sector Privado","Arica y Parinacota","15",2010,296442
"14","Hombre","Asalariado Sector Privado","Arica y Parinacota","15",2011,269137
"15","Hombre","Asalariado Sector Privado","Arica y Parinacota","15",2012,321799
"16","Hombre","Asalariado Sector Privado","Arica y Parinacota","15",2013,350000
"17","Hombre","Asalariado Sector Privado","Arica y Parinacota","15",2014,378908
"18","Hombre","Asalariado Sector Privado","Arica y Parinacota","15",2015,404274
"19","Hombre","Asalariado Sector Privado","Atacama","3",2010,347006
"20","Hombre","Asalariado Sector Privado","Atacama","3",2011,400422
"21","Hombre","Asalariado Sector Privado","Atacama","3",2012,408835
"22","Hombre","Asalariado Sector Privado","Atacama","3",2013,493849
"23","Hombre","Asalariado Sector Privado","Atacama","3",2014,500000
"24","Hombre","Asalariado Sector Privado","Atacama","3",2015,550078
"25","Hombre","Asalariado Sector Privado","Aysén","11",2010,279809
"26","Hombre","Asalariado Sector Privado","Aysén","11",2011,348881
"27","Hombre","Asalariado Sector Privado","Aysén","11",2012,350000
"28","Hombre","Asalariado Sector Privado","Aysén","11",2013,367947
"29","Hombre","Asalariado Sector Privado","Aysén","11",2014,399925
"30","Hombre","Asalariado Sector Privado","Aysén","11",2015,443275
"31","Hombre","Asalariado Sector Privado","Bíobío","8",2010,226919
"32","Hombre","Asalariado Sector Privado","Bíobío","8",2011,258039
"33","Hombre","Asalariado Sector Privado","Bíobío","8",2012,264004
"34","Hombre","Asalariado Sector Privado","Bíobío","8",2013,300000
"35","Hombre","Asalariado Sector Privado","Bíobío","8",2014,314526
"36","Hombre","Asalariado Sector Privado","Bíobío","8",2015,351360
"37","Hombre","Asalariado Sector Privado","Coquimbo","4",2010,277787
"38","Hombre","Asalariado Sector Privado","Coquimbo","4",2011,299041
"39","Hombre","Asalariado Sector Privado","Coquimbo","4",2012,356185
"40","Hombre","Asalariado Sector Privado","Coquimbo","4",2013,375535
"41","Hombre","Asalariado Sector Privado","Coquimbo","4",2014,399925
"42","Hombre","Asalariado Sector Privado","Coquimbo","4",2015,400002
"43","Hombre","Asalariado Sector Privado","Los Lagos","10",2010,238000
"44","Hombre","Asalariado Sector Privado","Los Lagos","10",2011,271305
"45","Hombre","Asalariado Sector Privado","Los Lagos","10",2012,282018
"46","Hombre","Asalariado Sector Privado","Los Lagos","10",2013,309363
"47","Hombre","Asalariado Sector Privado","Los Lagos","10",2014,333245
"48","Hombre","Asalariado Sector Privado","Los Lagos","10",2015,391589
"49","Hombre","Asalariado Sector Privado","Los Ríos","14",2010,200196
"50","Hombre","Asalariado Sector Privado","Los Ríos","14",2011,244226
"51","Hombre","Asalariado Sector Privado","Los Ríos","14",2012,295396
"52","Hombre","Asalariado Sector Privado","Los Ríos","14",2013,310609
"53","Hombre","Asalariado Sector Privado","Los Ríos","14",2014,314868
"54","Hombre","Asalariado Sector Privado","Los Ríos","14",2015,362353
"55","Hombre","Asalariado Sector Privado","Magallanes","12",2010,338497
"56","Hombre","Asalariado Sector Privado","Magallanes","12",2011,356716
"57","Hombre","Asalariado Sector Privado","Magallanes","12",2012,400000
"58","Hombre","Asalariado Sector Privado","Magallanes","12",2013,476540
"59","Hombre","Asalariado Sector Privado","Magallanes","12",2014,450000
"60","Hombre","Asalariado Sector Privado","Magallanes","12",2015,500000
"61","Hombre","Asalariado Sector Privado","Maule","7",2010,192000
"62","Hombre","Asalariado Sector Privado","Maule","7",2011,199696
"63","Hombre","Asalariado Sector Privado","Maule","7",2012,238106
"64","Hombre","Asalariado Sector Privado","Maule","7",2013,274463
"65","Hombre","Asalariado Sector Privado","Maule","7",2014,272814
"66","Hombre","Asalariado Sector Privado","Maule","7",2015,301222
"67","Hombre","Asalariado Sector Privado","Metropolitana","13",2010,288852
"68","Hombre","Asalariado Sector Privado","Metropolitana","13",2011,309572
"69","Hombre","Asalariado Sector Privado","Metropolitana","13",2012,357512
"70","Hombre","Asalariado Sector Privado","Metropolitana","13",2013,400000
"71","Hombre","Asalariado Sector Privado","Metropolitana","13",2014,402100
"72","Hombre","Asalariado Sector Privado","Metropolitana","13",2015,435901
"73","Hombre","Asalariado Sector Privado","O'Higgins","6",2010,249829
"74","Hombre","Asalariado Sector Privado","O'Higgins","6",2011,249201
"75","Hombre","Asalariado Sector Privado","O'Higgins","6",2012,263947
"76","Hombre","Asalariado Sector Privado","O'Higgins","6",2013,298867
"77","Hombre","Asalariado Sector Privado","O'Higgins","6",2014,309735
"78","Hombre","Asalariado Sector Privado","O'Higgins","6",2015,347525
"79","Hombre","Asalariado Sector Privado","Tarapacá","1",2010,350343
"80","Hombre","Asalariado Sector Privado","Tarapacá","1",2011,400000
"81","Hombre","Asalariado Sector Privado","Tarapacá","1",2012,482445
"82","Hombre","Asalariado Sector Privado","Tarapacá","1",2013,481022
"83","Hombre","Asalariado Sector Privado","Tarapacá","1",2014,505211
"84","Hombre","Asalariado Sector Privado","Tarapacá","1",2015,500084
"85","Hombre","Asalariado Sector Privado","Valparaíso","5",2010,250000
"86","Hombre","Asalariado Sector Privado","Valparaíso","5",2011,276192
"87","Hombre","Asalariado Sector Privado","Valparaíso","5",2012,300000
"88","Hombre","Asalariado Sector Privado","Valparaíso","5",2013,342035
"89","Hombre","Asalariado Sector Privado","Valparaíso","5",2014,365344
"90","Hombre","Asalariado Sector Privado","Valparaíso","5",2015,394390
"91","Hombre","Asalariado Sector Privado",NA,NA,2010,228091
"92","Hombre","Asalariado Sector Privado",NA,NA,2011,345012
"93","Hombre","Asalariado Sector Privado",NA,NA,2012,294057
"94","Hombre","Asalariado Sector Público","Antofagasta","2",2010,988951
"95","Hombre","Asalariado Sector Público","Antofagasta","2",2011,1227526
"96","Hombre","Asalariado Sector Público","Antofagasta","2",2012,1204194
"97","Hombre","Asalariado Sector Público","Antofagasta","2",2013,1288184
"98","Hombre","Asalariado Sector Público","Antofagasta","2",2014,1103752
"99","Hombre","Asalariado Sector Público","Antofagasta","2",2015,1228115
"100","Hombre","Asalariado Sector Público","Araucanía","9",2010,580568
"101","Hombre","Asalariado Sector Público","Araucanía","9",2011,697763
"102","Hombre","Asalariado Sector Público","Araucanía","9",2012,703157
"103","Hombre","Asalariado Sector Público","Araucanía","9",2013,600000
"104","Hombre","Asalariado Sector Público","Araucanía","9",2014,831284
"105","Hombre","Asalariado Sector Público","Araucanía","9",2015,843440
"106","Hombre","Asalariado Sector Público","Arica y Parinacota","15",2010,495456
"107","Hombre","Asalariado Sector Público","Arica y Parinacota","15",2011,477531
"108","Hombre","Asalariado Sector Público","Arica y Parinacota","15",2012,605698
"109","Hombre","Asalariado Sector Público","Arica y Parinacota","15",2013,631321
"110","Hombre","Asalariado Sector Público","Arica y Parinacota","15",2014,648552
"111","Hombre","Asalariado Sector Público","Arica y Parinacota","15",2015,699137
"112","Hombre","Asalariado Sector Público","Atacama","3",2010,563853
"113","Hombre","Asalariado Sector Público","Atacama","3",2011,507897
"114","Hombre","Asalariado Sector Público","Atacama","3",2012,590414
"115","Hombre","Asalariado Sector Público","Atacama","3",2013,863285
"116","Hombre","Asalariado Sector Público","Atacama","3",2014,889172
"117","Hombre","Asalariado Sector Público","Atacama","3",2015,852150
"118","Hombre","Asalariado Sector Público","Aysén","11",2010,800101
"119","Hombre","Asalariado Sector Público","Aysén","11",2011,1100000
"120","Hombre","Asalariado Sector Público","Aysén","11",2012,804497
"121","Hombre","Asalariado Sector Público","Aysén","11",2013,1200217
"122","Hombre","Asalariado Sector Público","Aysén","11",2014,912075
"123","Hombre","Asalariado Sector Público","Aysén","11",2015,1102574
"124","Hombre","Asalariado Sector Público","Bíobío","8",2010,419755
"125","Hombre","Asalariado Sector Público","Bíobío","8",2011,474928
"126","Hombre","Asalariado Sector Público","Bíobío","8",2012,583850
"127","Hombre","Asalariado Sector Público","Bíobío","8",2013,498112
"128","Hombre","Asalariado Sector Público","Bíobío","8",2014,600000
"129","Hombre","Asalariado Sector Público","Bíobío","8",2015,663355
"130","Hombre","Asalariado Sector Público","Coquimbo","4",2010,608192
"131","Hombre","Asalariado Sector Público","Coquimbo","4",2011,543349
"132","Hombre","Asalariado Sector Público","Coquimbo","4",2012,643362
"133","Hombre","Asalariado Sector Público","Coquimbo","4",2013,677432
"134","Hombre","Asalariado Sector Público","Coquimbo","4",2014,754258
"135","Hombre","Asalariado Sector Público","Coquimbo","4",2015,750000
"136","Hombre","Asalariado Sector Público","Los Lagos","10",2010,536170
"137","Hombre","Asalariado Sector Público","Los Lagos","10",2011,599089
"138","Hombre","Asalariado Sector Público","Los Lagos","10",2012,708906
"139","Hombre","Asalariado Sector Público","Los Lagos","10",2013,700949
"140","Hombre","Asalariado Sector Público","Los Lagos","10",2014,823629
"141","Hombre","Asalariado Sector Público","Los Lagos","10",2015,873126
"142","Hombre","Asalariado Sector Público","Los Ríos","14",2010,488305
"143","Hombre","Asalariado Sector Público","Los Ríos","14",2011,598082
"144","Hombre","Asalariado Sector Público","Los Ríos","14",2012,700000
"145","Hombre","Asalariado Sector Público","Los Ríos","14",2013,745425
"146","Hombre","Asalariado Sector Público","Los Ríos","14",2014,800000
"147","Hombre","Asalariado Sector Público","Los Ríos","14",2015,694226
"148","Hombre","Asalariado Sector Público","Magallanes","12",2010,1099248
"149","Hombre","Asalariado Sector Público","Magallanes","12",2011,999875
"150","Hombre","Asalariado Sector Público","Magallanes","12",2012,918811
"151","Hombre","Asalariado Sector Público","Magallanes","12",2013,1029102
"152","Hombre","Asalariado Sector Público","Magallanes","12",2014,1302485
"153","Hombre","Asalariado Sector Público","Magallanes","12",2015,1514234
"154","Hombre","Asalariado Sector Público","Maule","7",2010,499658
"155","Hombre","Asalariado Sector Público","Maule","7",2011,502417
"156","Hombre","Asalariado Sector Público","Maule","7",2012,435917
"157","Hombre","Asalariado Sector Público","Maule","7",2013,537581
"158","Hombre","Asalariado Sector Público","Maule","7",2014,523399
"159","Hombre","Asalariado Sector Público","Maule","7",2015,617179
"160","Hombre","Asalariado Sector Público","Metropolitana","13",2010,516124
"161","Hombre","Asalariado Sector Público","Metropolitana","13",2011,504617
"162","Hombre","Asalariado Sector Público","Metropolitana","13",2012,559741
"163","Hombre","Asalariado Sector Público","Metropolitana","13",2013,657833
"164","Hombre","Asalariado Sector Público","Metropolitana","13",2014,699869
"165","Hombre","Asalariado Sector Público","Metropolitana","13",2015,855068
"166","Hombre","Asalariado Sector Público","O'Higgins","6",2010,700000
"167","Hombre","Asalariado Sector Público","O'Higgins","6",2011,628381
"168","Hombre","Asalariado Sector Público","O'Higgins","6",2012,771417
"169","Hombre","Asalariado Sector Público","O'Higgins","6",2013,735294
"170","Hombre","Asalariado Sector Público","O'Higgins","6",2014,500000
"171","Hombre","Asalariado Sector Público","O'Higgins","6",2015,751048
"172","Hombre","Asalariado Sector Público","Tarapacá","1",2010,588123
"173","Hombre","Asalariado Sector Público","Tarapacá","1",2011,700000
"174","Hombre","Asalariado Sector Público","Tarapacá","1",2012,785192
"175","Hombre","Asalariado Sector Público","Tarapacá","1",2013,899771
"176","Hombre","Asalariado Sector Público","Tarapacá","1",2014,680000
"177","Hombre","Asalariado Sector Público","Tarapacá","1",2015,802033
"178","Hombre","Asalariado Sector Público","Valparaíso","5",2010,520267
"179","Hombre","Asalariado Sector Público","Valparaíso","5",2011,599308
"180","Hombre","Asalariado Sector Público","Valparaíso","5",2012,814342
"181","Hombre","Asalariado Sector Público","Valparaíso","5",2013,799061
"182","Hombre","Asalariado Sector Público","Valparaíso","5",2014,808338
"183","Hombre","Asalariado Sector Público","Valparaíso","5",2015,800000
"184","Hombre","Asalariado Sector Público",NA,NA,2010,508255
"185","Hombre","Asalariado Sector Público",NA,NA,2011,407717
"186","Hombre","Asalariado Sector Público",NA,NA,2012,1106183
"187","Hombre","Cuenta Propia","Antofagasta","2",2010,350343
"188","Hombre","Cuenta Propia","Antofagasta","2",2011,354379
"189","Hombre","Cuenta Propia","Antofagasta","2",2012,397619
"190","Hombre","Cuenta Propia","Antofagasta","2",2013,400000
"191","Hombre","Cuenta Propia","Antofagasta","2",2014,379929
"192","Hombre","Cuenta Propia","Antofagasta","2",2015,500135
"193","Hombre","Cuenta Propia","Araucanía","9",2010,95337
"194","Hombre","Cuenta Propia","Araucanía","9",2011,133895
"195","Hombre","Cuenta Propia","Araucanía","9",2012,120000
"196","Hombre","Cuenta Propia","Araucanía","9",2013,122255
"197","Hombre","Cuenta Propia","Araucanía","9",2014,181876
"198","Hombre","Cuenta Propia","Araucanía","9",2015,150529
"199","Hombre","Cuenta Propia","Arica y Parinacota","15",2010,199863
"200","Hombre","Cuenta Propia","Arica y Parinacota","15",2011,195351
"201","Hombre","Cuenta Propia","Arica y Parinacota","15",2012,231462
"202","Hombre","Cuenta Propia","Arica y Parinacota","15",2013,279498
"203","Hombre","Cuenta Propia","Arica y Parinacota","15",2014,286507
"204","Hombre","Cuenta Propia","Arica y Parinacota","15",2015,301222
"205","Hombre","Cuenta Propia","Atacama","3",2010,250003
