"","sex","isco","year","ub_weighted_median"
"1","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,151652
"2","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,179425
"3","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,193457
"4","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,200000
"5","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,203879
"6","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,240546
"7","Hombre","Empleados de oficina",2010,300294
"8","Hombre","Empleados de oficina",2011,331595
"9","Hombre","Empleados de oficina",2012,358386
"10","Hombre","Empleados de oficina",2013,389062
"11","Hombre","Empleados de oficina",2014,412521
"12","Hombre","Empleados de oficina",2015,401630
"13","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2010,1151921
"14","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2011,1207703
"15","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2012,1500000
"16","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2013,1494336
"17","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2014,1503656
"18","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2015,1797634
"19","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2010,243173
"20","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2011,259169
"21","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2012,300000
"22","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2013,318792
"23","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2014,340502
"24","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2015,367625
"25","Hombre","Operadores de instalaciones y máquinas y montadores",2010,299795
"26","Hombre","Operadores de instalaciones y máquinas y montadores",2011,310787
"27","Hombre","Operadores de instalaciones y máquinas y montadores",2012,349730
"28","Hombre","Operadores de instalaciones y máquinas y montadores",2013,375000
"29","Hombre","Operadores de instalaciones y máquinas y montadores",2014,399092
"30","Hombre","Operadores de instalaciones y máquinas y montadores",2015,400753
"31","Hombre","Otros no identificados",2010,580568
"32","Hombre","Otros no identificados",2011,600000
"33","Hombre","Otros no identificados",2012,726763
"34","Hombre","Otros no identificados",2013,723983
"35","Hombre","Otros no identificados",2014,777990
"36","Hombre","Otros no identificados",2015,821283
"37","Hombre","Profesionales científicos e intelectuales",2010,897908
"38","Hombre","Profesionales científicos e intelectuales",2011,897584
"39","Hombre","Profesionales científicos e intelectuales",2012,1004510
"40","Hombre","Profesionales científicos e intelectuales",2013,1000000
"41","Hombre","Profesionales científicos e intelectuales",2014,1030826
"42","Hombre","Profesionales científicos e intelectuales",2015,1128253
"43","Hombre","Técnicos y profesionales de nivel medio",2010,419713
"44","Hombre","Técnicos y profesionales de nivel medio",2011,498402
"45","Hombre","Técnicos y profesionales de nivel medio",2012,502134
"46","Hombre","Técnicos y profesionales de nivel medio",2013,583200
"47","Hombre","Técnicos y profesionales de nivel medio",2014,569893
