"","sex","isco","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2010,329774
"2","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2011,343022
"3","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2012,365548
"4","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2013,395521
"5","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2014,359971
"6","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2015,750000
"7","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2010,138704
"8","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2011,110532
"9","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2012,196660
"10","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2013,163753
"11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2014,176760
"12","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2015,250051
"13","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2010,259274
"14","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2011,266845
"15","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2012,260316
"16","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2013,308829
"17","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2014,307958
"18","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2015,502521
"19","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2010,241727
"20","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2011,300000
