"","sex","isco","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","2",2010,478078
"2","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","2",2011,319843
"3","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","2",2012,353082
"4","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","2",2013,389714
"5","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","2",2014,454690
"6","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","2",2015,706265
"7","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía","9",2010,80062
"8","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía","9",2011,86314
"9","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía","9",2012,111266
"10","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía","9",2013,112000
"11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía","9",2014,138872
"12","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía","9",2015,127973
"13","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota","15",2010,213208
"14","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota","15",2011,245719
"15","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota","15",2012,220061
"16","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota","15",2013,308829
"17","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota","15",2014,306382
"18","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota","15",2015,501633
"19","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama","3",2010,299795
"20","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama","3",2011,205000
"21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama","3",2012,201124
"22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama","3",2013,298996
"23","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama","3",2014,284548
"24","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama","3",2015,360000
"25","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","11",2010,259530
"26","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","11",2011,301450
"27","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","11",2012,330333
"28","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","11",2013,280620
"29","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","11",2014,348921
"30","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","11",2015,396497
"31","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío","8",2010,149897
"32","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío","8",2011,160499
"33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío","8",2012,200602
