"","sex","isic","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","1","Algarrobo","1",2012,251405
"2","Hombre","1","Alto del Carmen","4",2010,197534
"3","Hombre","1","Alto del Carmen","4",2012,193000
"4","Hombre","1","Alto Hospicio","5",2010,180839
"5","Hombre","1","Alto Hospicio","5",2012,181012
"6","Hombre","1","Ancud","6",2010,106758
"7","Hombre","1","Ancud","6",2012,804497
"8","Hombre","1","Andacollo","7",2010,190186
"9","Hombre","1","Andacollo","7",2012,235315
"10","Hombre","1","Angol","8",2010,199887
"11","Hombre","1","Angol","8",2012,238005
"12","Hombre","1","Antofagasta","9",2012,402248
"13","Hombre","1","Antuco","10",2010,189870
"14","Hombre","1","Antuco","10",2012,125000
"15","Hombre","1","Arauco","11",2010,308341
"16","Hombre","1","Arauco","11",2012,358409
"17","Hombre","1","Arica","12",2010,198839
"18","Hombre","1","Arica","12",2012,220542
"19","Hombre","1","Aysén","13",2010,250411
"20","Hombre","1","Aysén","13",2012,524196
"21","Hombre","1","Buin","14",2010,200019
"22","Hombre","1","Buin","14",2012,387335
"23","Hombre","1","Bulnes","15",2010,198105
"24","Hombre","1","Bulnes","15",2012,255654
"25","Hombre","1","Cabildo","16",2010,232390
"26","Hombre","1","Cabildo","16",2012,251338
"27","Hombre","1","Cabrero","18",2010,575606
"28","Hombre","1","Cabrero","18",2012,522345
"29","Hombre","1","Calama","19",2012,220000
"30","Hombre","1","Calbuco","20",2010,342715
"31","Hombre","1","Calbuco","20",2012,387634
"32","Hombre","1","Calera","22",2010,249135
"33","Hombre","1","Calera","22",2012,501485
"34","Hombre","1","Calera de Tango","23",2010,180176
"35","Hombre","1","Calera de Tango","23",2012,331855
"36","Hombre","1","Calle Larga","24",2010,227365
"37","Hombre","1","Calle Larga","24",2012,445033
"38","Hombre","1","Camarones","25",2010,231836
"39","Hombre","1","Camarones","25",2012,100249
"40","Hombre","1","Canela","27",2010,189870
"41","Hombre","1","Canela","27",2012,200792
"42","Hombre","1","Cañete","28",2010,200613
"43","Hombre","1","Cañete","28",2012,201688
"44","Hombre","1","Carahue","29",2010,129911
"45","Hombre","1","Carahue","29",2012,100380
"46","Hombre","1","Cartagena","30",2010,189572
"47","Hombre","1","Casablanca","31",2012,190857
"48","Hombre","1","Castro","32",2010,70069
"49","Hombre","1","Castro","32",2012,145414
"50","Hombre","1","Catemu","33",2010,220215
"51","Hombre","1","Catemu","33",2012,220992
"52","Hombre","1","Cauquenes","34",2010,171882
"53","Hombre","1","Cauquenes","34",2012,213734
"54","Hombre","1","Cerro Navia","36",2010,119918
"55","Hombre","1","Cerro Navia","36",2012,251405
"56","Hombre","1","Chanco","38",2010,140715
"57","Hombre","1","Chanco","38",2012,199675
"58","Hombre","1","Chépica","40",2010,348341
"59","Hombre","1","Chépica","40",2012,207059
"60","Hombre","1","Chiguayante","41",2010,542224
"61","Hombre","1","Chile Chico","42",2010,350343
"62","Hombre","1","Chile Chico","42",2012,110618
"63","Hombre","1","Chillán","43",2010,190893
"64","Hombre","1","Chillán","43",2012,476452
"65","Hombre","1","Chillán Viejo","44",2010,246241
"66","Hombre","1","Chillán Viejo","44",2012,737304
"67","Hombre","1","Chimbarongo","45",2010,257324
"68","Hombre","1","Chimbarongo","45",2012,210947
"69","Hombre","1","Chonchi","47",2010,100000
"70","Hombre","1","Chonchi","47",2012,146901
"71","Hombre","1","Cisnes","48",2010,1151125
"72","Hombre","1","Cisnes","48",2012,301686
"73","Hombre","1","Cochrane","51",2010,257433
"74","Hombre","1","Cochrane","51",2012,470111
"75","Hombre","1","Codegua","52",2010,250819
"76","Hombre","1","Codegua","52",2012,251405
"77","Hombre","1","Coelemu","53",2010,298913
"78","Hombre","1","Coelemu","53",2012,592589
"79","Hombre","1","Coihueco","55",2010,200196
"80","Hombre","1","Coihueco","55",2012,251405
"81","Hombre","1","Colbún","57",2010,174011
"82","Hombre","1","Colbún","57",2012,316622
"83","Hombre","1","Colina","59",2010,200000
"84","Hombre","1","Colina","59",2012,221237
"85","Hombre","1","Collipulli","60",2010,237855
"86","Hombre","1","Collipulli","60",2012,269176
"87","Hombre","1","Combarbalá","62",2010,202861
"88","Hombre","1","Combarbalá","62",2012,125194
"89","Hombre","1","Concepción","64",2010,1000000
"90","Hombre","1","Concepción","64",2012,317273
"91","Hombre","1","Conchalí","65",2010,220000
"92","Hombre","1","Conchalí","65",2012,108607
"93","Hombre","1","Concón","63",2010,440431
"94","Hombre","1","Concón","63",2012,234310
"95","Hombre","1","Constitución","66",2010,396141
"96","Hombre","1","Constitución","66",2012,310474
"97","Hombre","1","Copiapó","68",2010,419010
"98","Hombre","1","Copiapó","68",2012,351579
"99","Hombre","1","Coquimbo","69",2010,199887
"100","Hombre","1","Coquimbo","69",2012,208325
"101","Hombre","1","Coronel","70",2010,265500
"102","Hombre","1","Coronel","70",2012,501021
"103","Hombre","1","Corral","71",2012,80361
"104","Hombre","1","Coyhaique","54",2010,314656
"105","Hombre","1","Coyhaique","54",2012,282688
"106","Hombre","1","Curacautín","73",2010,160000
"107","Hombre","1","Curacautín","73",2012,1024601
"108","Hombre","1","Curacaví","74",2010,424000
"109","Hombre","1","Curacaví","74",2012,475000
"110","Hombre","1","Curaco de Vélez","75",2010,99932
"111","Hombre","1","Curaco de Vélez","75",2012,278533
"112","Hombre","1","Curanilahue","76",2010,343971
"113","Hombre","1","Curanilahue","76",2012,611765
"114","Hombre","1","Curarrehue","77",2010,94935
"115","Hombre","1","Curarrehue","77",2012,125440
"116","Hombre","1","Curicó","79",2010,180000
"117","Hombre","1","Curicó","79",2012,276510
"118","Hombre","1","Dalcahue","80",2010,48000
"119","Hombre","1","Dalcahue","80",2012,138000
"120","Hombre","1","Doñihue","82",2010,349761
"121","Hombre","1","Doñihue","82",2012,150843
"122","Hombre","1","El Bosque","83",2010,288940
"123","Hombre","1","El Bosque","83",2012,638850
"124","Hombre","1","El Monte","85",2010,199863
"125","Hombre","1","El Monte","85",2012,342768
"126","Hombre","1","El Quisco","86",2012,452529
"127","Hombre","1","Empedrado","88",2010,204700
"128","Hombre","1","Empedrado","88",2012,234051
"129","Hombre","1","Estación Central","90",2010,200000
"130","Hombre","1","Estación Central","90",2012,200902
"131","Hombre","1","Florida","91",2010,258517
"132","Hombre","1","Florida","91",2012,259551
"133","Hombre","1","Freire","92",2010,176747
"134","Hombre","1","Freire","92",2012,210157
"135","Hombre","1","Fresia","94",2010,199889
"136","Hombre","1","Fresia","94",2012,199824
"137","Hombre","1","Frutillar","95",2010,265943
"138","Hombre","1","Frutillar","95",2012,537117
