"","sex","isic","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","1","Antofagasta","p21",2012,402248
"2","Hombre","1","Arauco","p82",2010,220107
"3","Hombre","1","Arauco","p82",2012,269155
"4","Hombre","1","Arica","p151",2010,189062
"5","Hombre","1","Arica","p151",2012,220000
"6","Hombre","1","Aysén","p112",2010,253622
"7","Hombre","1","Aysén","p112",2012,350505
"8","Hombre","1","Bíobío","p83",2010,201274
"9","Hombre","1","Bíobío","p83",2012,207042
"10","Hombre","1","Cachapoal","p61",2010,199919
"11","Hombre","1","Cachapoal","p61",2012,221237
"12","Hombre","1","Capitán Prat","p113",2010,257433
"13","Hombre","1","Capitán Prat","p113",2012,470111
"14","Hombre","1","Cardenal Caro","p62",2010,189870
"15","Hombre","1","Cardenal Caro","p62",2012,211625
"16","Hombre","1","Cauquenes","p72",2010,170069
"17","Hombre","1","Cauquenes","p72",2012,200000
"18","Hombre","1","Cautín","p91",2010,92676
"19","Hombre","1","Cautín","p91",2012,130731
"20","Hombre","1","Chacabuco","p133",2010,183032
"21","Hombre","1","Chacabuco","p133",2012,201015
"22","Hombre","1","Chiloé","p102",2010,60661
"23","Hombre","1","Chiloé","p102",2012,116882
"24","Hombre","1","Choapa","p42",2010,160157
"25","Hombre","1","Choapa","p42",2012,161536
"26","Hombre","1","Colchagua","p63",2010,194898
"27","Hombre","1","Colchagua","p63",2012,210595
"28","Hombre","1","Concepción","p81",2010,271140
"29","Hombre","1","Concepción","p81",2012,281544
"30","Hombre","1","Copiapó","p31",2010,390382
"31","Hombre","1","Copiapó","p31",2012,351579
"32","Hombre","1","Cordillera","p152",2010,241750
"33","Hombre","1","Cordillera","p152",2012,301597
"34","Hombre","1","Coyhaique","p111",2010,314656
"35","Hombre","1","Coyhaique","p111",2012,253583
"36","Hombre","1","Curicó","p73",2010,175029
"37","Hombre","1","Curicó","p73",2012,217979
"38","Hombre","1","El Loa","p22",2010,531073
"39","Hombre","1","El Loa","p22",2012,220000
"40","Hombre","1","Elqui","p41",2010,186180
"41","Hombre","1","Elqui","p41",2012,200000
"42","Hombre","1","General Carrera","p114",2010,263431
"43","Hombre","1","General Carrera","p114",2012,219287
"44","Hombre","1","Huasco","p33",2010,197668
"45","Hombre","1","Huasco","p33",2012,193071
"46","Hombre","1","Iquique","p11",2010,588606
"47","Hombre","1","Iquique","p11",2012,531607
"48","Hombre","1","Limarí","p43",2010,180176
"49","Hombre","1","Limarí","p43",2012,200404
"50","Hombre","1","Linares","p74",2010,159891
"51","Hombre","1","Linares","p74",2012,193000
"52","Hombre","1","Llanquihue","p101",2010,213746
"53","Hombre","1","Llanquihue","p101",2012,231293
"54","Hombre","1","Los Andes","p53",2010,207553
"55","Hombre","1","Los Andes","p53",2012,219579
"56","Hombre","1","Magallanes","p121",2010,582040
"57","Hombre","1","Magallanes","p121",2012,353079
"58","Hombre","1","Maipo","p134",2010,200171
"59","Hombre","1","Maipo","p134",2012,258871
"60","Hombre","1","Malleco","p92",2010,154812
"61","Hombre","1","Malleco","p92",2012,170227
"62","Hombre","1","Marga Marga","p58",2010,176127
"63","Hombre","1","Marga Marga","p58",2012,261461
"64","Hombre","1","Melipilla","p135",2010,200190
"65","Hombre","1","Melipilla","p135",2012,214965
"66","Hombre","1","Ñuble","p84",2010,152819
"67","Hombre","1","Ñuble","p84",2012,238183
"68","Hombre","1","Osorno","p103",2010,200000
"69","Hombre","1","Osorno","p103",2012,220521
"70","Hombre","1","Parinacota","p152",2010,181177
"71","Hombre","1","Parinacota","p152",2012,110618
"72","Hombre","1","Petorca","p54",2010,184671
"73","Hombre","1","Petorca","p54",2012,251293
"74","Hombre","1","Quillota","p55",2010,171966
"75","Hombre","1","Quillota","p55",2012,256130
"76","Hombre","1","Ranco","p142",2010,206145
"77","Hombre","1","Ranco","p142",2012,257870
"78","Hombre","1","San Antonio","p56",2010,192389
"79","Hombre","1","San Antonio","p56",2012,452529
"80","Hombre","1","San Felipe","p57",2010,200942
"81","Hombre","1","San Felipe","p57",2012,207799
"82","Hombre","1","Santiago","p131",2010,480000
"83","Hombre","1","Santiago","p131",2012,326442
"84","Hombre","1","Talagante","p136",2010,197464
"85","Hombre","1","Talagante","p136",2012,263795
"86","Hombre","1","Talca","p71",2010,189328
"87","Hombre","1","Talca","p71",2012,238036
"88","Hombre","1","Tamarugal","p12",2010,145369
"89","Hombre","1","Tamarugal","p12",2012,100451
"90","Hombre","1","Tierra del Fuego","p123",2010,320000
"91","Hombre","1","Última Esperanza","p124",2010,399726
"92","Hombre","1","Última Esperanza","p124",2012,200000
"93","Hombre","1","Valdivia","p141",2010,180078
"94","Hombre","1","Valdivia","p141",2012,234346
"95","Hombre","1","Valparaíso","p51",2010,249144
"96","Hombre","1","Valparaíso","p51",2012,238501
"97","Hombre","1",NA,NA,2010,172000
"98","Hombre","1",NA,NA,2012,184469
"99","Hombre","10","Antofagasta","p21",2010,1793754
"100","Hombre","10","Antofagasta","p21",2012,500000
"101","Hombre","10","Arauco","p82",2010,391783
"102","Hombre","10","Arauco","p82",2012,1707668
"103","Hombre","10","Arica","p151",2010,970000
"104","Hombre","10","Arica","p151",2012,1500000
"105","Hombre","10","Aysén","p112",2010,800783
"106","Hombre","10","Bíobío","p83",2010,700685
