"","sex","isic","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",2,2010,531073
"2","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",2,2011,320000
"3","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",2,2012,402248
"4","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",2,2013,1001356
"5","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",2,2014,479005
"6","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",2,2015,501962
"7","Hombre","Agricultura, ganadería, caza y silvicultura","Araucanía",9,2010,115931
"8","Hombre","Agricultura, ganadería, caza y silvicultura","Araucanía",9,2011,112801
"9","Hombre","Agricultura, ganadería, caza y silvicultura","Araucanía",9,2012,152821
"10","Hombre","Agricultura, ganadería, caza y silvicultura","Araucanía",9,2013,127847
"11","Hombre","Agricultura, ganadería, caza y silvicultura","Araucanía",9,2014,173437
"12","Hombre","Agricultura, ganadería, caza y silvicultura","Araucanía",9,2015,180385
"13","Hombre","Agricultura, ganadería, caza y silvicultura","Arica y Parinacota",15,2010,181177
"14","Hombre","Agricultura, ganadería, caza y silvicultura","Arica y Parinacota",15,2011,224916
"15","Hombre","Agricultura, ganadería, caza y silvicultura","Arica y Parinacota",15,2012,209778
"16","Hombre","Agricultura, ganadería, caza y silvicultura","Arica y Parinacota",15,2013,253952
"17","Hombre","Agricultura, ganadería, caza y silvicultura","Arica y Parinacota",15,2014,252606
"18","Hombre","Agricultura, ganadería, caza y silvicultura","Arica y Parinacota",15,2015,321147
"19","Hombre","Agricultura, ganadería, caza y silvicultura","Atacama",3,2010,224808
"20","Hombre","Agricultura, ganadería, caza y silvicultura","Atacama",3,2011,226566
"21","Hombre","Agricultura, ganadería, caza y silvicultura","Atacama",3,2012,251128
"22","Hombre","Agricultura, ganadería, caza y silvicultura","Atacama",3,2013,299187
"23","Hombre","Agricultura, ganadería, caza y silvicultura","Atacama",3,2014,281695
"24","Hombre","Agricultura, ganadería, caza y silvicultura","Atacama",3,2015,381965
"25","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",11,2010,250697
"26","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",11,2011,233128
"27","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",11,2012,272188
"28","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",11,2013,250697
"29","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",11,2014,327067
"30","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",11,2015,341508
"31","Hombre","Agricultura, ganadería, caza y silvicultura","Bíobío",8,2010,172336
"32","Hombre","Agricultura, ganadería, caza y silvicultura","Bíobío",8,2011,199361
"33","Hombre","Agricultura, ganadería, caza y silvicultura","Bíobío",8,2012,212866
"34","Hombre","Agricultura, ganadería, caza y silvicultura","Bíobío",8,2013,210337
"35","Hombre","Agricultura, ganadería, caza y silvicultura","Bíobío",8,2014,234223
"36","Hombre","Agricultura, ganadería, caza y silvicultura","Bíobío",8,2015,260721
"37","Hombre","Agricultura, ganadería, caza y silvicultura","Coquimbo",4,2010,175662
"38","Hombre","Agricultura, ganadería, caza y silvicultura","Coquimbo",4,2011,182880
"39","Hombre","Agricultura, ganadería, caza y silvicultura","Coquimbo",4,2012,194069
"40","Hombre","Agricultura, ganadería, caza y silvicultura","Coquimbo",4,2013,225821
"41","Hombre","Agricultura, ganadería, caza y silvicultura","Coquimbo",4,2014,254964
"42","Hombre","Agricultura, ganadería, caza y silvicultura","Coquimbo",4,2015,250000
"43","Hombre","Agricultura, ganadería, caza y silvicultura","Los Lagos",10,2010,189896
"44","Hombre","Agricultura, ganadería, caza y silvicultura","Los Lagos",10,2011,201708
