"","sex","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Antofagasta","p21",2010,450000
"2","Hombre","Antofagasta","p21",2011,490000
"3","Hombre","Antofagasta","p21",2012,523249
"4","Hombre","Antofagasta","p21",2013,529078
"5","Hombre","Antofagasta","p21",2014,527199
"6","Hombre","Antofagasta","p21",2015,639390
"7","Hombre","Arauco","p82",2010,219850
"8","Hombre","Arauco","p82",2011,212245
"9","Hombre","Arauco","p82",2012,251405
"10","Hombre","Arauco","p82",2013,259018
"11","Hombre","Arauco","p82",2014,290446
"12","Hombre","Arauco","p82",2015,318839
"13","Hombre","Arica","p151",2010,277101
"14","Hombre","Arica","p151",2011,284879
"15","Hombre","Arica","p151",2012,312718
"16","Hombre","Arica","p151",2013,340321
"17","Hombre","Arica","p151",2014,351575
"18","Hombre","Arica","p151",2015,400737
"19","Hombre","Aysén","p112",2010,378138
"20","Hombre","Aysén","p112",2011,390000
"21","Hombre","Aysén","p112",2012,452230
"22","Hombre","Aysén","p112",2013,498112
"23","Hombre","Aysén","p112",2014,505211
"24","Hombre","Aysén","p112",2015,522442
"25","Hombre","Bíobío","p83",2010,219840
"26","Hombre","Bíobío","p83",2011,250000
"27","Hombre","Bíobío","p83",2012,261173
"28","Hombre","Bíobío","p83",2013,298867
"29","Hombre","Bíobío","p83",2014,329224
"30","Hombre","Bíobío","p83",2015,344002
"31","Hombre","Cachapoal","p61",2010,280166
"32","Hombre","Cachapoal","p61",2011,270246
"33","Hombre","Cachapoal","p61",2012,299323
"34","Hombre","Cachapoal","p61",2013,332739
"35","Hombre","Cachapoal","p61",2014,350000
"36","Hombre","Cachapoal","p61",2015,385041
"37","Hombre","Capitán Prat","p113",2010,723604
"38","Hombre","Capitán Prat","p113",2011,671286
"39","Hombre","Capitán Prat","p113",2012,673470
"40","Hombre","Capitán Prat","p113",2013,515000
"41","Hombre","Capitán Prat","p113",2014,923000
"42","Hombre","Cardenal Caro","p62",2010,199863
"43","Hombre","Cardenal Caro","p62",2011,219463
"44","Hombre","Cardenal Caro","p62",2012,234463
"45","Hombre","Cardenal Caro","p62",2013,268895
"46","Hombre","Cardenal Caro","p62",2014,302206
"47","Hombre","Cardenal Caro","p62",2015,308389
"48","Hombre","Cauquenes","p72",2010,171882
"49","Hombre","Cauquenes","p72",2011,200000
