"","sex","work_day","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Completa","Algarrobo","1",2010,350343
"2","Hombre","Completa","Algarrobo","1",2011,601611
"3","Hombre","Completa","Algarrobo","1",2012,905059
"4","Hombre","Completa","Algarrobo","1",2013,526963
"5","Hombre","Completa","Algarrobo","1",2014,505211
"6","Hombre","Completa","Algarrobo","1",2015,3313446
"7","Hombre","Completa","Alto del Carmen","4",2010,200060
"8","Hombre","Completa","Alto del Carmen","4",2011,240933
"9","Hombre","Completa","Alto del Carmen","4",2012,193000
"10","Hombre","Completa","Alto del Carmen","4",2013,240000
"11","Hombre","Completa","Alto del Carmen","4",2014,300000
"12","Hombre","Completa","Alto del Carmen","4",2015,368644
"13","Hombre","Completa","Alto Hospicio","5",2010,350000
"14","Hombre","Completa","Alto Hospicio","5",2011,350582
"15","Hombre","Completa","Alto Hospicio","5",2012,351579
"16","Hombre","Completa","Alto Hospicio","5",2013,450825
"17","Hombre","Completa","Alto Hospicio","5",2014,499908
"18","Hombre","Completa","Alto Hospicio","5",2015,476250
"19","Hombre","Completa","Ancud","6",2010,291156
"20","Hombre","Completa","Ancud","6",2011,342800
"21","Hombre","Completa","Ancud","6",2012,287363
"22","Hombre","Completa","Ancud","6",2013,381026
"23","Hombre","Completa","Ancud","6",2014,451574
"24","Hombre","Completa","Ancud","6",2015,401630
"25","Hombre","Completa","Andacollo","7",2010,603000
"26","Hombre","Completa","Andacollo","7",2011,518338
"27","Hombre","Completa","Andacollo","7",2012,703157
"28","Hombre","Completa","Andacollo","7",2013,663860
"29","Hombre","Completa","Andacollo","7",2014,449916
"30","Hombre","Completa","Andacollo","7",2015,800216
"31","Hombre","Completa","Angol","8",2010,237517
"32","Hombre","Completa","Angol","8",2011,288258
"33","Hombre","Completa","Angol","8",2012,369479
"34","Hombre","Completa","Angol","8",2013,340461
"35","Hombre","Completa","Angol","8",2014,366741
"36","Hombre","Completa","Angol","8",2015,333477
"37","Hombre","Completa","Antofagasta","9",2010,500000
"38","Hombre","Completa","Antofagasta","9",2011,500201
"39","Hombre","Completa","Antofagasta","9",2012,561597
"40","Hombre","Completa","Antofagasta","9",2013,597734
"41","Hombre","Completa","Antofagasta","9",2014,547923
"42","Hombre","Completa","Antofagasta","9",2015,665435
"43","Hombre","Completa","Antuco","10",2010,439699
"44","Hombre","Completa","Antuco","10",2011,222883
"45","Hombre","Completa","Antuco","10",2012,301353
"46","Hombre","Completa","Antuco","10",2013,582659
"47","Hombre","Completa","Antuco","10",2014,349934
"48","Hombre","Completa","Antuco","10",2015,643932
"49","Hombre","Completa","Arauco","11",2010,340782
"50","Hombre","Completa","Arauco","11",2011,301630
"51","Hombre","Completa","Arauco","11",2012,307295
"52","Hombre","Completa","Arauco","11",2013,333010
"53","Hombre","Completa","Arauco","11",2014,324950
"54","Hombre","Completa","Arauco","11",2015,446291
"55","Hombre","Completa","Arica","12",2010,299795
"56","Hombre","Completa","Arica","12",2011,300000
"57","Hombre","Completa","Arica","12",2012,351579
"58","Hombre","Completa","Arica","12",2013,350474
"59","Hombre","Completa","Arica","12",2014,380944
"60","Hombre","Completa","Arica","12",2015,445440
"61","Hombre","Completa","Aysén","13",2010,424331
"62","Hombre","Completa","Aysén","13",2011,460267
"63","Hombre","Completa","Aysén","13",2012,495620
"64","Hombre","Completa","Aysén","13",2013,573979
"65","Hombre","Completa","Aysén","13",2014,515072
"66","Hombre","Completa","Aysén","13",2015,600364
"67","Hombre","Completa","Buin","14",2010,317565
"68","Hombre","Completa","Buin","14",2011,360000
"69","Hombre","Completa","Buin","14",2012,396250
"70","Hombre","Completa","Buin","14",2013,469615
"71","Hombre","Completa","Buin","14",2014,400000
"72","Hombre","Completa","Buin","14",2015,421320
"73","Hombre","Completa","Bulnes","15",2010,209689
"74","Hombre","Completa","Bulnes","15",2011,204362
"75","Hombre","Completa","Bulnes","15",2012,258639
"76","Hombre","Completa","Bulnes","15",2013,261649
"77","Hombre","Completa","Bulnes","15",2014,265700
"78","Hombre","Completa","Bulnes","15",2015,349267
"79","Hombre","Completa","Cabildo","16",2010,300000
"80","Hombre","Completa","Cabildo","16",2011,443578
"81","Hombre","Completa","Cabildo","16",2012,619083
"82","Hombre","Completa","Cabildo","16",2013,403432
"83","Hombre","Completa","Cabildo","16",2014,599887
"84","Hombre","Completa","Cabildo","16",2015,454202
"85","Hombre","Completa","Cabrero","18",2010,357956
"86","Hombre","Completa","Cabrero","18",2011,376113
"87","Hombre","Completa","Cabrero","18",2012,313279
"88","Hombre","Completa","Cabrero","18",2013,398489
"89","Hombre","Completa","Cabrero","18",2014,396226
"90","Hombre","Completa","Cabrero","18",2015,400108
"91","Hombre","Completa","Calama","19",2010,620000
"92","Hombre","Completa","Calama","19",2011,700000
"93","Hombre","Completa","Calama","19",2012,721929
"94","Hombre","Completa","Calama","19",2013,967577
"95","Hombre","Completa","Calama","19",2014,996860
"96","Hombre","Completa","Calama","19",2015,900055
"97","Hombre","Completa","Calbuco","20",2010,269815
"98","Hombre","Completa","Calbuco","20",2011,396152
"99","Hombre","Completa","Calbuco","20",2012,335566
"100","Hombre","Completa","Calbuco","20",2013,351169
"101","Hombre","Completa","Calbuco","20",2014,356653
"102","Hombre","Completa","Calbuco","20",2015,501614
"103","Hombre","Completa","Caldera","21",2010,382628
"104","Hombre","Completa","Caldera","21",2011,527234
"105","Hombre","Completa","Caldera","21",2012,510000
"106","Hombre","Completa","Caldera","21",2013,499728
"107","Hombre","Completa","Caldera","21",2014,502467
"108","Hombre","Completa","Caldera","21",2015,600571
"109","Hombre","Completa","Calera","22",2010,365715
"110","Hombre","Completa","Calera","22",2011,261759
"111","Hombre","Completa","Calera","22",2012,301124
"112","Hombre","Completa","Calera","22",2013,398489
"113","Hombre","Completa","Calera","22",2014,529461
"114","Hombre","Completa","Calera","22",2015,500071
