"","sex","work_day","year","ub_weighted_median"
"1","Hombre","Completa",2010,274468
"2","Hombre","Completa",2011,300000
"3","Hombre","Completa",2012,335657
"4","Hombre","Completa",2013,371338
"5","Hombre","Completa",2014,390000
"6","Hombre","Completa",2015,401630
"7","Hombre","Parcial",2010,120117
"8","Hombre","Parcial",2011,120447
"9","Hombre","Parcial",2012,150000
"10","Hombre","Parcial",2013,150203
"11","Hombre","Parcial",2014,161668
"12","Hombre","Parcial",2015,170693
"13","Mujer","Completa",2010,225043
"14","Mujer","Completa",2011,250000
"15","Mujer","Completa",2012,281263
"16","Mujer","Completa",2013,300000
"17","Mujer","Completa",2014,319940
"18","Mujer","Completa",2015,340634
"19","Mujer","Parcial",2010,80000
"20","Mujer","Parcial",2011,80387
"21","Mujer","Parcial",2012,90406
"22","Mujer","Parcial",2013,100000
"23","Mujer","Parcial",2014,119989
"24","Mujer","Parcial",2015,120000
