"","sex","work_day","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Completa","Antofagasta","p21",2010,487524
"2","Hombre","Completa","Antofagasta","p21",2011,499300
"3","Hombre","Completa","Antofagasta","p21",2012,552481
"4","Hombre","Completa","Antofagasta","p21",2013,551217
"5","Hombre","Completa","Antofagasta","p21",2014,550584
"6","Hombre","Completa","Antofagasta","p21",2015,652966
"7","Hombre","Completa","Arauco","p82",2010,251107
"8","Hombre","Completa","Arauco","p82",2011,244387
"9","Hombre","Completa","Arauco","p82",2012,258607
"10","Hombre","Completa","Arauco","p82",2013,289401
"11","Hombre","Completa","Arauco","p82",2014,299947
"12","Hombre","Completa","Arauco","p82",2015,331497
"13","Hombre","Completa","Arica","p151",2010,299903
"14","Hombre","Completa","Arica","p151",2011,299579
"15","Hombre","Completa","Arica","p151",2012,351783
"16","Hombre","Completa","Arica","p151",2013,350474
"17","Hombre","Completa","Arica","p151",2014,380944
"18","Hombre","Completa","Arica","p151",2015,445440
"19","Hombre","Completa","Aysén","p112",2010,399870
"20","Hombre","Completa","Aysén","p112",2011,420115
"21","Hombre","Completa","Aysén","p112",2012,483858
"22","Hombre","Completa","Aysén","p112",2013,512340
"23","Hombre","Completa","Aysén","p112",2014,525313
"24","Hombre","Completa","Aysén","p112",2015,601192
"25","Hombre","Completa","Bíobío","p83",2010,230225
"26","Hombre","Completa","Bíobío","p83",2011,267473
"27","Hombre","Completa","Bíobío","p83",2012,277946
"28","Hombre","Completa","Bíobío","p83",2013,298867
"29","Hombre","Completa","Bíobío","p83",2014,349934
"30","Hombre","Completa","Bíobío","p83",2015,389661
"31","Hombre","Completa","Cachapoal","p61",2010,299795
"32","Hombre","Completa","Cachapoal","p61",2011,282776
"33","Hombre","Completa","Cachapoal","p61",2012,301353
"34","Hombre","Completa","Cachapoal","p61",2013,348678
"35","Hombre","Completa","Cachapoal","p61",2014,353265
"36","Hombre","Completa","Cachapoal","p61",2015,399859
"37","Hombre","Completa","Capitán Prat","p113",2010,699846
"38","Hombre","Completa","Capitán Prat","p113",2011,817104
"39","Hombre","Completa","Capitán Prat","p113",2012,673470
"40","Hombre","Completa","Capitán Prat","p113",2013,515000
"41","Hombre","Completa","Capitán Prat","p113",2014,1200000
"42","Hombre","Completa","Cardenal Caro","p62",2010,200917
"43","Hombre","Completa","Cardenal Caro","p62",2011,221017
"44","Hombre","Completa","Cardenal Caro","p62",2012,251273
"45","Hombre","Completa","Cardenal Caro","p62",2013,297898
"46","Hombre","Completa","Cardenal Caro","p62",2014,321677
"47","Hombre","Completa","Cardenal Caro","p62",2015,319131
"48","Hombre","Completa","Cauquenes","p72",2010,172071
"49","Hombre","Completa","Cauquenes","p72",2011,200000
"50","Hombre","Completa","Cauquenes","p72",2012,221237
"51","Hombre","Completa","Cauquenes","p72",2013,250218
"52","Hombre","Completa","Cauquenes","p72",2014,257762
"53","Hombre","Completa","Cauquenes","p72",2015,262795
"54","Hombre","Completa","Cautín","p91",2010,210561
"55","Hombre","Completa","Cautín","p91",2011,250165
"56","Hombre","Completa","Cautín","p91",2012,300000
"57","Hombre","Completa","Cautín","p91",2013,299441
"58","Hombre","Completa","Cautín","p91",2014,334220
"59","Hombre","Completa","Cautín","p91",2015,350095
"60","Hombre","Completa","Chacabuco","p133",2010,300000
"61","Hombre","Completa","Chacabuco","p133",2011,308090
"62","Hombre","Completa","Chacabuco","p133",2012,336436
"63","Hombre","Completa","Chacabuco","p133",2013,369053
"64","Hombre","Completa","Chacabuco","p133",2014,395896
"65","Hombre","Completa","Chacabuco","p133",2015,408180
"66","Hombre","Completa","Chañaral","p32",2010,394986
