"","sex","work_day","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Completa","Antofagasta","2",2010,498889
"2","Hombre","Completa","Antofagasta","2",2011,501269
"3","Hombre","Completa","Antofagasta","2",2012,580000
"4","Hombre","Completa","Antofagasta","2",2013,600000
"5","Hombre","Completa","Antofagasta","2",2014,600000
"6","Hombre","Completa","Antofagasta","2",2015,679574
"7","Hombre","Completa","Araucanía","9",2010,202861
"8","Hombre","Completa","Araucanía","9",2011,250000
"9","Hombre","Completa","Araucanía","9",2012,295894
"10","Hombre","Completa","Araucanía","9",2013,298867
"11","Hombre","Completa","Araucanía","9",2014,317000
"12","Hombre","Completa","Araucanía","9",2015,350000
"13","Hombre","Completa","Arica y Parinacota","15",2010,293669
"14","Hombre","Completa","Arica y Parinacota","15",2011,300000
"15","Hombre","Completa","Arica y Parinacota","15",2012,350000
"16","Hombre","Completa","Arica y Parinacota","15",2013,353716
"17","Hombre","Completa","Arica y Parinacota","15",2014,376024
"18","Hombre","Completa","Arica y Parinacota","15",2015,440103
"19","Hombre","Completa","Atacama","3",2010,349761
"20","Hombre","Completa","Atacama","3",2011,380645
"21","Hombre","Completa","Atacama","3",2012,405000
"22","Hombre","Completa","Atacama","3",2013,475676
"23","Hombre","Completa","Atacama","3",2014,499906
"24","Hombre","Completa","Atacama","3",2015,508265
"25","Hombre","Completa","Aysén","11",2010,355638
"26","Hombre","Completa","Aysén","11",2011,399468
"27","Hombre","Completa","Aysén","11",2012,402037
"28","Hombre","Completa","Aysén","11",2013,401969
"29","Hombre","Completa","Aysén","11",2014,449837
"30","Hombre","Completa","Aysén","11",2015,558436
"31","Hombre","Completa","Bíobío","8",2010,246889
"32","Hombre","Completa","Bíobío","8",2011,272783
"33","Hombre","Completa","Bíobío","8",2012,290694
"34","Hombre","Completa","Bíobío","8",2013,306567
"35","Hombre","Completa","Bíobío","8",2014,341020
"36","Hombre","Completa","Bíobío","8",2015,392940
"37","Hombre","Completa","Coquimbo","4",2010,270051
"38","Hombre","Completa","Coquimbo","4",2011,299041
"39","Hombre","Completa","Coquimbo","4",2012,370349
"40","Hombre","Completa","Coquimbo","4",2013,374735
"41","Hombre","Completa","Coquimbo","4",2014,400000
"42","Hombre","Completa","Coquimbo","4",2015,403220
"43","Hombre","Completa","Los Lagos","10",2010,249829
"44","Hombre","Completa","Los Lagos","10",2011,303197
"45","Hombre","Completa","Los Lagos","10",2012,308072
"46","Hombre","Completa","Los Lagos","10",2013,338716
"47","Hombre","Completa","Los Lagos","10",2014,350000
"48","Hombre","Completa","Los Lagos","10",2015,400000
"49","Hombre","Completa","Los Ríos","14",2010,228421
"50","Hombre","Completa","Los Ríos","14",2011,265313
"51","Hombre","Completa","Los Ríos","14",2012,300000
"52","Hombre","Completa","Los Ríos","14",2013,330447
"53","Hombre","Completa","Los Ríos","14",2014,343544
"54","Hombre","Completa","Los Ríos","14",2015,400108
"55","Hombre","Completa","Magallanes","12",2010,449847
"56","Hombre","Completa","Magallanes","12",2011,498402
"57","Hombre","Completa","Magallanes","12",2012,506328
"58","Hombre","Completa","Magallanes","12",2013,531881
"59","Hombre","Completa","Magallanes","12",2014,557594
"60","Hombre","Completa","Magallanes","12",2015,605819
"61","Hombre","Completa","Maule","7",2010,200000
"62","Hombre","Completa","Maule","7",2011,207742
"63","Hombre","Completa","Maule","7",2012,250063
"64","Hombre","Completa","Maule","7",2013,287933
"65","Hombre","Completa","Maule","7",2014,299944
"66","Hombre","Completa","Maule","7",2015,320000
"67","Hombre","Completa","Metropolitana","13",2010,300294
"68","Hombre","Completa","Metropolitana","13",2011,336000
"69","Hombre","Completa","Metropolitana","13",2012,389821
"70","Hombre","Completa","Metropolitana","13",2013,410556
"71","Hombre","Completa","Metropolitana","13",2014,404169
"72","Hombre","Completa","Metropolitana","13",2015,450122
"73","Hombre","Completa","O'Higgins","6",2010,250501
"74","Hombre","Completa","O'Higgins","6",2011,257308
"75","Hombre","Completa","O'Higgins","6",2012,284742
"76","Hombre","Completa","O'Higgins","6",2013,308829
"77","Hombre","Completa","O'Higgins","6",2014,324287
"78","Hombre","Completa","O'Higgins","6",2015,350794
"79","Hombre","Completa","Tarapacá","1",2010,372279
"80","Hombre","Completa","Tarapacá","1",2011,400000
"81","Hombre","Completa","Tarapacá","1",2012,418620
"82","Hombre","Completa","Tarapacá","1",2013,498094
"83","Hombre","Completa","Tarapacá","1",2014,500000
"84","Hombre","Completa","Tarapacá","1",2015,500135
"85","Hombre","Completa","Valparaíso","5",2010,253308
"86","Hombre","Completa","Valparaíso","5",2011,300000
"87","Hombre","Completa","Valparaíso","5",2012,311965
"88","Hombre","Completa","Valparaíso","5",2013,379174
"89","Hombre","Completa","Valparaíso","5",2014,404169
"90","Hombre","Completa","Valparaíso","5",2015,400108
"91","Hombre","Completa",NA,NA,2010,224755
"92","Hombre","Completa",NA,NA,2011,279284
"93","Hombre","Completa",NA,NA,2012,397812
"94","Hombre","Parcial","Antofagasta","2",2010,274126
"95","Hombre","Parcial","Antofagasta","2",2011,300854
"96","Hombre","Parcial","Antofagasta","2",2012,301353
