"","sex","company_size","year","weighted_mean"
"1","Hombre","Menos de 5",2010,295115.517484348
"2","Hombre","Menos de 5",2011,312184.318372282
"3","Hombre","Menos de 5",2012,334276.36269284
"4","Hombre","Menos de 5",2013,357397.659269362
"5","Hombre","Menos de 5",2014,374636.035366468
"6","Hombre","Menos de 5",2015,389810.170965313
"7","Hombre","De 5 a 10 personas",2010,438053.216049938
"8","Hombre","De 5 a 10 personas",2011,499649.458873957
"9","Hombre","De 5 a 10 personas",2012,514217.843957936
"10","Hombre","De 5 a 10 personas",2013,500894.605099845
"11","Hombre","De 5 a 10 personas",2014,515790.794714632
"12","Hombre","De 5 a 10 personas",2015,633502.525320474
"13","Hombre","Entre 11 y 49",2010,381070.797950222
"14","Hombre","Entre 11 y 49",2011,418204.262807153
"15","Hombre","Entre 11 y 49",2012,453707.020290069
"16","Hombre","Entre 11 y 49",2013,556065.158664567
"17","Hombre","Entre 11 y 49",2014,508824.231721146
"18","Hombre","Entre 11 y 49",2015,534119.923859206
"19","Hombre","Entre 50 y 199",2010,444530.715950317
"20","Hombre","Entre 50 y 199",2011,460141.316260901
"21","Hombre","Entre 50 y 199",2012,503763.980036516
"22","Hombre","Entre 50 y 199",2013,539637.318254337
"23","Hombre","Entre 50 y 199",2014,532717.631767893
"24","Hombre","Entre 50 y 199",2015,652334.805088724
"25","Hombre","200 y más personas",2010,560294.885533161
"26","Hombre","200 y más personas",2011,623482.152326531
"27","Hombre","200 y más personas",2012,680627.618021436
"28","Hombre","200 y más personas",2013,706327.416668965
"29","Hombre","200 y más personas",2014,735971.293752406
"30","Hombre","200 y más personas",2015,778820.980565099
"31","Hombre",NA,2010,190436.689374177
"32","Hombre",NA,2011,191423.57823132
"33","Hombre",NA,2012,181358.773058265
"34","Hombre",NA,2013,219143.329679274
"35","Hombre",NA,2014,242944.862734194
"36","Hombre",NA,2015,307643.748106754
"37","Mujer","Menos de 5",2010,182072.342368953
"38","Mujer","Menos de 5",2011,194312.147355741
"39","Mujer","Menos de 5",2012,204059.379175415
"40","Mujer","Menos de 5",2013,204269.137742871
"41","Mujer","Menos de 5",2014,237924.966186355
"42","Mujer","Menos de 5",2015,233378.275553805
"43","Mujer","De 5 a 10 personas",2010,322959.761940376
"44","Mujer","De 5 a 10 personas",2011,325026.088412469
"45","Mujer","De 5 a 10 personas",2012,342432.351545254
"46","Mujer","De 5 a 10 personas",2013,355867.345562733
"47","Mujer","De 5 a 10 personas",2014,422238.916496393
"48","Mujer","De 5 a 10 personas",2015,415014.820643172
"49","Mujer","Entre 11 y 49",2010,333004.415626334
"50","Mujer","Entre 11 y 49",2011,324596.224547625
"51","Mujer","Entre 11 y 49",2012,372873.73233999
"52","Mujer","Entre 11 y 49",2013,403764.16617891
"53","Mujer","Entre 11 y 49",2014,430000.486075471
"54","Mujer","Entre 11 y 49",2015,429369.851613432
"55","Mujer","Entre 50 y 199",2010,342662.101857794
"56","Mujer","Entre 50 y 199",2011,397280.70275432
"57","Mujer","Entre 50 y 199",2012,435635.472631651
"58","Mujer","Entre 50 y 199",2013,428854.258638587
"59","Mujer","Entre 50 y 199",2014,446764.119271507
"60","Mujer","Entre 50 y 199",2015,502132.627552616
"61","Mujer","200 y más personas",2010,399110.434214213
"62","Mujer","200 y más personas",2011,432141.28448714
"63","Mujer","200 y más personas",2012,488499.950154969
"64","Mujer","200 y más personas",2013,514855.984643534
"65","Mujer","200 y más personas",2014,533207.864968403
"66","Mujer","200 y más personas",2015,572944.501756381
"67","Mujer",NA,2010,140784.690308264
"68","Mujer",NA,2011,150277.248552965
"69","Mujer",NA,2012,162456.195754869
"70","Mujer",NA,2013,188050.595830111
"71","Mujer",NA,2014,194110.090884337
"72","Mujer",NA,2015,219889.995241848
