"","sex","company_size","geography_name","geography_id","year","weighted_mean"
"1","Hombre","Menos de 5","Antofagasta","p21",2010,360671.710464981
"2","Hombre","Menos de 5","Antofagasta","p21",2011,380660.344706666
"3","Hombre","Menos de 5","Antofagasta","p21",2012,410301.547945514
"4","Hombre","Menos de 5","Antofagasta","p21",2013,423368.783985559
"5","Hombre","Menos de 5","Antofagasta","p21",2014,500353.63852435
"6","Hombre","Menos de 5","Antofagasta","p21",2015,664157.563942861
"7","Hombre","Menos de 5","Arauco","p82",2010,146960.2940343
"8","Hombre","Menos de 5","Arauco","p82",2011,154840.540839629
"9","Hombre","Menos de 5","Arauco","p82",2012,266748.575352013
"10","Hombre","Menos de 5","Arauco","p82",2013,213870.909953957
"11","Hombre","Menos de 5","Arauco","p82",2014,190798.271166328
"12","Hombre","Menos de 5","Arauco","p82",2015,218978.770754548
"13","Hombre","Menos de 5","Arica","p151",2010,237829.994508558
"14","Hombre","Menos de 5","Arica","p151",2011,223285.159838591
"15","Hombre","Menos de 5","Arica","p151",2012,281558.208908216
"16","Hombre","Menos de 5","Arica","p151",2013,312925.669663133
"17","Hombre","Menos de 5","Arica","p151",2014,315316.676239217
"18","Hombre","Menos de 5","Arica","p151",2015,347747.341653659
"19","Hombre","Menos de 5","Aysén","p112",2010,445677.755849968
"20","Hombre","Menos de 5","Aysén","p112",2011,342065.120954739
"21","Hombre","Menos de 5","Aysén","p112",2012,512259.942892558
"22","Hombre","Menos de 5","Aysén","p112",2013,353446.625085744
"23","Hombre","Menos de 5","Aysén","p112",2014,374058.052900076
"24","Hombre","Menos de 5","Aysén","p112",2015,364325.688691284
"25","Hombre","Menos de 5","Bíobío","p83",2010,300322.366710389
"26","Hombre","Menos de 5","Bíobío","p83",2011,177424.349828169
"27","Hombre","Menos de 5","Bíobío","p83",2012,249498.307835749
"28","Hombre","Menos de 5","Bíobío","p83",2013,229445.370091017
"29","Hombre","Menos de 5","Bíobío","p83",2014,273014.251484017
"30","Hombre","Menos de 5","Bíobío","p83",2015,360166.778707998
"31","Hombre","Menos de 5","Cachapoal","p61",2010,302635.589742239
"32","Hombre","Menos de 5","Cachapoal","p61",2011,281787.301492041
"33","Hombre","Menos de 5","Cachapoal","p61",2012,304114.483227395
"34","Hombre","Menos de 5","Cachapoal","p61",2013,321358.723898743
"35","Hombre","Menos de 5","Cachapoal","p61",2014,390096.676942102
"36","Hombre","Menos de 5","Cachapoal","p61",2015,411724.409121037
"37","Hombre","Menos de 5","Capitán Prat","p113",2010,322716.6767395
"38","Hombre","Menos de 5","Capitán Prat","p113",2011,580439.46544728
"39","Hombre","Menos de 5","Capitán Prat","p113",2012,401823.003572525
"40","Hombre","Menos de 5","Capitán Prat","p113",2013,316666.666666667
"41","Hombre","Menos de 5","Capitán Prat","p113",2014,350000
"42","Hombre","Menos de 5","Cardenal Caro","p62",2010,157600.864168531
"43","Hombre","Menos de 5","Cardenal Caro","p62",2011,231370.994205509
"44","Hombre","Menos de 5","Cardenal Caro","p62",2012,266208.194632954
"45","Hombre","Menos de 5","Cardenal Caro","p62",2013,272418.674965833
"46","Hombre","Menos de 5","Cardenal Caro","p62",2014,270757.204373276
"47","Hombre","Menos de 5","Cardenal Caro","p62",2015,317531.434918233
"48","Hombre","Menos de 5","Cauquenes","p72",2010,168519.059145767
"49","Hombre","Menos de 5","Cauquenes","p72",2011,220828.798844717
"50","Hombre","Menos de 5","Cauquenes","p72",2012,202625.450973288
"51","Hombre","Menos de 5","Cauquenes","p72",2013,243460.55473838
"52","Hombre","Menos de 5","Cauquenes","p72",2014,211695.553978504
"53","Hombre","Menos de 5","Cauquenes","p72",2015,224056.307529211
"54","Hombre","Menos de 5","Cautín","p91",2010,193057.539322694
"55","Hombre","Menos de 5","Cautín","p91",2011,223478.14459186
"56","Hombre","Menos de 5","Cautín","p91",2012,179876.42764226
"57","Hombre","Menos de 5","Cautín","p91",2013,228000.505595544
"58","Hombre","Menos de 5","Cautín","p91",2014,290205.792885335
"59","Hombre","Menos de 5","Cautín","p91",2015,238192.626996346
"60","Hombre","Menos de 5","Chacabuco","p133",2010,264157.090719148
