"","sex","geography_name","geography_id","year","weighted_mean"
"1","Hombre","Algarrobo","1",2010,251276.200930988
"2","Hombre","Algarrobo","1",2011,413618.808567096
"3","Hombre","Algarrobo","1",2012,530666.245853297
"4","Hombre","Algarrobo","1",2013,398873.32429583
"5","Hombre","Algarrobo","1",2014,497633.12488156
"6","Hombre","Algarrobo","1",2015,1274358.94490222
"7","Hombre","Alto del Carmen","4",2010,250150.467068921
"8","Hombre","Alto del Carmen","4",2011,240274.541211185
"9","Hombre","Alto del Carmen","4",2012,190429.069509279
"10","Hombre","Alto del Carmen","4",2013,241634.995091165
"11","Hombre","Alto del Carmen","4",2014,255236.696852813
"12","Hombre","Alto del Carmen","4",2015,333639.471279604
"13","Hombre","Alto Hospicio","5",2010,342203.712478834
"14","Hombre","Alto Hospicio","5",2011,368243.126824134
"15","Hombre","Alto Hospicio","5",2012,356511.76070136
"16","Hombre","Alto Hospicio","5",2013,500471.535931881
"17","Hombre","Alto Hospicio","5",2014,459287.891387051
"18","Hombre","Alto Hospicio","5",2015,473073.526122821
"19","Hombre","Ancud","6",2010,287015.494680215
"20","Hombre","Ancud","6",2011,205853.22513328
"21","Hombre","Ancud","6",2012,245282.247232149
"22","Hombre","Ancud","6",2013,219532.117456606
"23","Hombre","Ancud","6",2014,407421.294854742
"24","Hombre","Ancud","6",2015,415332.675811872
"25","Hombre","Andacollo","7",2010,450667.823109287
"26","Hombre","Andacollo","7",2011,348247.53089733
"27","Hombre","Andacollo","7",2012,610405.996916854
"28","Hombre","Andacollo","7",2013,414600.592881445
"29","Hombre","Andacollo","7",2014,444254.367708784
"30","Hombre","Andacollo","7",2015,464516.684394658
"31","Hombre","Angol","8",2010,328675.045433704
"32","Hombre","Angol","8",2011,452495.447114675
"33","Hombre","Angol","8",2012,467031.056535714
"34","Hombre","Angol","8",2013,362050.750552728
"35","Hombre","Angol","8",2014,383104.153745036
"36","Hombre","Angol","8",2015,383768.17819316
"37","Hombre","Antofagasta","9",2010,556773.061846583
"38","Hombre","Antofagasta","9",2011,578997.28830793
"39","Hombre","Antofagasta","9",2012,658178.046760533
"40","Hombre","Antofagasta","9",2013,679515.657725745
"41","Hombre","Antofagasta","9",2014,693302.703300208
"42","Hombre","Antofagasta","9",2015,801899.777215922
"43","Hombre","Antuco","10",2010,209398.438593063
"44","Hombre","Antuco","10",2011,162507.737683041
"45","Hombre","Antuco","10",2012,246329.294795859
"46","Hombre","Antuco","10",2013,322665.925037468
"47","Hombre","Antuco","10",2014,311831.067972985
"48","Hombre","Antuco","10",2015,483947.410135672
"49","Hombre","Arauco","11",2010,287951.102298873
"50","Hombre","Arauco","11",2011,292151.164510923
"51","Hombre","Arauco","11",2012,335421.136894329
"52","Hombre","Arauco","11",2013,308889.026318083
"53","Hombre","Arauco","11",2014,344447.227170146
"54","Hombre","Arauco","11",2015,319620.045652668
"55","Hombre","Arica","12",2010,357564.907809961
"56","Hombre","Arica","12",2011,372070.43521014
"57","Hombre","Arica","12",2012,479116.911014535
"58","Hombre","Arica","12",2013,400570.349189182
"59","Hombre","Arica","12",2014,427456.587330667
"60","Hombre","Arica","12",2015,485925.89642523
"61","Hombre","Aysén","13",2010,583137.736628521
"62","Hombre","Aysén","13",2011,551191.461041426
"63","Hombre","Aysén","13",2012,606521.042328246
"64","Hombre","Aysén","13",2013,626075.207613011
"65","Hombre","Aysén","13",2014,595270.26891651
"66","Hombre","Aysén","13",2015,682933.776415255
"67","Hombre","Buin","14",2010,503268.623920334
"68","Hombre","Buin","14",2011,477884.074503348
"69","Hombre","Buin","14",2012,739377.077787155
"70","Hombre","Buin","14",2013,718133.34273625
"71","Hombre","Buin","14",2014,529922.996678801
"72","Hombre","Buin","14",2015,607392.917899097
"73","Hombre","Bulnes","15",2010,192600.694222069
"74","Hombre","Bulnes","15",2011,268181.11340933
"75","Hombre","Bulnes","15",2012,292432.703894358
"76","Hombre","Bulnes","15",2013,289362.07908366
"77","Hombre","Bulnes","15",2014,299804.447677624
"78","Hombre","Bulnes","15",2015,350023.631426354
"79","Hombre","Cabildo","16",2010,308135.144483064
"80","Hombre","Cabildo","16",2011,404396.651208097
"81","Hombre","Cabildo","16",2012,554611.869861864
"82","Hombre","Cabildo","16",2013,588800.778930974
"83","Hombre","Cabildo","16",2014,463379.017383104
"84","Hombre","Cabildo","16",2015,422779.252615454
"85","Hombre","Cabrero","18",2010,305943.871172631
"86","Hombre","Cabrero","18",2011,400214.221630168
"87","Hombre","Cabrero","18",2012,383005.275243399
"88","Hombre","Cabrero","18",2013,309588.028841511
"89","Hombre","Cabrero","18",2014,347942.132932306
"90","Hombre","Cabrero","18",2015,326835.823792029
"91","Hombre","Calama","19",2010,735500.491533876
"92","Hombre","Calama","19",2011,835693.28156717
"93","Hombre","Calama","19",2012,804061.931165534
"94","Hombre","Calama","19",2013,1077359.81027356
"95","Hombre","Calama","19",2014,1007919.28877344
"96","Hombre","Calama","19",2015,987808.495689964
"97","Hombre","Calbuco","20",2010,255036.397657811
"98","Hombre","Calbuco","20",2011,354216.380980173
"99","Hombre","Calbuco","20",2012,311487.54309205
"100","Hombre","Calbuco","20",2013,308447.274529385
"101","Hombre","Calbuco","20",2014,995645.16499913
"102","Hombre","Calbuco","20",2015,462595.907123418
"103","Hombre","Caldera","21",2010,313776.310728409
"104","Hombre","Caldera","21",2011,376185.939374777
"105","Hombre","Caldera","21",2012,458369.100213215
"106","Hombre","Caldera","21",2013,448213.286290657
"107","Hombre","Caldera","21",2014,512371.02606484
"108","Hombre","Caldera","21",2015,463549.197095496
"109","Hombre","Calera","22",2010,384132.465260357
"110","Hombre","Calera","22",2011,279869.740312553
"111","Hombre","Calera","22",2012,408443.847760751
"112","Hombre","Calera","22",2013,497680.287363639
"113","Hombre","Calera","22",2014,535519.852228204
"114","Hombre","Calera","22",2015,455561.106873774
"115","Hombre","Calera de Tango","23",2010,685351.892382425
"116","Hombre","Calera de Tango","23",2011,1005000.67917614
"117","Hombre","Calera de Tango","23",2012,695116.02034443
"118","Hombre","Calera de Tango","23",2013,551190.613345385
"119","Hombre","Calera de Tango","23",2014,631874.983080211
"120","Hombre","Calera de Tango","23",2015,757857.135354561
"121","Hombre","Calle Larga","24",2010,224507.282143133
"122","Hombre","Calle Larga","24",2011,355143.513639751
"123","Hombre","Calle Larga","24",2012,370387.925320282
"124","Hombre","Calle Larga","24",2013,578763.683002579
"125","Hombre","Calle Larga","24",2014,364784.065635191
"126","Hombre","Calle Larga","24",2015,416582.692276774
"127","Hombre","Camarones","25",2010,209934.766839272
"128","Hombre","Camarones","25",2011,154157.696247766
"129","Hombre","Camarones","25",2012,218292.623664846
"130","Hombre","Camarones","25",2013,106572.890000646
"131","Hombre","Canela","27",2010,477834.328560047
"132","Hombre","Canela","27",2011,401804.564123594
"133","Hombre","Canela","27",2012,343625.412898255
"134","Hombre","Canela","27",2013,406069.74000053
"135","Hombre","Canela","27",2014,410568.542618272
"136","Hombre","Canela","27",2015,695785.00953544
"137","Hombre","Cañete","28",2010,257137.83651381
"138","Hombre","Cañete","28",2011,238019.06073415
"139","Hombre","Cañete","28",2012,308844.679036508
"140","Hombre","Cañete","28",2013,275818.063441832
"141","Hombre","Cañete","28",2014,267615.358192618
"142","Hombre","Cañete","28",2015,285295.8570395
"143","Hombre","Carahue","29",2010,117763.152372188
"144","Hombre","Carahue","29",2011,134324.67743736
"145","Hombre","Carahue","29",2012,118467.274489334
"146","Hombre","Carahue","29",2013,142286.163874556
"147","Hombre","Carahue","29",2014,169785.900224997
"148","Hombre","Carahue","29",2015,188947.537289772
"149","Hombre","Cartagena","30",2010,213389.988551026
"150","Hombre","Cartagena","30",2011,311002.726332612
"151","Hombre","Cartagena","30",2012,355819.873997709
"152","Hombre","Cartagena","30",2013,258044.076804731
"153","Hombre","Cartagena","30",2014,213793.237077318
"154","Hombre","Cartagena","30",2015,383703.806602924
"155","Hombre","Casablanca","31",2010,389900.244828352
"156","Hombre","Casablanca","31",2011,338115.784525712
"157","Hombre","Casablanca","31",2012,252993.09646539
"158","Hombre","Casablanca","31",2014,573762.082660181
"159","Hombre","Casablanca","31",2015,785649.764578055
"160","Hombre","Castro","32",2010,258546.553108578
"161","Hombre","Castro","32",2011,316497.091300727
"162","Hombre","Castro","32",2012,454207.524627627
"163","Hombre","Castro","32",2013,407147.781372014
"164","Hombre","Castro","32",2014,471613.689712629
"165","Hombre","Castro","32",2015,463374.701421616
"166","Hombre","Catemu","33",2010,291378.951736498
"167","Hombre","Catemu","33",2011,317158.721852066
"168","Hombre","Catemu","33",2012,418276.934043789
"169","Hombre","Catemu","33",2013,361565.967142664
"170","Hombre","Catemu","33",2014,434419.58162567
"171","Hombre","Catemu","33",2015,543390.025359863
"172","Hombre","Cauquenes","34",2010,205163.536430645
"173","Hombre","Cauquenes","34",2011,227045.267372504
"174","Hombre","Cauquenes","34",2012,248808.455522223
"175","Hombre","Cauquenes","34",2013,278568.005949328
"176","Hombre","Cauquenes","34",2014,284755.352887713
"177","Hombre","Cauquenes","34",2015,323870.625756232
"178","Hombre","Cerrillos","35",2010,267904.520755026
"179","Hombre","Cerrillos","35",2011,450897.559695576
"180","Hombre","Cerrillos","35",2012,499592.457027051
"181","Hombre","Cerrillos","35",2013,550607.00661233
"182","Hombre","Cerrillos","35",2014,435378.854131277
"183","Hombre","Cerrillos","35",2015,558190.748243831
"184","Hombre","Cerro Navia","36",2010,346544.734580386
"185","Hombre","Cerro Navia","36",2011,333782.192888755
"186","Hombre","Cerro Navia","36",2012,311354.567578274
"187","Hombre","Cerro Navia","36",2013,325320.266275986
"188","Hombre","Cerro Navia","36",2014,372939.122795193
"189","Hombre","Cerro Navia","36",2015,384702.366720975
"190","Hombre","Chañaral","39",2010,371619.738998127
"191","Hombre","Chañaral","39",2011,508931.984049666
"192","Hombre","Chañaral","39",2012,544641.986330699
"193","Hombre","Chañaral","39",2013,882869.621904061
"194","Hombre","Chañaral","39",2014,529695.67848486
"195","Hombre","Chañaral","39",2015,781885.114577989
"196","Hombre","Chanco","38",2010,153868.716868953
"197","Hombre","Chanco","38",2011,278980.712907704
"198","Hombre","Chanco","38",2012,259508.141017182
"199","Hombre","Chanco","38",2013,308170.102555807
"200","Hombre","Chanco","38",2014,299250.320041624
"201","Hombre","Chanco","38",2015,318306.689894736
"202","Hombre","Chépica","40",2010,278617.947061025
"203","Hombre","Chépica","40",2011,226921.314365501
"204","Hombre","Chépica","40",2012,221561.06708453
"205","Hombre","Chépica","40",2013,220232.582347587
"206","Hombre","Chépica","40",2014,293815.881684412
"207","Hombre","Chépica","40",2015,300874.073628595
"208","Hombre","Chiguayante","41",2010,381895.182656223
"209","Hombre","Chiguayante","41",2011,378147.281169242
"210","Hombre","Chiguayante","41",2012,400378.469820453
"211","Hombre","Chiguayante","41",2013,545266.748932466
"212","Hombre","Chiguayante","41",2014,505516.984250251
"213","Hombre","Chiguayante","41",2015,551816.380902079
"214","Hombre","Chile Chico","42",2010,264942.617561352
"215","Hombre","Chile Chico","42",2011,415699.497725549
"216","Hombre","Chile Chico","42",2012,649343.899741982
"217","Hombre","Chile Chico","42",2013,714405.567590418
"218","Hombre","Chile Chico","42",2014,489144.048420232
"219","Hombre","Chile Chico","42",2015,542285.36492373
"220","Hombre","Chillán","43",2010,323229.445759981
"221","Hombre","Chillán","43",2011,491934.361845338
"222","Hombre","Chillán","43",2012,554201.108080943
"223","Hombre","Chillán","43",2013,495159.489387913
"224","Hombre","Chillán","43",2014,533039.470289969
"225","Hombre","Chillán","43",2015,646171.930712232
"226","Hombre","Chillán Viejo","44",2010,311338.867584896
"227","Hombre","Chillán Viejo","44",2011,289394.519560266
"228","Hombre","Chillán Viejo","44",2012,336281.944043886
"229","Hombre","Chillán Viejo","44",2013,374754.30995546
"230","Hombre","Chillán Viejo","44",2014,404810.733725137
"231","Hombre","Chillán Viejo","44",2015,463968.706065917
"232","Hombre","Chimbarongo","45",2010,257538.073035741
"233","Hombre","Chimbarongo","45",2011,322542.678819744
"234","Hombre","Chimbarongo","45",2012,253578.890363304
"235","Hombre","Chimbarongo","45",2013,308513.991562433
"236","Hombre","Chimbarongo","45",2014,357706.4783657
"237","Hombre","Chimbarongo","45",2015,338309.424629586
"238","Hombre","Chonchi","47",2010,202556.210667129
"239","Hombre","Chonchi","47",2011,213773.915027833
"240","Hombre","Chonchi","47",2012,180270.219666181
"241","Hombre","Chonchi","47",2013,258187.813593378
"242","Hombre","Chonchi","47",2014,288990.326239024
"243","Hombre","Chonchi","47",2015,382251.526137066
"244","Hombre","Cisnes","48",2010,450702.429289382
"245","Hombre","Cisnes","48",2011,457969.506487541
"246","Hombre","Cisnes","48",2012,530939.065695004
"247","Hombre","Cisnes","48",2013,555262.970488351
"248","Hombre","Cisnes","48",2014,703082.731300693
"249","Hombre","Cisnes","48",2015,706401.930752133
"250","Hombre","Cochrane","51",2010,681944.779293467
"251","Hombre","Cochrane","51",2011,671044.95891402
"252","Hombre","Cochrane","51",2012,518182.345152127
"253","Hombre","Cochrane","51",2013,503125
"254","Hombre","Cochrane","51",2014,532555.555555555
"255","Hombre","Codegua","52",2010,316832.536587006
"256","Hombre","Codegua","52",2011,406477.975654203
"257","Hombre","Codegua","52",2012,333447.704447695
"258","Hombre","Codegua","52",2013,407612.630226237
"259","Hombre","Codegua","52",2014,432859.431034084
"260","Hombre","Codegua","52",2015,360453.319879893
"261","Hombre","Coelemu","53",2010,289893.631845831
"262","Hombre","Coelemu","53",2011,307303.870825608
"263","Hombre","Coelemu","53",2012,427851.697991929
"264","Hombre","Coelemu","53",2013,276034.541436931
"265","Hombre","Coelemu","53",2014,282435.611717936
"266","Hombre","Coelemu","53",2015,510728.335514228
