"","sex","icse","geography_name","geography_id","year","weighted_mean"
"1","Hombre","Asalariado Sector Privado","Algarrobo","1",2010,350342.53278528
"2","Hombre","Asalariado Sector Privado","Algarrobo","1",2011,602899.924184988
"3","Hombre","Asalariado Sector Privado","Algarrobo","1",2012,573539.22472048
"4","Hombre","Asalariado Sector Privado","Algarrobo","1",2013,365494.803434254
"5","Hombre","Asalariado Sector Privado","Algarrobo","1",2014,367120.207188427
"6","Hombre","Asalariado Sector Privado","Algarrobo","1",2015,594663.188156468
"7","Hombre","Asalariado Sector Privado","Alto del Carmen","4",2010,224600.807991958
"8","Hombre","Asalariado Sector Privado","Alto del Carmen","4",2011,222828.224794397
"9","Hombre","Asalariado Sector Privado","Alto del Carmen","4",2012,201486.498289668
"10","Hombre","Asalariado Sector Privado","Alto del Carmen","4",2013,232844.21780963
"11","Hombre","Asalariado Sector Privado","Alto del Carmen","4",2014,291841.771414841
"12","Hombre","Asalariado Sector Privado","Alto del Carmen","4",2015,380385.272311063
"13","Hombre","Asalariado Sector Privado","Alto Hospicio","5",2010,406513.207422668
"14","Hombre","Asalariado Sector Privado","Alto Hospicio","5",2011,407455.897165326
"15","Hombre","Asalariado Sector Privado","Alto Hospicio","5",2012,396184.882788442
"16","Hombre","Asalariado Sector Privado","Alto Hospicio","5",2013,436776.572352315
"17","Hombre","Asalariado Sector Privado","Alto Hospicio","5",2014,480956.48394867
"18","Hombre","Asalariado Sector Privado","Alto Hospicio","5",2015,462544.271529162
"19","Hombre","Asalariado Sector Privado","Ancud","6",2010,430689.89385406
"20","Hombre","Asalariado Sector Privado","Ancud","6",2011,242105.172644085
"21","Hombre","Asalariado Sector Privado","Ancud","6",2012,166970.446954509
"22","Hombre","Asalariado Sector Privado","Ancud","6",2013,272877.574104779
"23","Hombre","Asalariado Sector Privado","Ancud","6",2014,426796.772168086
"24","Hombre","Asalariado Sector Privado","Ancud","6",2015,478209.772061544
"25","Hombre","Asalariado Sector Privado","Andacollo","7",2010,472263.751129031
"26","Hombre","Asalariado Sector Privado","Andacollo","7",2011,398369.737936583
"27","Hombre","Asalariado Sector Privado","Andacollo","7",2012,562884.599823182
"28","Hombre","Asalariado Sector Privado","Andacollo","7",2013,460966.227000324
"29","Hombre","Asalariado Sector Privado","Andacollo","7",2014,512048.389170123
"30","Hombre","Asalariado Sector Privado","Andacollo","7",2015,554228.472941923
"31","Hombre","Asalariado Sector Privado","Angol","8",2010,247949.426727111
"32","Hombre","Asalariado Sector Privado","Angol","8",2011,386390.408447083
"33","Hombre","Asalariado Sector Privado","Angol","8",2012,417936.752943348
"34","Hombre","Asalariado Sector Privado","Angol","8",2013,376945.096035931
"35","Hombre","Asalariado Sector Privado","Angol","8",2014,378801.671751357
"36","Hombre","Asalariado Sector Privado","Angol","8",2015,375959.09135371
"37","Hombre","Asalariado Sector Privado","Antofagasta","9",2010,584590.314443628
"38","Hombre","Asalariado Sector Privado","Antofagasta","9",2011,585511.201744299
"39","Hombre","Asalariado Sector Privado","Antofagasta","9",2012,653937.933939592
"40","Hombre","Asalariado Sector Privado","Antofagasta","9",2013,688217.935697966
"41","Hombre","Asalariado Sector Privado","Antofagasta","9",2014,725764.592123141
"42","Hombre","Asalariado Sector Privado","Antofagasta","9",2015,812101.232012503
"43","Hombre","Asalariado Sector Privado","Antuco","10",2010,393064.321771698
"44","Hombre","Asalariado Sector Privado","Antuco","10",2011,195058.521143943
"45","Hombre","Asalariado Sector Privado","Antuco","10",2012,362060.077743425
"46","Hombre","Asalariado Sector Privado","Antuco","10",2013,394058.923267933
"47","Hombre","Asalariado Sector Privado","Antuco","10",2014,261104.334805645
"48","Hombre","Asalariado Sector Privado","Antuco","10",2015,367165.765370043
"49","Hombre","Asalariado Sector Privado","Arauco","11",2010,296190.607572739
"50","Hombre","Asalariado Sector Privado","Arauco","11",2011,304619.237443267
"51","Hombre","Asalariado Sector Privado","Arauco","11",2012,308376.504014323
"52","Hombre","Asalariado Sector Privado","Arauco","11",2013,284691.327126568
"53","Hombre","Asalariado Sector Privado","Arauco","11",2014,311721.633358139
"54","Hombre","Asalariado Sector Privado","Arauco","11",2015,357530.570690284
"55","Hombre","Asalariado Sector Privado","Arica","12",2010,336682.031866618
"56","Hombre","Asalariado Sector Privado","Arica","12",2011,347607.708577717
"57","Hombre","Asalariado Sector Privado","Arica","12",2012,424712.559562016
"58","Hombre","Asalariado Sector Privado","Arica","12",2013,390920.503771314
"59","Hombre","Asalariado Sector Privado","Arica","12",2014,421119.300941834
"60","Hombre","Asalariado Sector Privado","Arica","12",2015,463745.749494683
"61","Hombre","Asalariado Sector Privado","Aysén","13",2010,354180.788346704
"62","Hombre","Asalariado Sector Privado","Aysén","13",2011,415563.691795007
"63","Hombre","Asalariado Sector Privado","Aysén","13",2012,456180.083164045
"64","Hombre","Asalariado Sector Privado","Aysén","13",2013,472646.118148256
"65","Hombre","Asalariado Sector Privado","Aysén","13",2014,628589.626408513
"66","Hombre","Asalariado Sector Privado","Aysén","13",2015,461039.962955661
"67","Hombre","Asalariado Sector Privado","Buin","14",2010,470139.478186254
"68","Hombre","Asalariado Sector Privado","Buin","14",2011,443548.436435084
"69","Hombre","Asalariado Sector Privado","Buin","14",2012,418552.716907458
"70","Hombre","Asalariado Sector Privado","Buin","14",2013,696015.71428637
"71","Hombre","Asalariado Sector Privado","Buin","14",2014,457562.809377933
"72","Hombre","Asalariado Sector Privado","Buin","14",2015,585105.825559618
"73","Hombre","Asalariado Sector Privado","Bulnes","15",2010,191623.712929148
"74","Hombre","Asalariado Sector Privado","Bulnes","15",2011,184261.755519605
"75","Hombre","Asalariado Sector Privado","Bulnes","15",2012,287955.411131772
"76","Hombre","Asalariado Sector Privado","Bulnes","15",2013,277789.472212871
"77","Hombre","Asalariado Sector Privado","Bulnes","15",2014,288532.871047185
"78","Hombre","Asalariado Sector Privado","Bulnes","15",2015,335873.324338526
"79","Hombre","Asalariado Sector Privado","Cabildo","16",2010,238448.980090029
"80","Hombre","Asalariado Sector Privado","Cabildo","16",2011,392884.751920994
"81","Hombre","Asalariado Sector Privado","Cabildo","16",2012,486575.557960497
"82","Hombre","Asalariado Sector Privado","Cabildo","16",2013,380484.242535292
