"","sex","icse","geography_name","geography_id","year","weighted_mean"
"1","Hombre","Asalariado Sector Privado","Antofagasta","p21",2010,572695.192946788
"2","Hombre","Asalariado Sector Privado","Antofagasta","p21",2011,583843.831527409
"3","Hombre","Asalariado Sector Privado","Antofagasta","p21",2012,642208.79426591
"4","Hombre","Asalariado Sector Privado","Antofagasta","p21",2013,676165.633808767
"5","Hombre","Asalariado Sector Privado","Antofagasta","p21",2014,716452.512589037
"6","Hombre","Asalariado Sector Privado","Antofagasta","p21",2015,800249.183026688
"7","Hombre","Asalariado Sector Privado","Arauco","p82",2010,279574.548034445
"8","Hombre","Asalariado Sector Privado","Arauco","p82",2011,275559.925763496
"9","Hombre","Asalariado Sector Privado","Arauco","p82",2012,277137.750529674
"10","Hombre","Asalariado Sector Privado","Arauco","p82",2013,297710.550026379
"11","Hombre","Asalariado Sector Privado","Arauco","p82",2014,318789.656264688
"12","Hombre","Asalariado Sector Privado","Arauco","p82",2015,344205.184871462
"13","Hombre","Asalariado Sector Privado","Arica","p151",2010,336353.618733957
"14","Hombre","Asalariado Sector Privado","Arica","p151",2011,347206.973074926
"15","Hombre","Asalariado Sector Privado","Arica","p151",2012,424035.450383102
"16","Hombre","Asalariado Sector Privado","Arica","p151",2013,390920.503771314
"17","Hombre","Asalariado Sector Privado","Arica","p151",2014,421119.300941834
"18","Hombre","Asalariado Sector Privado","Arica","p151",2015,463745.749494683
"19","Hombre","Asalariado Sector Privado","Aysén","p112",2010,348453.409227902
"20","Hombre","Asalariado Sector Privado","Aysén","p112",2011,406814.59913609
"21","Hombre","Asalariado Sector Privado","Aysén","p112",2012,448418.890738346
"22","Hombre","Asalariado Sector Privado","Aysén","p112",2013,438602.620621217
"23","Hombre","Asalariado Sector Privado","Aysén","p112",2014,643678.70139585
"24","Hombre","Asalariado Sector Privado","Aysén","p112",2015,507479.504796971
"25","Hombre","Asalariado Sector Privado","Bíobío","p83",2010,308439.41277183
"26","Hombre","Asalariado Sector Privado","Bíobío","p83",2011,325215.963214657
"27","Hombre","Asalariado Sector Privado","Bíobío","p83",2012,323678.350819858
"28","Hombre","Asalariado Sector Privado","Bíobío","p83",2013,378559.630547898
"29","Hombre","Asalariado Sector Privado","Bíobío","p83",2014,359547.382244684
"30","Hombre","Asalariado Sector Privado","Bíobío","p83",2015,409784.344304177
"31","Hombre","Asalariado Sector Privado","Cachapoal","p61",2010,359974.222866719
"32","Hombre","Asalariado Sector Privado","Cachapoal","p61",2011,327178.053388371
"33","Hombre","Asalariado Sector Privado","Cachapoal","p61",2012,371257.858142036
"34","Hombre","Asalariado Sector Privado","Cachapoal","p61",2013,390698.250956346
"35","Hombre","Asalariado Sector Privado","Cachapoal","p61",2014,405992.73291724
"36","Hombre","Asalariado Sector Privado","Cachapoal","p61",2015,458222.87392773
"37","Hombre","Asalariado Sector Privado","Capitán Prat","p113",2010,284157.538714282
"38","Hombre","Asalariado Sector Privado","Capitán Prat","p113",2011,299015.813547182
"39","Hombre","Asalariado Sector Privado","Capitán Prat","p113",2012,663585.654934382
"40","Hombre","Asalariado Sector Privado","Capitán Prat","p113",2013,115000
"41","Hombre","Asalariado Sector Privado","Capitán Prat","p113",2014,142500
"42","Hombre","Asalariado Sector Privado","Cardenal Caro","p62",2010,232854.11643944
"43","Hombre","Asalariado Sector Privado","Cardenal Caro","p62",2011,239379.336900646
"44","Hombre","Asalariado Sector Privado","Cardenal Caro","p62",2012,262203.476080033
"45","Hombre","Asalariado Sector Privado","Cardenal Caro","p62",2013,324247.313704347
"46","Hombre","Asalariado Sector Privado","Cardenal Caro","p62",2014,349800.746418008
"47","Hombre","Asalariado Sector Privado","Cardenal Caro","p62",2015,326473.624262596
"48","Hombre","Asalariado Sector Privado","Cauquenes","p72",2010,179770.566552953
"49","Hombre","Asalariado Sector Privado","Cauquenes","p72",2011,213543.455082141
"50","Hombre","Asalariado Sector Privado","Cauquenes","p72",2012,222186.083824402
"51","Hombre","Asalariado Sector Privado","Cauquenes","p72",2013,258759.239395968
"52","Hombre","Asalariado Sector Privado","Cauquenes","p72",2014,280952.29974064
"53","Hombre","Asalariado Sector Privado","Cauquenes","p72",2015,268727.947023326
"54","Hombre","Asalariado Sector Privado","Cautín","p91",2010,293548.939151869
"55","Hombre","Asalariado Sector Privado","Cautín","p91",2011,303024.235669891
"56","Hombre","Asalariado Sector Privado","Cautín","p91",2012,393522.661921461
"57","Hombre","Asalariado Sector Privado","Cautín","p91",2013,388065.404876728
"58","Hombre","Asalariado Sector Privado","Cautín","p91",2014,375899.403126773
"59","Hombre","Asalariado Sector Privado","Cautín","p91",2015,440918.941957825
"60","Hombre","Asalariado Sector Privado","Chacabuco","p133",2010,437234.885472514
"61","Hombre","Asalariado Sector Privado","Chacabuco","p133",2011,518687.804860102
"62","Hombre","Asalariado Sector Privado","Chacabuco","p133",2012,829520.673607754
"63","Hombre","Asalariado Sector Privado","Chacabuco","p133",2013,774264.847097744
"64","Hombre","Asalariado Sector Privado","Chacabuco","p133",2014,749223.537838835
"65","Hombre","Asalariado Sector Privado","Chacabuco","p133",2015,736667.841229259
"66","Hombre","Asalariado Sector Privado","Chañaral","p32",2010,416960.556486525
"67","Hombre","Asalariado Sector Privado","Chañaral","p32",2011,533449.559143161
"68","Hombre","Asalariado Sector Privado","Chañaral","p32",2012,525435.659696999
"69","Hombre","Asalariado Sector Privado","Chañaral","p32",2013,514617.329883415
"70","Hombre","Asalariado Sector Privado","Chañaral","p32",2014,528964.469620262
"71","Hombre","Asalariado Sector Privado","Chañaral","p32",2015,473850.302556258
"72","Hombre","Asalariado Sector Privado","Chiloé","p102",2010,301058.342101706
"73","Hombre","Asalariado Sector Privado","Chiloé","p102",2011,293414.017012726
"74","Hombre","Asalariado Sector Privado","Chiloé","p102",2012,394491.35023589
"75","Hombre","Asalariado Sector Privado","Chiloé","p102",2013,365578.301904247
"76","Hombre","Asalariado Sector Privado","Chiloé","p102",2014,417335.968976715
"77","Hombre","Asalariado Sector Privado","Chiloé","p102",2015,422632.929195299
"78","Hombre","Asalariado Sector Privado","Choapa","p42",2010,384320.850332737
"79","Hombre","Asalariado Sector Privado","Choapa","p42",2011,348499.68488039
"80","Hombre","Asalariado Sector Privado","Choapa","p42",2012,408158.679497664
"81","Hombre","Asalariado Sector Privado","Choapa","p42",2013,457579.574256349
"82","Hombre","Asalariado Sector Privado","Choapa","p42",2014,420838.098404051
"83","Hombre","Asalariado Sector Privado","Choapa","p42",2015,476952.876986597
"84","Hombre","Asalariado Sector Privado","Colchagua","p63",2010,241608.235690753
"85","Hombre","Asalariado Sector Privado","Colchagua","p63",2011,263519.676961981
"86","Hombre","Asalariado Sector Privado","Colchagua","p63",2012,294615.637287529
"87","Hombre","Asalariado Sector Privado","Colchagua","p63",2013,313686.220089768
"88","Hombre","Asalariado Sector Privado","Colchagua","p63",2014,305150.510455851
"89","Hombre","Asalariado Sector Privado","Colchagua","p63",2015,333972.575641866
"90","Hombre","Asalariado Sector Privado","Concepción","p81",2010,356133.277803226
"91","Hombre","Asalariado Sector Privado","Concepción","p81",2011,384982.507728827
"92","Hombre","Asalariado Sector Privado","Concepción","p81",2012,378307.038164824
"93","Hombre","Asalariado Sector Privado","Concepción","p81",2013,419151.539240967
"94","Hombre","Asalariado Sector Privado","Concepción","p81",2014,456459.5512551
"95","Hombre","Asalariado Sector Privado","Concepción","p81",2015,484388.84657233
"96","Hombre","Asalariado Sector Privado","Copiapó","p31",2010,477131.655523873
"97","Hombre","Asalariado Sector Privado","Copiapó","p31",2011,544979.023445592
"98","Hombre","Asalariado Sector Privado","Copiapó","p31",2012,492315.244040687
"99","Hombre","Asalariado Sector Privado","Copiapó","p31",2013,630040.876368254
"100","Hombre","Asalariado Sector Privado","Copiapó","p31",2014,636080.558422919
"101","Hombre","Asalariado Sector Privado","Copiapó","p31",2015,689480.194474813
"102","Hombre","Asalariado Sector Privado","Cordillera","p152",2010,374922.612659069
"103","Hombre","Asalariado Sector Privado","Cordillera","p152",2011,392823.272040236
"104","Hombre","Asalariado Sector Privado","Cordillera","p152",2012,520277.087293119
"105","Hombre","Asalariado Sector Privado","Cordillera","p152",2013,496501.271665367
"106","Hombre","Asalariado Sector Privado","Cordillera","p152",2014,544900.433191399
"107","Hombre","Asalariado Sector Privado","Cordillera","p152",2015,565133.978648724
"108","Hombre","Asalariado Sector Privado","Coyhaique","p111",2010,362876.665515288
"109","Hombre","Asalariado Sector Privado","Coyhaique","p111",2011,405983.92051494
"110","Hombre","Asalariado Sector Privado","Coyhaique","p111",2012,379315.783237142
"111","Hombre","Asalariado Sector Privado","Coyhaique","p111",2013,373557.970244505
"112","Hombre","Asalariado Sector Privado","Coyhaique","p111",2014,438771.311855313
"113","Hombre","Asalariado Sector Privado","Coyhaique","p111",2015,555482.946125214
"114","Hombre","Asalariado Sector Privado","Curicó","p73",2010,311956.441838022
