"","sex","icse","geography_name","geography_id","year","weighted_mean"
"1","Hombre","Asalariado sector privado","Antofagasta",2,2010,572458.89000562
"2","Hombre","Asalariado sector privado","Antofagasta",2,2011,585103.262977368
"3","Hombre","Asalariado sector privado","Araucanía",9,2010,282756.42256644
"4","Hombre","Asalariado sector privado","Araucanía",9,2011,305902.450764693
"5","Hombre","Asalariado sector privado","Arica y Parinacota",15,2010,336353.618733957
"6","Hombre","Asalariado sector privado","Arica y Parinacota",15,2011,345892.120976467
"7","Hombre","Asalariado sector privado","Atacama",3,2010,435719.008190407
"8","Hombre","Asalariado sector privado","Atacama",3,2011,511738.772314642
"9","Hombre","Asalariado sector privado","Aysén",11,2010,355701.902338999
"10","Hombre","Asalariado sector privado","Aysén",11,2011,404328.44322225
"11","Hombre","Asalariado sector privado","Bíobío",8,2010,315729.19025237
"12","Hombre","Asalariado sector privado","Bíobío",8,2011,342819.05875941
"13","Hombre","Asalariado sector privado","Coquimbo",4,2010,409004.954071971
"14","Hombre","Asalariado sector privado","Coquimbo",4,2011,396378.316940685
"15","Hombre","Asalariado sector privado","Los Lagos",10,2010,304360.660058218
"16","Hombre","Asalariado sector privado","Los Lagos",10,2011,340304.606131283
"17","Hombre","Asalariado sector privado","Los Ríos",14,2010,283495.855409487
"18","Hombre","Asalariado sector privado","Los Ríos",14,2011,321861.531792771
"19","Hombre","Asalariado sector privado","Magallanes",12,2010,543976.740978342
"20","Hombre","Asalariado sector privado","Magallanes",12,2011,599545.654707736
"21","Hombre","Asalariado sector privado","Maule",7,2010,256622.91011959
"22","Hombre","Asalariado sector privado","Maule",7,2011,261026.314858527
"23","Hombre","Asalariado sector privado","Metropolitana",13,2010,460559.30812943
"24","Hombre","Asalariado sector privado","Metropolitana",13,2011,512848.001247371
"25","Hombre","Asalariado sector privado","O'Higgins",6,2010,325792.503783663
"26","Hombre","Asalariado sector privado","O'Higgins",6,2011,309034.857862393
"27","Hombre","Asalariado sector privado","Tarapacá",1,2010,503944.738794484
"28","Hombre","Asalariado sector privado","Tarapacá",1,2011,502772.870799358
"29","Hombre","Asalariado sector privado","Valparaíso",5,2010,353036.446169326
"30","Hombre","Asalariado sector privado","Valparaíso",5,2011,363986.42550364
"31","Hombre","Asalariado sector privado",NA,NA,2010,222163.984852677
"32","Hombre","Asalariado sector privado",NA,NA,2011,290450.668755251
"33","Hombre","Asalariado Sector Privado","Antofagasta",2,2012,664554.182727359
"34","Hombre","Asalariado Sector Privado","Antofagasta",2,2013,702989.744400148
"35","Hombre","Asalariado Sector Privado","Antofagasta",2,2014,731205.133676724
"36","Hombre","Asalariado Sector Privado","Antofagasta",2,2015,802982.520049311
"37","Hombre","Asalariado Sector Privado","Araucanía",9,2012,384201.60404974
