"","sex","isced","geography_name","geography_id","year","weighted_mean"
"1","Hombre","Doctorado","Antofagasta","2",2010,1931398.0166428
"2","Hombre","Doctorado","Antofagasta","2",2011,1939624.11809461
"3","Hombre","Doctorado","Antofagasta","2",2012,2500000
"4","Hombre","Doctorado","Antofagasta","2",2013,946669.316801691
"5","Hombre","Doctorado","Antofagasta","2",2014,1885669.00025026
"6","Hombre","Doctorado","Antofagasta","2",2015,2500000
"7","Hombre","Doctorado","Araucanía","9",2010,3297192.46689577
"8","Hombre","Doctorado","Araucanía","9",2012,895148.915649074
"9","Hombre","Doctorado","Araucanía","9",2013,2128094.84114836
"10","Hombre","Doctorado","Araucanía","9",2014,1756361.11059758
"11","Hombre","Doctorado","Araucanía","9",2015,1672796.53655733
"12","Hombre","Doctorado","Arica y Parinacota","15",2010,1598905.71568148
"13","Hombre","Doctorado","Arica y Parinacota","15",2011,1348362.28805114
"14","Hombre","Doctorado","Arica y Parinacota","15",2012,1500000
"15","Hombre","Doctorado","Arica y Parinacota","15",2015,2451866.32994353
"16","Hombre","Doctorado","Atacama","3",2011,2512083.01743745
"17","Hombre","Doctorado","Atacama","3",2012,1736707.61150018
"18","Hombre","Doctorado","Bíobío","8",2010,1137381.10528877
"19","Hombre","Doctorado","Bíobío","8",2011,1772599.43785252
"20","Hombre","Doctorado","Bíobío","8",2012,1830604.05186075
"21","Hombre","Doctorado","Bíobío","8",2013,1209333.5704265
"22","Hombre","Doctorado","Bíobío","8",2014,2140869.33459999
"23","Hombre","Doctorado","Bíobío","8",2015,2087628.27230349
"24","Hombre","Doctorado","Coquimbo","4",2011,2292560.58437529
"25","Hombre","Doctorado","Coquimbo","4",2012,1000000
"26","Hombre","Doctorado","Coquimbo","4",2013,567192.315020912
"27","Hombre","Doctorado","Coquimbo","4",2014,2300000
"28","Hombre","Doctorado","Coquimbo","4",2015,1150703.10001926
"29","Hombre","Doctorado","Los Lagos","10",2010,2371134.55947631
"30","Hombre","Doctorado","Los Lagos","10",2011,3154302.64451182
"31","Hombre","Doctorado","Los Lagos","10",2012,1263111.31163764
"32","Hombre","Doctorado","Los Lagos","10",2013,2361843.3179523
"33","Hombre","Doctorado","Los Lagos","10",2014,1476992.20036098
"34","Hombre","Doctorado","Los Lagos","10",2015,1571972.79860994
"35","Hombre","Doctorado","Los Ríos","14",2010,1301272.26463104
"36","Hombre","Doctorado","Los Ríos","14",2011,1434752.2622991
"37","Hombre","Doctorado","Los Ríos","14",2012,1282334.51805002
"38","Hombre","Doctorado","Los Ríos","14",2013,1492582.7169435
"39","Hombre","Doctorado","Los Ríos","14",2014,1597848.90293753
"40","Hombre","Doctorado","Los Ríos","14",2015,939001.543737886
"41","Hombre","Doctorado","Magallanes","12",2010,1283260.68737405
