"","sex","isco","geography_name","geography_id","year","weighted_mean"
"1","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",2,2010,323522.620230825
"2","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",2,2011,201288.0605229
"3","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",2,2012,307819.972130378
"4","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",2,2013,226414.832016803
"5","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",2,2014,334253.511402676
"6","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",2,2015,412645.956667903
"7","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía",9,2010,135293.017897463
"8","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía",9,2011,158154.775857083
"9","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía",9,2012,173198.723194728
"10","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía",9,2013,142785.924929849
"11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía",9,2014,181147.182248519
"12","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía",9,2015,196554.479771739
"13","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota",15,2010,241351.565793079
"14","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota",15,2011,264648.106757716
"15","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota",15,2012,293250.585549967
"16","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota",15,2013,350641.839459038
"17","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota",15,2014,317959.420268837
"18","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota",15,2015,440983.105814483
"19","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama",3,2010,229955.351005017
"20","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama",3,2011,209088.996588192
"21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama",3,2012,217961.115634445
"22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama",3,2013,241481.429904959
"23","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama",3,2014,251918.620769183
"24","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama",3,2015,283110.164218899
"25","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén",11,2010,266494.199899792
"26","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén",11,2011,304473.031044999
"27","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén",11,2012,341085.359215779
"28","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén",11,2013,281068.658187781
"29","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén",11,2014,501920.933902848
"30","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén",11,2015,352424.37595767
"31","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío",8,2010,268972.879882603
"32","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío",8,2011,194990.970406056
"33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío",8,2012,297698.633798144
"34","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío",8,2013,201176.036127015
"35","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío",8,2014,215002.458330268
"36","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío",8,2015,287543.603851113
"37","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Coquimbo",4,2010,177227.489904461
"38","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Coquimbo",4,2011,255917.874871171
"39","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Coquimbo",4,2012,184854.69759487
"40","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Coquimbo",4,2013,252610.079151633
"41","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Coquimbo",4,2014,281211.552898182
"42","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Coquimbo",4,2015,279409.503039953
"43","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Lagos",10,2010,211134.657093044
"44","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Lagos",10,2011,303872.385191723
"45","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Lagos",10,2012,233599.607876994
"46","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Lagos",10,2013,293327.928428772
"47","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Lagos",10,2014,374150.239105699
"48","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Lagos",10,2015,315085.983494464
"49","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Ríos",14,2010,165543.814845011
"50","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Ríos",14,2011,192698.386139446
"51","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Ríos",14,2012,272661.265334607
"52","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Ríos",14,2013,214800.284919187
"53","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Ríos",14,2014,203912.531750637
"54","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Ríos",14,2015,266702.460978121
"55","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Magallanes",12,2010,928900.199148666
"56","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Magallanes",12,2011,219135.528181567
"57","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Magallanes",12,2012,439643.434789345
"58","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Magallanes",12,2013,369002.713461738
"59","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Magallanes",12,2014,506896.255313438
"60","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Magallanes",12,2015,576418.356456435
"61","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Maule",7,2010,189419.329047959
"62","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Maule",7,2011,218463.376325689
"63","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Maule",7,2012,209836.274108195
"64","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Maule",7,2013,265290.568680244
"65","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Maule",7,2014,266647.729645186
"66","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Maule",7,2015,257929.117746528
"67","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Metropolitana",13,2010,245103.356868597
"68","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Metropolitana",13,2011,254262.918813892
"69","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Metropolitana",13,2012,236234.353936535
"70","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Metropolitana",13,2013,277848.833715968
"71","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Metropolitana",13,2014,318445.592754311
"72","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Metropolitana",13,2015,388288.731366735
"73","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","O'Higgins",6,2010,318747.255736442
"74","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","O'Higgins",6,2011,295624.059315826
"75","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","O'Higgins",6,2012,252451.051190605
"76","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","O'Higgins",6,2013,325240.392334397
"77","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","O'Higgins",6,2014,372137.289990328
"78","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","O'Higgins",6,2015,410863.801918654
"79","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Tarapacá",1,2010,166351.460231006
"80","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Tarapacá",1,2011,193626.444007353
"81","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Tarapacá",1,2012,255693.394944676
"82","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Tarapacá",1,2013,271241.984297562
"83","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Tarapacá",1,2014,327717.482265937
"84","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Tarapacá",1,2015,239797.082398204
"85","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Valparaíso",5,2010,212848.420977414
"86","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Valparaíso",5,2011,207793.390605381
"87","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Valparaíso",5,2012,221694.785501121
"88","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Valparaíso",5,2013,254267.056135312
"89","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Valparaíso",5,2014,299616.748639501
"90","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Valparaíso",5,2015,380391.903798616
"91","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",NA,NA,2010,115255.818661217
"92","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",NA,NA,2011,139366.997284094
"93","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",NA,NA,2012,79736.7280975825
"94","Hombre","Empleados de oficina","Antofagasta",2,2010,518653.255865481
"95","Hombre","Empleados de oficina","Antofagasta",2,2011,620166.131877979
"96","Hombre","Empleados de oficina","Antofagasta",2,2012,589798.754298784
"97","Hombre","Empleados de oficina","Antofagasta",2,2013,613952.217888587
"98","Hombre","Empleados de oficina","Antofagasta",2,2014,580139.672694223
"99","Hombre","Empleados de oficina","Antofagasta",2,2015,575584.557389644
"100","Hombre","Empleados de oficina","Araucanía",9,2010,286254.60859897
"101","Hombre","Empleados de oficina","Araucanía",9,2011,375495.123168611
