"","sex","isic","geography_name","geography_id","year","weighted_mean"
"1","Hombre","1","Algarrobo","1",2012,251405.270917803
"2","Hombre","1","Alto del Carmen","4",2010,197235.87507924
"3","Hombre","1","Alto del Carmen","4",2012,170083.988657586
"4","Hombre","1","Alto Hospicio","5",2010,68989.9826719788
"5","Hombre","1","Alto Hospicio","5",2012,181011.795060818
"6","Hombre","1","Ancud","6",2010,95301.2389414185
"7","Hombre","1","Ancud","6",2012,324376.039891485
"8","Hombre","1","Andacollo","7",2010,150146.79976512
"9","Hombre","1","Andacollo","7",2012,146528.613501132
"10","Hombre","1","Angol","8",2010,293752.502138035
"11","Hombre","1","Angol","8",2012,477267.086010599
"12","Hombre","1","Antofagasta","9",2012,357531.363997844
"13","Hombre","1","Antuco","10",2010,94019.1536883243
"14","Hombre","1","Antuco","10",2012,93455.4870406968
"15","Hombre","1","Arauco","11",2010,231666.400589909
"16","Hombre","1","Arauco","11",2012,312060.383755847
"17","Hombre","1","Arica","12",2010,250544.065769024
"18","Hombre","1","Arica","12",2012,303550.810907577
"19","Hombre","1","Aysén","13",2010,287408.651395105
"20","Hombre","1","Aysén","13",2012,337789.890256986
"21","Hombre","1","Buin","14",2010,204949.898313859
"22","Hombre","1","Buin","14",2012,359291.148736807
"23","Hombre","1","Bulnes","15",2010,165627.678150244
"24","Hombre","1","Bulnes","15",2012,239754.241506243
"25","Hombre","1","Cabildo","16",2010,251106.648643016
"26","Hombre","1","Cabildo","16",2012,215072.398529532
"27","Hombre","1","Cabrero","18",2010,263619.579872985
"28","Hombre","1","Cabrero","18",2012,348458.038450737
"29","Hombre","1","Calama","19",2012,220000
"30","Hombre","1","Calbuco","20",2010,246861.168628208
"31","Hombre","1","Calbuco","20",2012,192421.320656842
"32","Hombre","1","Calera","22",2010,362825.465275623
"33","Hombre","1","Calera","22",2012,229593.648566066
"34","Hombre","1","Calera de Tango","23",2010,180176.159718144
"35","Hombre","1","Calera de Tango","23",2012,301686.325101363
"36","Hombre","1","Calle Larga","24",2010,181337.630847561
"37","Hombre","1","Calle Larga","24",2012,179076.19352058
"38","Hombre","1","Camarones","25",2010,197547.942228783
"39","Hombre","1","Camarones","25",2012,125898.529536798
"40","Hombre","1","Canela","27",2010,164839.421696113
"41","Hombre","1","Canela","27",2012,237115.046511435
"42","Hombre","1","Cañete","28",2010,205998.244250717
"43","Hombre","1","Cañete","28",2012,309149.146039946
"44","Hombre","1","Carahue","29",2010,117063.37894246
"45","Hombre","1","Carahue","29",2012,107389.991725724
"46","Hombre","1","Cartagena","30",2010,112993.191643125
"47","Hombre","1","Casablanca","31",2012,155699.097938144
"48","Hombre","1","Castro","32",2010,83533.5692891593
"49","Hombre","1","Castro","32",2012,106886.287510533
"50","Hombre","1","Catemu","33",2010,275704.247024311
"51","Hombre","1","Catemu","33",2012,181089.085108878
"52","Hombre","1","Cauquenes","34",2010,163534.846493329
"53","Hombre","1","Cauquenes","34",2012,205864.123859223
"54","Hombre","1","Cerro Navia","36",2010,119917.928676111
"55","Hombre","1","Cerro Navia","36",2012,251405.270917803
"56","Hombre","1","Chanco","38",2010,140816.69231215
"57","Hombre","1","Chanco","38",2012,177284.278135866
"58","Hombre","1","Chépica","40",2010,263905.292113618
"59","Hombre","1","Chépica","40",2012,173541.706059535
"60","Hombre","1","Chiguayante","41",2010,190783.195194646
"61","Hombre","1","Chile Chico","42",2010,165790.025909025
"62","Hombre","1","Chile Chico","42",2012,110618.319203833
"63","Hombre","1","Chillán","43",2010,128989.849782068
"64","Hombre","1","Chillán","43",2012,552100.855900063
"65","Hombre","1","Chillán Viejo","44",2010,189719.261575975
"66","Hombre","1","Chillán Viejo","44",2012,358784.186926676
"67","Hombre","1","Chimbarongo","45",2010,246903.320682315
"68","Hombre","1","Chimbarongo","45",2012,193289.211059639
"69","Hombre","1","Chonchi","47",2010,73470.7678859846
"70","Hombre","1","Chonchi","47",2012,84442.3602545717
"71","Hombre","1","Cisnes","48",2010,522503.015754674
"72","Hombre","1","Cisnes","48",2012,344050.919882573
"73","Hombre","1","Cochrane","51",2010,194240.864745716
"74","Hombre","1","Cochrane","51",2012,266697.487113402
"75","Hombre","1","Codegua","52",2010,251983.046644514
"76","Hombre","1","Codegua","52",2012,257695.775070157
"77","Hombre","1","Coelemu","53",2010,134523.020096927
"78","Hombre","1","Coelemu","53",2012,598432.551166496
"79","Hombre","1","Coihueco","55",2010,171401.655660366
"80","Hombre","1","Coihueco","55",2012,201068.231510711
"81","Hombre","1","Colbún","57",2010,148325.563099353
"82","Hombre","1","Colbún","57",2012,221162.674759699
"83","Hombre","1","Colina","59",2010,243648.223004934
"84","Hombre","1","Colina","59",2012,208071.713272986
"85","Hombre","1","Collipulli","60",2010,210532.551902979
"86","Hombre","1","Collipulli","60",2012,364305.813123701
"87","Hombre","1","Combarbalá","62",2010,141000.011511266
"88","Hombre","1","Combarbalá","62",2012,77274.0134848124
"89","Hombre","1","Concepción","64",2010,488240.453658495
