"","sex","isic","year","weighted_mean"
"1","Hombre","Agricultura, ganadería, caza y silvicultura",2010,232109.002677422
"2","Hombre","Agricultura, ganadería, caza y silvicultura",2011,254220.151042901
"3","Hombre","Agricultura, ganadería, caza y silvicultura",2012,261185.476833673
"4","Hombre","Agricultura, ganadería, caza y silvicultura",2013,287781.420155608
"5","Hombre","Agricultura, ganadería, caza y silvicultura",2014,304360.121373589
"6","Hombre","Agricultura, ganadería, caza y silvicultura",2015,341306.691044478
"7","Hombre","Pesca",2010,300684.799902363
"8","Hombre","Pesca",2011,270582.658725682
"9","Hombre","Pesca",2012,321361.984170222
"10","Hombre","Pesca",2013,295044.700772927
"11","Hombre","Pesca",2014,385930.070808853
"12","Hombre","Pesca",2015,473384.596892039
"13","Hombre","Explotación de minas y canteras",2010,712978.552096354
"14","Hombre","Explotación de minas y canteras",2011,707463.861776054
"15","Hombre","Explotación de minas y canteras",2012,773265.450305598
"16","Hombre","Explotación de minas y canteras",2013,862003.478656262
"17","Hombre","Explotación de minas y canteras",2014,837214.031741779
"18","Hombre","Explotación de minas y canteras",2015,955279.814919946
"19","Hombre","Industrias manufactureras",2010,399285.660420716
"20","Hombre","Industrias manufactureras",2011,435973.223421542
"21","Hombre","Industrias manufactureras",2012,442220.750679974
"22","Hombre","Industrias manufactureras",2013,490148.584246479
"23","Hombre","Industrias manufactureras",2014,497273.185274471
"24","Hombre","Industrias manufactureras",2015,583623.730733754
"25","Hombre","Suministro de electricidad, gas y agua",2010,405969.078746497
"26","Hombre","Suministro de electricidad, gas y agua",2011,526252.849347547
"27","Hombre","Suministro de electricidad, gas y agua",2012,570665.047602039
"28","Hombre","Suministro de electricidad, gas y agua",2013,632196.416321816
"29","Hombre","Suministro de electricidad, gas y agua",2014,675247.842363329
"30","Hombre","Suministro de electricidad, gas y agua",2015,699570.654325161
"31","Hombre","Construcción",2010,353736.380650899
"32","Hombre","Construcción",2011,421885.654766076
"33","Hombre","Construcción",2012,425099.482304609
"34","Hombre","Construcción",2013,447847.873476809
"35","Hombre","Construcción",2014,484753.71694451
"36","Hombre","Construcción",2015,502676.792802524
"37","Hombre","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres do",2010,357161.965612004
"38","Hombre","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres do",2011,380356.726947504
"39","Hombre","Hoteles y restaurantes",2010,414166.836280478
"40","Hombre","Hoteles y restaurantes",2011,393049.494292509
"41","Hombre","Hoteles y restaurantes",2012,514278.980582473
"42","Hombre","Hoteles y restaurantes",2013,373664.249242907
"43","Hombre","Hoteles y restaurantes",2014,440290.25873711
"44","Hombre","Hoteles y restaurantes",2015,542727.823483941
"45","Hombre","Transporte, almacenamiento y comunicaciones",2010,378369.87538134
"46","Hombre","Transporte, almacenamiento y comunicaciones",2011,440580.88700486
"47","Hombre","Transporte, almacenamiento y comunicaciones",2012,510327.3891193
"48","Hombre","Transporte, almacenamiento y comunicaciones",2013,524755.133305134
"49","Hombre","Transporte, almacenamiento y comunicaciones",2014,488488.583004257
"50","Hombre","Transporte, almacenamiento y comunicaciones",2015,560284.151741267
"51","Hombre","Intermediación financiera",2010,985897.380808986
"52","Hombre","Intermediación financiera",2011,1006357.52588214
"53","Hombre","Intermediación financiera",2012,1122464.73237689
"54","Hombre","Intermediación financiera",2013,1147363.89674874
"55","Hombre","Intermediación financiera",2014,1231620.58752537
"56","Hombre","Intermediación financiera",2015,1129649.57182597
"57","Hombre","Actividades inmobiliarias, empresariales y de alquiler",2010,754941.066326867
"58","Hombre","Actividades inmobiliarias, empresariales y de alquiler",2011,757313.769955813
"59","Hombre","Actividades inmobiliarias, empresariales y de alquiler",2012,829770.812980752
"60","Hombre","Actividades inmobiliarias, empresariales y de alquiler",2013,818214.217872506
"61","Hombre","Actividades inmobiliarias, empresariales y de alquiler",2014,831237.305260712
"62","Hombre","Actividades inmobiliarias, empresariales y de alquiler",2015,827515.580179915
"63","Hombre","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2010,585281.559443306
"64","Hombre","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2011,621433.180933655
"65","Hombre","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2012,677775.906643809
"66","Hombre","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2013,730677.265371848
"67","Hombre","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2014,775319.296617519
"68","Hombre","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2015,838272.684185455
"69","Hombre","Enseñanza",2010,535160.959856248
"70","Hombre","Enseñanza",2011,545552.568281029
"71","Hombre","Enseñanza",2012,568079.525787942
"72","Hombre","Enseñanza",2013,583809.858472298
"73","Hombre","Enseñanza",2014,655683.224307709
"74","Hombre","Enseñanza",2015,700687.73112904
"75","Hombre","Servicios sociales y de salud",2010,785544.8250505
"76","Hombre","Servicios sociales y de salud",2011,777134.927789838
"77","Hombre","Servicios sociales y de salud",2012,871610.400756186
"78","Hombre","Servicios sociales y de salud",2013,811154.954454926
"79","Hombre","Servicios sociales y de salud",2014,963008.503523889
"80","Hombre","Servicios sociales y de salud",2015,1126189.22793497
"81","Hombre","Otras actividades de servicios comunitarios, sociales y personales",2010,315517.030982069
"82","Hombre","Otras actividades de servicios comunitarios, sociales y personales",2011,332146.065241481
"83","Hombre","Otras actividades de servicios comunitarios, sociales y personales",2012,337638.472288064
"84","Hombre","Otras actividades de servicios comunitarios, sociales y personales",2013,435003.108805093
"85","Hombre","Otras actividades de servicios comunitarios, sociales y personales",2014,425419.406326155
"86","Hombre","Otras actividades de servicios comunitarios, sociales y personales",2015,428694.665151564
"87","Hombre","Hogares privados con servicio doméstico",2010,168909.012456287
"88","Hombre","Hogares privados con servicio doméstico",2011,201369.786765723
"89","Hombre","Hogares privados con servicio doméstico",2012,222593.987377321
"90","Hombre","Hogares privados con servicio doméstico",2013,237859.793535818
"91","Hombre","Hogares privados con servicio doméstico",2014,272675.009244971
"92","Hombre","Hogares privados con servicio doméstico",2015,299657.399583858
"93","Hombre","Organizaciones y organos extraterritoriales",2010,668480.308334761
