"","sex","isic","geography_name","geography_id","year","weighted_mean"
"1","Hombre","1","Antofagasta","p21",2012,357531.363997844
"2","Hombre","1","Arauco","p82",2010,204918.793119408
"3","Hombre","1","Arauco","p82",2012,291911.392630553
"4","Hombre","1","Arica","p151",2010,245291.340221163
"5","Hombre","1","Arica","p151",2012,293017.472347544
"6","Hombre","1","Aysén","p112",2010,335981.281943091
"7","Hombre","1","Aysén","p112",2012,341304.512336239
"8","Hombre","1","Bíobío","p83",2010,357279.809226609
"9","Hombre","1","Bíobío","p83",2012,221052.562807197
"10","Hombre","1","Cachapoal","p61",2010,248383.522091494
"11","Hombre","1","Cachapoal","p61",2012,258423.229296063
"12","Hombre","1","Capitán Prat","p113",2010,194240.864745716
"13","Hombre","1","Capitán Prat","p113",2012,266697.487113402
"14","Hombre","1","Cardenal Caro","p62",2010,208683.706742096
"15","Hombre","1","Cardenal Caro","p62",2012,217930.266596509
"16","Hombre","1","Cauquenes","p72",2010,157744.566001832
"17","Hombre","1","Cauquenes","p72",2012,197333.704764538
"18","Hombre","1","Cautín","p91",2010,214365.469819365
"19","Hombre","1","Cautín","p91",2012,146044.631836472
"20","Hombre","1","Chacabuco","p133",2010,196733.58561601
"21","Hombre","1","Chacabuco","p133",2012,185766.311078773
"22","Hombre","1","Chiloé","p102",2010,75582.0208250985
"23","Hombre","1","Chiloé","p102",2012,132258.969010261
"24","Hombre","1","Choapa","p42",2010,159218.91325313
"25","Hombre","1","Choapa","p42",2012,174606.646111061
"26","Hombre","1","Colchagua","p63",2010,225395.260602132
"27","Hombre","1","Colchagua","p63",2012,229087.287294347
"28","Hombre","1","Concepción","p81",2010,273868.710995017
"29","Hombre","1","Concepción","p81",2012,291635.272407826
"30","Hombre","1","Copiapó","p31",2010,316667.227121876
"31","Hombre","1","Copiapó","p31",2012,290685.494845421
"32","Hombre","1","Cordillera","p152",2010,255486.666587363
"33","Hombre","1","Cordillera","p152",2012,254874.787763984
"34","Hombre","1","Coyhaique","p111",2010,353781.159295812
"35","Hombre","1","Coyhaique","p111",2012,297160.53223572
"36","Hombre","1","Curicó","p73",2010,215872.313677681
"37","Hombre","1","Curicó","p73",2012,283264.166730165
"38","Hombre","1","El Loa","p22",2010,385521.545372359
"39","Hombre","1","El Loa","p22",2012,220000
"40","Hombre","1","Elqui","p41",2010,231089.569975075
"41","Hombre","1","Elqui","p41",2012,214786.369931326
"42","Hombre","1","General Carrera","p114",2010,189679.149285124
"43","Hombre","1","General Carrera","p114",2012,111639.090024516
"44","Hombre","1","Huasco","p33",2010,192915.648180126
"45","Hombre","1","Huasco","p33",2012,191767.103340733
"46","Hombre","1","Iquique","p11",2010,105541.99013948
"47","Hombre","1","Iquique","p11",2012,405754.893963159
"48","Hombre","1","Limarí","p43",2010,186233.518141952
"49","Hombre","1","Limarí","p43",2012,218179.10428881
"50","Hombre","1","Linares","p74",2010,150105.135265407
"51","Hombre","1","Linares","p74",2012,169001.619501226
"52","Hombre","1","Llanquihue","p101",2010,313362.695817377
"53","Hombre","1","Llanquihue","p101",2012,335304.606050175
"54","Hombre","1","Los Andes","p53",2010,238116.825161383
"55","Hombre","1","Los Andes","p53",2012,253988.985623032
"56","Hombre","1","Magallanes","p121",2010,1045997.80166122
"57","Hombre","1","Magallanes","p121",2012,275930.750213179
"58","Hombre","1","Maipo","p134",2010,209394.725925052
"59","Hombre","1","Maipo","p134",2012,277391.431987795
"60","Hombre","1","Malleco","p92",2010,187606.625346731
"61","Hombre","1","Malleco","p92",2012,342402.183781777
"62","Hombre","1","Marga Marga","p58",2010,176607.266778845
"63","Hombre","1","Marga Marga","p58",2012,285859.828400086
"64","Hombre","1","Melipilla","p135",2010,212285.479030877
"65","Hombre","1","Melipilla","p135",2012,256253.629202126
"66","Hombre","1","Ñuble","p84",2010,174290.280031087
"67","Hombre","1","Ñuble","p84",2012,396284.621805183
"68","Hombre","1","Osorno","p103",2010,254258.207071915
"69","Hombre","1","Osorno","p103",2012,264410.201030526
"70","Hombre","1","Parinacota","p152",2010,147314.765163991
"71","Hombre","1","Parinacota","p152",2012,86690.6358032711
"72","Hombre","1","Petorca","p54",2010,194782.770054142
"73","Hombre","1","Petorca","p54",2012,232175.057626731
"74","Hombre","1","Quillota","p55",2010,235661.006438585
"75","Hombre","1","Quillota","p55",2012,285789.233063102
"76","Hombre","1","Ranco","p142",2010,292022.468743926
"77","Hombre","1","Ranco","p142",2012,351283.103301947
"78","Hombre","1","San Antonio","p56",2010,123705.642366601
"79","Hombre","1","San Antonio","p56",2012,333417.197516538
"80","Hombre","1","San Felipe","p57",2010,248441.825642998
"81","Hombre","1","San Felipe","p57",2012,281290.354700658
"82","Hombre","1","Santiago","p131",2010,444229.507936027
"83","Hombre","1","Santiago","p131",2012,549237.713613308
"84","Hombre","1","Talagante","p136",2010,190271.216384191
"85","Hombre","1","Talagante","p136",2012,302138.133873969
"86","Hombre","1","Talca","p71",2010,184933.403707865
"87","Hombre","1","Talca","p71",2012,249190.417298845
"88","Hombre","1","Tamarugal","p12",2010,146754.462568713
"89","Hombre","1","Tamarugal","p12",2012,111926.440667238
"90","Hombre","1","Tierra del Fuego","p123",2010,260000
"91","Hombre","1","Última Esperanza","p124",2010,399726.428920371
"92","Hombre","1","Última Esperanza","p124",2012,200000
"93","Hombre","1","Valdivia","p141",2010,274006.953317828
"94","Hombre","1","Valdivia","p141",2012,231571.902233676
"95","Hombre","1","Valparaíso","p51",2010,103362.968398101
"96","Hombre","1","Valparaíso","p51",2012,175469.489465585
"97","Hombre","1",NA,NA,2010,141008.471936847
"98","Hombre","1",NA,NA,2012,156289.571045716
"99","Hombre","10","Antofagasta","p21",2010,985500.82239497
"100","Hombre","10","Antofagasta","p21",2012,452945.277100035
"101","Hombre","10","Arauco","p82",2010,391783.049520453
"102","Hombre","10","Arauco","p82",2012,1707667.5257732
"103","Hombre","10","Arica","p151",2010,602390.080147783
"104","Hombre","10","Arica","p151",2012,1075956.9615081
"105","Hombre","10","Aysén","p112",2010,800782.93208064
"106","Hombre","10","Bíobío","p83",2010,657691.833158359
"107","Hombre","10","Cachapoal","p61",2010,717769.884913612
"108","Hombre","10","Cachapoal","p61",2012,1269393.65977628
"109","Hombre","10","Cardenal Caro","p62",2010,1000978.6651008
"110","Hombre","10","Cardenal Caro","p62",2012,1148652.58164393
"111","Hombre","10","Cauquenes","p72",2012,395352.271258786
"112","Hombre","10","Cautín","p91",2010,1201174.39812096
"113","Hombre","10","Cautín","p91",2012,1820326.23789349
"114","Hombre","10","Chacabuco","p133",2010,2340151.82860216
"115","Hombre","10","Chacabuco","p133",2012,3715978.01466877
"116","Hombre","10","Chiloé","p102",2010,599589.643380557
"117","Hombre","10","Chiloé","p102",2012,1112089.96372364
"118","Hombre","10","Choapa","p42",2010,839377.533561309
"119","Hombre","10","Colchagua","p63",2010,266823.14709569
"120","Hombre","10","Colchagua","p63",2012,669622.487752104
"121","Hombre","10","Concepción","p81",2010,1026374.57807969
"122","Hombre","10","Concepción","p81",2012,417948.292738786
"123","Hombre","10","Copiapó","p31",2010,412876.989047971
"124","Hombre","10","Copiapó","p31",2012,748912.163069993
"125","Hombre","10","Cordillera","p152",2010,639690.347467138
"126","Hombre","10","Cordillera","p152",2012,786033.086196896
"127","Hombre","10","Coyhaique","p111",2010,661587.425835034
"128","Hombre","10","Coyhaique","p111",2012,653089.474774046
"129","Hombre","10","Curicó","p73",2010,290283.812879232
"130","Hombre","10","Curicó","p73",2012,754215.812753408
"131","Hombre","10","El Loa","p22",2012,313782.146246715
"132","Hombre","10","Elqui","p41",2010,264016.073272315
"133","Hombre","10","Elqui","p41",2012,692906.96048483
"134","Hombre","10","Huasco","p33",2010,599589.643380557
"135","Hombre","10","Huasco","p33",2012,250000
"136","Hombre","10","Iquique","p11",2010,1021432.08240976
"137","Hombre","10","Iquique","p11",2012,485622.957575584
"138","Hombre","10","Limarí","p43",2012,452529.487652045
"139","Hombre","10","Linares","p74",2010,489664.875427455
"140","Hombre","10","Linares","p74",2012,788933.349282026
"141","Hombre","10","Llanquihue","p101",2010,635124.220342133
"142","Hombre","10","Llanquihue","p101",2012,657887.963525009
"143","Hombre","10","Los Andes","p53",2010,841394.158117885
"144","Hombre","10","Los Andes","p53",2012,512879.776167342
"145","Hombre","10","Magallanes","p121",2010,1624656.25348271
"146","Hombre","10","Magallanes","p121",2012,1464054.23458079
"147","Hombre","10","Maipo","p134",2010,473585.500911215
"148","Hombre","10","Maipo","p134",2012,399503.495833629
"149","Hombre","10","Malleco","p92",2010,521722.742569749
"150","Hombre","10","Malleco","p92",2012,425193.465176268
"151","Hombre","10","Marga Marga","p58",2010,240624.090227368
"152","Hombre","10","Marga Marga","p58",2012,658660.561369345
"153","Hombre","10","Melipilla","p135",2010,500489.3325504
"154","Hombre","10","Melipilla","p135",2012,614321.707932423
"155","Hombre","10","Ñuble","p84",2010,520718.928515726
"156","Hombre","10","Ñuble","p84",2012,781284.621513532
"157","Hombre","10","Osorno","p103",2010,577621.306770942
"158","Hombre","10","Osorno","p103",2012,502810.541835605
"159","Hombre","10","Petorca","p54",2010,934414.845907913
"160","Hombre","10","Petorca","p54",2012,1106183.19203833
"161","Hombre","10","Quillota","p55",2010,875759.688679962
"162","Hombre","10","Quillota","p55",2012,942589.590437073
"163","Hombre","10","San Antonio","p56",2010,268753.723751788
"164","Hombre","10","San Antonio","p56",2012,1580893.33492286
"165","Hombre","10","San Felipe","p57",2010,604160.445715144
"166","Hombre","10","San Felipe","p57",2012,310725.289405479
"167","Hombre","10","Santiago","p131",2010,1059799.64684703
