"","sex","geography_name","geography_id","year","weighted_mean"
"1","Hombre","Antofagasta","p21",2010,546773.043514568
"2","Hombre","Antofagasta","p21",2011,577413.749939325
"3","Hombre","Antofagasta","p21",2012,646024.676909768
"4","Hombre","Antofagasta","p21",2013,662962.186008738
"5","Hombre","Antofagasta","p21",2014,681098.003029027
"6","Hombre","Antofagasta","p21",2015,785922.378236271
"7","Hombre","Arauco","p82",2010,267183.141741385
"8","Hombre","Arauco","p82",2011,257051.10561565
"9","Hombre","Arauco","p82",2012,309302.197263355
"10","Hombre","Arauco","p82",2013,306468.291107373
"11","Hombre","Arauco","p82",2014,323551.433578844
"12","Hombre","Arauco","p82",2015,333237.614195029
"13","Hombre","Arica","p151",2010,355210.008698666
"14","Hombre","Arica","p151",2011,369353.318800748
"15","Hombre","Arica","p151",2012,476330.399064892
"16","Hombre","Arica","p151",2013,399215.933628194
"17","Hombre","Arica","p151",2014,427456.587330667
"18","Hombre","Arica","p151",2015,485925.89642523
"19","Hombre","Aysén","p112",2010,549212.479957512
"20","Hombre","Aysén","p112",2011,526768.35279448
"21","Hombre","Aysén","p112",2012,585617.858581872
"22","Hombre","Aysén","p112",2013,606825.802541797
"23","Hombre","Aysén","p112",2014,621758.254663638
"24","Hombre","Aysén","p112",2015,689423.625434611
"25","Hombre","Bíobío","p83",2010,319675.646611726
"26","Hombre","Bíobío","p83",2011,323326.188657172
"27","Hombre","Bíobío","p83",2012,340826.299921889
"28","Hombre","Bíobío","p83",2013,386378.01086592
"29","Hombre","Bíobío","p83",2014,387716.147120754
"30","Hombre","Bíobío","p83",2015,462459.878781613
"31","Hombre","Cachapoal","p61",2010,391362.281421009
"32","Hombre","Cachapoal","p61",2011,369097.788203926
"33","Hombre","Cachapoal","p61",2012,404236.834234118
"34","Hombre","Cachapoal","p61",2013,431128.997413065
"35","Hombre","Cachapoal","p61",2014,451739.449229946
"36","Hombre","Cachapoal","p61",2015,508740.582609853
"37","Hombre","Capitán Prat","p113",2010,681944.779293467
"38","Hombre","Capitán Prat","p113",2011,671044.95891402
"39","Hombre","Capitán Prat","p113",2012,518182.345152127
"40","Hombre","Capitán Prat","p113",2013,503125
"41","Hombre","Capitán Prat","p113",2014,532555.555555555
"42","Hombre","Cardenal Caro","p62",2010,229253.660281496
"43","Hombre","Cardenal Caro","p62",2011,280717.277771259
"44","Hombre","Cardenal Caro","p62",2012,342967.763607616
"45","Hombre","Cardenal Caro","p62",2013,427955.040650855
"46","Hombre","Cardenal Caro","p62",2014,386115.441827658
"47","Hombre","Cardenal Caro","p62",2015,381705.460613724
"48","Hombre","Cauquenes","p72",2010,195537.307129585
"49","Hombre","Cauquenes","p72",2011,241849.415930223
"50","Hombre","Cauquenes","p72",2012,258481.758069079
"51","Hombre","Cauquenes","p72",2013,290746.627275704
"52","Hombre","Cauquenes","p72",2014,311094.988105683
"53","Hombre","Cauquenes","p72",2015,306677.973948055
"54","Hombre","Cautín","p91",2010,293020.261732942
"55","Hombre","Cautín","p91",2011,324107.278973413
"56","Hombre","Cautín","p91",2012,337878.332544736
"57","Hombre","Cautín","p91",2013,354882.12113916
"58","Hombre","Cautín","p91",2014,405292.761335762
"59","Hombre","Cautín","p91",2015,434394.469185906
"60","Hombre","Chacabuco","p133",2010,432874.235163493
"61","Hombre","Chacabuco","p133",2011,620132.86249027
"62","Hombre","Chacabuco","p133",2012,813750.099790398
"63","Hombre","Chacabuco","p133",2013,678422.334984221
"64","Hombre","Chacabuco","p133",2014,663994.651441657
"65","Hombre","Chacabuco","p133",2015,656914.663007401
"66","Hombre","Chañaral","p32",2010,420592.935056973
"67","Hombre","Chañaral","p32",2011,499648.435516439
"68","Hombre","Chañaral","p32",2012,526776.954722723
"69","Hombre","Chañaral","p32",2013,673860.73370075
"70","Hombre","Chañaral","p32",2014,535704.264088494
"71","Hombre","Chañaral","p32",2015,564442.315295834
"72","Hombre","Chiloé","p102",2010,268116.387388541
"73","Hombre","Chiloé","p102",2011,294970.380078708
"74","Hombre","Chiloé","p102",2012,380923.650767475
"75","Hombre","Chiloé","p102",2013,349250.855284729
"76","Hombre","Chiloé","p102",2014,422314.953482214
"77","Hombre","Chiloé","p102",2015,420991.81171179
"78","Hombre","Choapa","p42",2010,357644.426979663
"79","Hombre","Choapa","p42",2011,326339.172279828
"80","Hombre","Choapa","p42",2012,350371.704863216
"81","Hombre","Choapa","p42",2013,431150.731687681
"82","Hombre","Choapa","p42",2014,420343.739015818
"83","Hombre","Choapa","p42",2015,488004.470598653
"84","Hombre","Colchagua","p63",2010,286254.223622065
"85","Hombre","Colchagua","p63",2011,323223.118737019
"86","Hombre","Colchagua","p63",2012,342930.153104103
"87","Hombre","Colchagua","p63",2013,368791.559513555
"88","Hombre","Colchagua","p63",2014,340706.683519524
"89","Hombre","Colchagua","p63",2015,353906.608682743
"90","Hombre","Concepción","p81",2010,373214.098774352
"91","Hombre","Concepción","p81",2011,424359.753026891
"92","Hombre","Concepción","p81",2012,404180.311824126
"93","Hombre","Concepción","p81",2013,443230.590521864
"94","Hombre","Concepción","p81",2014,481759.696980487
"95","Hombre","Concepción","p81",2015,514048.88755277
"96","Hombre","Copiapó","p31",2010,501013.867897478
"97","Hombre","Copiapó","p31",2011,551399.057293385
"98","Hombre","Copiapó","p31",2012,484082.16382986
"99","Hombre","Copiapó","p31",2013,638638.29129254
"100","Hombre","Copiapó","p31",2014,620393.887487936
"101","Hombre","Copiapó","p31",2015,694548.162290458
"102","Hombre","Cordillera","p152",2010,379306.793160355
"103","Hombre","Cordillera","p152",2011,399567.94643317
"104","Hombre","Cordillera","p152",2012,504400.518806862
"105","Hombre","Cordillera","p152",2013,479899.234549144
"106","Hombre","Cordillera","p152",2014,513269.097369099
"107","Hombre","Cordillera","p152",2015,581168.384480856
"108","Hombre","Coyhaique","p111",2010,468537.524486307
"109","Hombre","Coyhaique","p111",2011,496005.337947273
"110","Hombre","Coyhaique","p111",2012,493005.423013121
"111","Hombre","Coyhaique","p111",2013,504637.965898354
"112","Hombre","Coyhaique","p111",2014,579324.59270264
"113","Hombre","Coyhaique","p111",2015,723705.7252352
"114","Hombre","Curicó","p73",2010,315417.837633503
"115","Hombre","Curicó","p73",2011,311946.151569197
"116","Hombre","Curicó","p73",2012,326290.914940516
"117","Hombre","Curicó","p73",2013,350150.833793107
"118","Hombre","Curicó","p73",2014,391949.130171856
"119","Hombre","Curicó","p73",2015,459840.629460597
"120","Hombre","El Loa","p22",2010,681463.047755128
"121","Hombre","El Loa","p22",2011,789786.380864955
"122","Hombre","El Loa","p22",2012,804061.931165534
"123","Hombre","El Loa","p22",2013,1077359.81027356
"124","Hombre","El Loa","p22",2014,1007919.28877344
"125","Hombre","El Loa","p22",2015,987808.495689964
"126","Hombre","Elqui","p41",2010,432005.21535526
