"","sex","geography_name","geography_id","year","weighted_mean"
"1","Hombre","Antofagasta","2",2010,585124.878946706
"2","Hombre","Antofagasta","2",2011,630045.270246909
"3","Hombre","Antofagasta","2",2012,686178.793279275
"4","Hombre","Antofagasta","2",2013,761768.189226889
"5","Hombre","Antofagasta","2",2014,764430.556984946
"6","Hombre","Antofagasta","2",2015,825950.712748348
"7","Hombre","Araucanía","9",2010,288252.184982315
"8","Hombre","Araucanía","9",2011,325547.575840329
"9","Hombre","Araucanía","9",2012,342774.366076797
"10","Hombre","Araucanía","9",2013,350601.484624839
"11","Hombre","Araucanía","9",2014,395854.569915407
"12","Hombre","Araucanía","9",2015,420294.322817509
"13","Hombre","Arica y Parinacota","15",2010,351238.390632357
"14","Hombre","Arica y Parinacota","15",2011,365894.622649381
"15","Hombre","Arica y Parinacota","15",2012,471399.577545403
"16","Hombre","Arica y Parinacota","15",2013,398206.234332179
"17","Hombre","Arica y Parinacota","15",2014,425878.843859266
"18","Hombre","Arica y Parinacota","15",2015,483835.725225734
"19","Hombre","Atacama","3",2010,453941.570139965
"20","Hombre","Atacama","3",2011,501258.263918655
"21","Hombre","Atacama","3",2012,472040.359757175
"22","Hombre","Atacama","3",2013,579108.164243048
"23","Hombre","Atacama","3",2014,559497.400008589
"24","Hombre","Atacama","3",2015,624361.130087591
"25","Hombre","Aysén","11",2010,497531.472321641
"26","Hombre","Aysén","11",2011,512072.395438345
"27","Hombre","Aysén","11",2012,529559.120958534
"28","Hombre","Aysén","11",2013,547696.791513156
"29","Hombre","Aysén","11",2014,579549.31162701
"30","Hombre","Aysén","11",2015,691213.640242509
"31","Hombre","Bíobío","8",2010,327708.391266312
"32","Hombre","Bíobío","8",2011,376592.858294131
"33","Hombre","Bíobío","8",2012,389490.148425319
"34","Hombre","Bíobío","8",2013,408449.267582689
"35","Hombre","Bíobío","8",2014,437116.417677673
"36","Hombre","Bíobío","8",2015,492616.483187078
"37","Hombre","Coquimbo","4",2010,391460.281099588
"38","Hombre","Coquimbo","4",2011,406111.19842114
"39","Hombre","Coquimbo","4",2012,448093.57726553
"40","Hombre","Coquimbo","4",2013,482690.571226746
"41","Hombre","Coquimbo","4",2014,489321.410599185
"42","Hombre","Coquimbo","4",2015,514413.005731411
"43","Hombre","Los Lagos","10",2010,327817.799106702
"44","Hombre","Los Lagos","10",2011,374644.636072831
"45","Hombre","Los Lagos","10",2012,453170.177800119
"46","Hombre","Los Lagos","10",2013,431683.393954654
"47","Hombre","Los Lagos","10",2014,510988.76100949
"48","Hombre","Los Lagos","10",2015,565736.618174206
"49","Hombre","Los Ríos","14",2010,307629.278027953
"50","Hombre","Los Ríos","14",2011,324173.053845784
"51","Hombre","Los Ríos","14",2012,393518.113771619
"52","Hombre","Los Ríos","14",2013,392976.611150026
"53","Hombre","Los Ríos","14",2014,394759.447552272
"54","Hombre","Los Ríos","14",2015,437659.580925929
"55","Hombre","Magallanes","12",2010,728751.214851053
"56","Hombre","Magallanes","12",2011,773726.107887347
"57","Hombre","Magallanes","12",2012,709720.413164266
"58","Hombre","Magallanes","12",2013,756068.099475887
"59","Hombre","Magallanes","12",2014,696086.74902722
"60","Hombre","Magallanes","12",2015,818846.152833175
"61","Hombre","Maule","7",2010,270326.110509997
"62","Hombre","Maule","7",2011,305636.797696011
"63","Hombre","Maule","7",2012,315742.175810407
"64","Hombre","Maule","7",2013,361965.60574767
"65","Hombre","Maule","7",2014,388326.588271091
