"","sex","work_day","geography_name","geography_id","year","weighted_mean"
"1","Hombre","Completa","Antofagasta","2",2010,616704.641243421
"2","Hombre","Completa","Antofagasta","2",2011,648318.869650563
"3","Hombre","Completa","Antofagasta","2",2012,706263.32893195
"4","Hombre","Completa","Antofagasta","2",2013,785490.518800975
"5","Hombre","Completa","Antofagasta","2",2014,796313.674063427
"6","Hombre","Completa","Antofagasta","2",2015,856088.744686205
"7","Hombre","Completa","Araucanía","9",2010,324830.283985891
"8","Hombre","Completa","Araucanía","9",2011,348623.854521206
"9","Hombre","Completa","Araucanía","9",2012,387473.377199137
"10","Hombre","Completa","Araucanía","9",2013,389110.832689628
"11","Hombre","Completa","Araucanía","9",2014,426001.738279573
"12","Hombre","Completa","Araucanía","9",2015,452687.388765522
"13","Hombre","Completa","Arica y Parinacota","15",2010,363863.368977306
"14","Hombre","Completa","Arica y Parinacota","15",2011,385991.566437943
"15","Hombre","Completa","Arica y Parinacota","15",2012,504613.550501628
"16","Hombre","Completa","Arica y Parinacota","15",2013,423540.796056763
"17","Hombre","Completa","Arica y Parinacota","15",2014,450557.316923096
"18","Hombre","Completa","Arica y Parinacota","15",2015,508249.574541642
"19","Hombre","Completa","Atacama","3",2010,463225.373682717
"20","Hombre","Completa","Atacama","3",2011,522937.117206172
"21","Hombre","Completa","Atacama","3",2012,495181.271114699
"22","Hombre","Completa","Atacama","3",2013,605822.59264261
"23","Hombre","Completa","Atacama","3",2014,589248.119237875
"24","Hombre","Completa","Atacama","3",2015,653605.594731346
"25","Hombre","Completa","Aysén","11",2010,528288.239745687
"26","Hombre","Completa","Aysén","11",2011,548679.296113566
"27","Hombre","Completa","Aysén","11",2012,556772.101282401
"28","Hombre","Completa","Aysén","11",2013,575706.598336614
"29","Hombre","Completa","Aysén","11",2014,608575.026036346
"30","Hombre","Completa","Aysén","11",2015,751843.726200116
"31","Hombre","Completa","Bíobío","8",2010,353103.616701994
"32","Hombre","Completa","Bíobío","8",2011,399588.396831568
"33","Hombre","Completa","Bíobío","8",2012,411446.146783889
"34","Hombre","Completa","Bíobío","8",2013,433570.622572089
"35","Hombre","Completa","Bíobío","8",2014,472111.34987528
"36","Hombre","Completa","Bíobío","8",2015,534885.21596795
"37","Hombre","Completa","Coquimbo","4",2010,407998.039697905
"38","Hombre","Completa","Coquimbo","4",2011,423358.374027211
"39","Hombre","Completa","Coquimbo","4",2012,475970.261627467
"40","Hombre","Completa","Coquimbo","4",2013,510139.469204837
"41","Hombre","Completa","Coquimbo","4",2014,532884.474605194
"42","Hombre","Completa","Coquimbo","4",2015,560558.287819249
"43","Hombre","Completa","Los Lagos","10",2010,365079.93676889
"44","Hombre","Completa","Los Lagos","10",2011,413922.792640291
"45","Hombre","Completa","Los Lagos","10",2012,503899.126932769
"46","Hombre","Completa","Los Lagos","10",2013,472504.146379008
"47","Hombre","Completa","Los Lagos","10",2014,554854.111887218
"48","Hombre","Completa","Los Lagos","10",2015,613366.191238382
"49","Hombre","Completa","Los Ríos","14",2010,351926.043850953
"50","Hombre","Completa","Los Ríos","14",2011,360212.424610052
"51","Hombre","Completa","Los Ríos","14",2012,441202.313231291
"52","Hombre","Completa","Los Ríos","14",2013,423715.861500049
"53","Hombre","Completa","Los Ríos","14",2014,438469.156321849
"54","Hombre","Completa","Los Ríos","14",2015,491741.513763404
"55","Hombre","Completa","Magallanes","12",2010,744604.037966642
"56","Hombre","Completa","Magallanes","12",2011,797618.173666186
"57","Hombre","Completa","Magallanes","12",2012,744113.670173484
"58","Hombre","Completa","Magallanes","12",2013,754339.659838953
"59","Hombre","Completa","Magallanes","12",2014,735754.031778527
"60","Hombre","Completa","Magallanes","12",2015,846604.988284474
"61","Hombre","Completa","Maule","7",2010,284224.855349336
"62","Hombre","Completa","Maule","7",2011,322790.739106126
"63","Hombre","Completa","Maule","7",2012,332862.240924085
"64","Hombre","Completa","Maule","7",2013,377312.095537311
"65","Hombre","Completa","Maule","7",2014,397967.300843907
"66","Hombre","Completa","Maule","7",2015,460938.448932559
"67","Hombre","Completa","Metropolitana","13",2010,532269.077946767
"68","Hombre","Completa","Metropolitana","13",2011,571989.701542813
"69","Hombre","Completa","Metropolitana","13",2012,634749.392868999
"70","Hombre","Completa","Metropolitana","13",2013,677007.84088917
"71","Hombre","Completa","Metropolitana","13",2014,663119.969834719
"72","Hombre","Completa","Metropolitana","13",2015,717412.447458811
"73","Hombre","Completa","O'Higgins","6",2010,370326.152439408
"74","Hombre","Completa","O'Higgins","6",2011,364394.900695408
"75","Hombre","Completa","O'Higgins","6",2012,402025.92426633
"76","Hombre","Completa","O'Higgins","6",2013,424176.663938649
"77","Hombre","Completa","O'Higgins","6",2014,431516.00232976
"78","Hombre","Completa","O'Higgins","6",2015,476662.746202309
"79","Hombre","Completa","Tarapacá","1",2010,526835.354773055
"80","Hombre","Completa","Tarapacá","1",2011,501548.863457374
"81","Hombre","Completa","Tarapacá","1",2012,565305.751146235
"82","Hombre","Completa","Tarapacá","1",2013,654101.032200097
"83","Hombre","Completa","Tarapacá","1",2014,643281.226630715
"84","Hombre","Completa","Tarapacá","1",2015,739532.928821465
"85","Hombre","Completa","Valparaíso","5",2010,399497.416516931
"86","Hombre","Completa","Valparaíso","5",2011,464480.784099751
"87","Hombre","Completa","Valparaíso","5",2012,507723.265397045
"88","Hombre","Completa","Valparaíso","5",2013,544985.511375167
"89","Hombre","Completa","Valparaíso","5",2014,592307.393722308
"90","Hombre","Completa","Valparaíso","5",2015,587284.501738923
"91","Hombre","Completa",NA,NA,2010,252092.829153373
"92","Hombre","Completa",NA,NA,2011,282592.443599165
"93","Hombre","Completa",NA,NA,2012,344641.778755998
"94","Hombre","Parcial","Antofagasta","2",2010,219528.789640272
"95","Hombre","Parcial","Antofagasta","2",2011,265646.080851029
"96","Hombre","Parcial","Antofagasta","2",2012,333522.096072793
"97","Hombre","Parcial","Antofagasta","2",2013,363995.293739466
"98","Hombre","Parcial","Antofagasta","2",2014,347046.348861294
"99","Hombre","Parcial","Antofagasta","2",2015,494852.191818043
"100","Hombre","Parcial","Araucanía","9",2010,124333.150730081
"101","Hombre","Parcial","Araucanía","9",2011,158472.394997619
"102","Hombre","Parcial","Araucanía","9",2012,127572.593788957
"103","Hombre","Parcial","Araucanía","9",2013,192964.379597111
"104","Hombre","Parcial","Araucanía","9",2014,251341.036893224
"105","Hombre","Parcial","Araucanía","9",2015,186787.638631772
"106","Hombre","Parcial","Arica y Parinacota","15",2010,217426.85786625
"107","Hombre","Parcial","Arica y Parinacota","15",2011,183345.455640493
"108","Hombre","Parcial","Arica y Parinacota","15",2012,216213.427277619
"109","Hombre","Parcial","Arica y Parinacota","15",2013,198981.645896367
"110","Hombre","Parcial","Arica y Parinacota","15",2014,206181.362946242
"111","Hombre","Parcial","Arica y Parinacota","15",2015,285187.465362801
"112","Hombre","Parcial","Atacama","3",2010,297400.085038659
"113","Hombre","Parcial","Atacama","3",2011,147701.450263339
"114","Hombre","Parcial","Atacama","3",2012,189642.557576526
"115","Hombre","Parcial","Atacama","3",2013,221576.193726293
"116","Hombre","Parcial","Atacama","3",2014,273525.256041174
"117","Hombre","Parcial","Atacama","3",2015,238146.348157927
"118","Hombre","Parcial","Aysén","11",2010,275864.244004223
