"","sex","company_size","year","weighted_median"
"1","Hombre","Menos de 5",2010,180176.159718144
"2","Hombre","Menos de 5",2011,200000
"3","Hombre","Menos de 5",2012,201124.216734242
"4","Hombre","Menos de 5",2013,249055.92519331
"5","Hombre","Menos de 5",2014,252605.647148
"6","Hombre","Menos de 5",2015,281140.89098153
"7","Hombre","De 5 a 10 personas",2010,220215.306322176
"8","Hombre","De 5 a 10 personas",2011,254184.920560308
"9","Hombre","De 5 a 10 personas",2012,289321.734530926
"10","Hombre","De 5 a 10 personas",2013,300000
"11","Hombre","De 5 a 10 personas",2014,309194.421001068
"12","Hombre","De 5 a 10 personas",2015,350094.714053763
"13","Hombre","Entre 11 y 49",2010,230225.092973184
"14","Hombre","Entre 11 y 49",2011,251208.301743745
"15","Hombre","Entre 11 y 49",2012,281573.903427939
"16","Hombre","Entre 11 y 49",2013,308829.347239705
"17","Hombre","Entre 11 y 49",2014,340000
"18","Hombre","Entre 11 y 49",2015,359714.808102484
"19","Hombre","Entre 50 y 199",2010,270000
"20","Hombre","Entre 50 y 199",2011,299041.083012127
"21","Hombre","Entre 50 y 199",2012,311742.535938075
"22","Hombre","Entre 50 y 199",2013,378565.006293832
"23","Hombre","Entre 50 y 199",2014,380000
"24","Hombre","Entre 50 y 199",2015,403138.90628798
"25","Hombre","200 y más personas",2010,360000
"26","Hombre","200 y más personas",2011,400000
"27","Hombre","200 y más personas",2012,452029.639175258
"28","Hombre","200 y más personas",2013,488149.613378889
"29","Hombre","200 y más personas",2014,500000
"30","Hombre","200 y más personas",2015,521954.614098391
"31","Hombre",NA,2010,171882.36443576
"32","Hombre",NA,2011,180000
"33","Hombre",NA,2012,194792.271409962
"34","Hombre",NA,2013,209802.150283669
"35","Hombre",NA,2014,243685.757418218
"36","Hombre",NA,2015,281140.89098153
"37","Mujer","Menos de 5",2010,100097.86651008
"38","Mujer","Menos de 5",2011,110406.180347167
"39","Mujer","Menos de 5",2012,120541.237113402
"40","Mujer","Menos de 5",2013,123319.777429916
"41","Mujer","Menos de 5",2014,150696.311471769
"42","Mujer","Menos de 5",2015,150040.591737327
"43","Mujer","De 5 a 10 personas",2010,200000
"44","Mujer","De 5 a 10 personas",2011,213024.639878696
"45","Mujer","De 5 a 10 personas",2012,229000
"46","Mujer","De 5 a 10 personas",2013,249055.92519331
"47","Mujer","De 5 a 10 personas",2014,259959.895574631
"48","Mujer","De 5 a 10 personas",2015,285732.482468553
"49","Mujer","Entre 11 y 49",2010,200195.73302016
"50","Mujer","Entre 11 y 49",2011,225029.562085558
"51","Mujer","Entre 11 y 49",2012,251405.270917803
"52","Mujer","Entre 11 y 49",2013,278942.636216508
"53","Mujer","Entre 11 y 49",2014,301514.398991555
"54","Mujer","Entre 11 y 49",2015,301222.383194496
"55","Mujer","Entre 50 y 199",2010,239845.528698537
"56","Mujer","Entre 50 y 199",2011,287861.23959354
"57","Mujer","Entre 50 y 199",2012,300000
"58","Mujer","Entre 50 y 199",2013,315000
"59","Mujer","Entre 50 y 199",2014,330000
"60","Mujer","Entre 50 y 199",2015,370100.126285407
"61","Mujer","200 y más personas",2010,275269.13290272
"62","Mujer","200 y más personas",2011,301449.962092494
"63","Mujer","200 y más personas",2012,331488.402061856
"64","Mujer","200 y más personas",2013,357424.87844555
"65","Mujer","200 y más personas",2014,363752.13189312
"66","Mujer","200 y más personas",2015,400108.244632872
"67","Mujer",NA,2010,130050.124256365
"68","Mujer",NA,2011,149520.541506064
"69","Mujer",NA,2012,160000
"70","Mujer",NA,2013,179320.266139184
"71","Mujer",NA,2014,181876.06594656
"72","Mujer",NA,2015,210855.668236147
