"","sex","company_size","geography_name","geography_id","year","weighted_median"
"1","Hombre","Menos de 5","Antofagasta","p21",2010,349870.349242318
"2","Hombre","Menos de 5","Antofagasta","p21",2011,300597.683995694
"3","Hombre","Menos de 5","Antofagasta","p21",2012,322557.311190219
"4","Hombre","Menos de 5","Antofagasta","p21",2013,400000
"5","Hombre","Menos de 5","Antofagasta","p21",2014,340822.858609347
"6","Hombre","Menos de 5","Antofagasta","p21",2015,441643.323993229
"7","Hombre","Menos de 5","Arauco","p82",2010,99821.7344163715
"8","Hombre","Menos de 5","Arauco","p82",2011,100950.382464661
"9","Hombre","Menos de 5","Arauco","p82",2012,150239.390324458
"10","Hombre","Menos de 5","Arauco","p82",2013,123221.680851277
"11","Hombre","Menos de 5","Arauco","p82",2014,117303.656700757
"12","Hombre","Menos de 5","Arauco","p82",2015,171641.442925037
"13","Hombre","Menos de 5","Arica","p151",2010,179329.751335616
"14","Hombre","Menos de 5","Arica","p151",2011,180000
"15","Hombre","Menos de 5","Arica","p151",2012,200353
"16","Hombre","Menos de 5","Arica","p151",2013,250354.740423876
"17","Hombre","Menos de 5","Arica","p151",2014,252605.647148
"18","Hombre","Menos de 5","Arica","p151",2015,300081.183474654
"19","Hombre","Menos de 5","Aysén","p112",2010,216854.910110923
"20","Hombre","Menos de 5","Aysén","p112",2011,249200.902510106
"21","Hombre","Menos de 5","Aysén","p112",2012,301435.940715048
"22","Hombre","Menos de 5","Aysén","p112",2013,298867.110231973
"23","Hombre","Menos de 5","Aysén","p112",2014,304392.220289978
"24","Hombre","Menos de 5","Aysén","p112",2015,288326.671376131
"25","Hombre","Menos de 5","Bíobío","p83",2010,155151.591029941
"26","Hombre","Menos de 5","Bíobío","p83",2011,144573.766449863
"27","Hombre","Menos de 5","Bíobío","p83",2012,188981.663785762
"28","Hombre","Menos de 5","Bíobío","p83",2013,160216.900135563
"29","Hombre","Menos de 5","Bíobío","p83",2014,200000
"30","Hombre","Menos de 5","Bíobío","p83",2015,241049.161070428
"31","Hombre","Menos de 5","Cachapoal","p61",2010,200000
"32","Hombre","Menos de 5","Cachapoal","p61",2011,200000
"33","Hombre","Menos de 5","Cachapoal","p61",2012,200974.909128232
"34","Hombre","Menos de 5","Cachapoal","p61",2013,250229.829710638
"35","Hombre","Menos de 5","Cachapoal","p61",2014,279113.359614172
"36","Hombre","Menos de 5","Cachapoal","p61",2015,300081.183474654
"37","Hombre","Menos de 5","Capitán Prat","p113",2010,178633.848072616
"38","Hombre","Menos de 5","Capitán Prat","p113",2011,227340.888538659
"39","Hombre","Menos de 5","Capitán Prat","p113",2012,424972.625709731
"40","Hombre","Menos de 5","Capitán Prat","p113",2013,300000
"41","Hombre","Menos de 5","Capitán Prat","p113",2014,250000
"42","Hombre","Menos de 5","Cardenal Caro","p62",2010,139904.25012213
"43","Hombre","Menos de 5","Cardenal Caro","p62",2011,180179.206002801
"44","Hombre","Menos de 5","Cardenal Caro","p62",2012,200000
"45","Hombre","Menos de 5","Cardenal Caro","p62",2013,208042.81924385
"46","Hombre","Menos de 5","Cardenal Caro","p62",2014,221232.873613758
"47","Hombre","Menos de 5","Cardenal Caro","p62",2015,250662.221188865
"48","Hombre","Menos de 5","Cauquenes","p72",2010,149188.700047152
"49","Hombre","Menos de 5","Cauquenes","p72",2011,149520.541506064
"50","Hombre","Menos de 5","Cauquenes","p72",2012,161298.528994497
"51","Hombre","Menos de 5","Cauquenes","p72",2013,200798.540232082
"52","Hombre","Menos de 5","Cauquenes","p72",2014,200000
"53","Hombre","Menos de 5","Cauquenes","p72",2015,200021.748167588
