"","sex","icse","geography_name","geography_id","year","weighted_median"
"1","Hombre","Asalariado Sector Privado","Antofagasta","p21",2010,410401.252691328
"2","Hombre","Asalariado Sector Privado","Antofagasta","p21",2011,482319.93934799
"3","Hombre","Asalariado Sector Privado","Antofagasta","p21",2012,500000
"4","Hombre","Asalariado Sector Privado","Antofagasta","p21",2013,529356.4176847
"5","Hombre","Asalariado Sector Privado","Antofagasta","p21",2014,505211.294296
"6","Hombre","Asalariado Sector Privado","Antofagasta","p21",2015,600162.366949308
"7","Hombre","Asalariado Sector Privado","Arauco","p82",2010,249829.018075232
"8","Hombre","Asalariado Sector Privado","Arauco","p82",2011,222878.008320529
"9","Hombre","Asalariado Sector Privado","Arauco","p82",2012,251390.975650632
"10","Hombre","Asalariado Sector Privado","Arauco","p82",2013,263488.896651987
"11","Hombre","Asalariado Sector Privado","Arauco","p82",2014,299719.397076843
"12","Hombre","Asalariado Sector Privado","Arauco","p82",2015,321032.197912089
"13","Hombre","Asalariado Sector Privado","Arica","p151",2010,260000
"14","Hombre","Asalariado Sector Privado","Arica","p151",2011,251208.301743745
"15","Hombre","Asalariado Sector Privado","Arica","p151",2012,300035.05497146
"16","Hombre","Asalariado Sector Privado","Arica","p151",2013,305418.871764621
"17","Hombre","Asalariado Sector Privado","Arica","p151",2014,349934.370898181
"18","Hombre","Asalariado Sector Privado","Arica","p151",2015,391589.098152845
"19","Hombre","Asalariado Sector Privado","Aysén","p112",2010,275823.494763636
"20","Hombre","Asalariado Sector Privado","Aysén","p112",2011,338913.227413744
"21","Hombre","Asalariado Sector Privado","Aysén","p112",2012,362023.590121636
"22","Hombre","Asalariado Sector Privado","Aysén","p112",2013,349124.22834435
"23","Hombre","Asalariado Sector Privado","Aysén","p112",2014,399924.995312207
"24","Hombre","Asalariado Sector Privado","Aysén","p112",2015,400108.244632872
"25","Hombre","Asalariado Sector Privado","Bíobío","p83",2010,211867.84664776
"26","Hombre","Asalariado Sector Privado","Bíobío","p83",2011,241188.463552113
"27","Hombre","Asalariado Sector Privado","Bíobío","p83",2012,240000
"28","Hombre","Asalariado Sector Privado","Bíobío","p83",2013,293407.845819489
"29","Hombre","Asalariado Sector Privado","Bíobío","p83",2014,311886.595392175
"30","Hombre","Asalariado Sector Privado","Bíobío","p83",2015,320000
"31","Hombre","Asalariado Sector Privado","Cachapoal","p61",2010,250000
"32","Hombre","Asalariado Sector Privado","Cachapoal","p61",2011,249200.902510106
"33","Hombre","Asalariado Sector Privado","Cachapoal","p61",2012,261907.195384857
"34","Hombre","Asalariado Sector Privado","Cachapoal","p61",2013,298867.110231973
"35","Hombre","Asalariado Sector Privado","Cachapoal","p61",2014,304780.248650654
"36","Hombre","Asalariado Sector Privado","Cachapoal","p61",2015,350000
"37","Hombre","Asalariado Sector Privado","Capitán Prat","p113",2010,253379.659900794
"38","Hombre","Asalariado Sector Privado","Capitán Prat","p113",2011,324058.709249431
"39","Hombre","Asalariado Sector Privado","Capitán Prat","p113",2012,663585.654934382
"40","Hombre","Asalariado Sector Privado","Capitán Prat","p113",2013,115000
"41","Hombre","Asalariado Sector Privado","Capitán Prat","p113",2014,142500
"42","Hombre","Asalariado Sector Privado","Cardenal Caro","p62",2010,196522.998438019
"43","Hombre","Asalariado Sector Privado","Cardenal Caro","p62",2011,200966.641394996
"44","Hombre","Asalariado Sector Privado","Cardenal Caro","p62",2012,220154.299881745
"45","Hombre","Asalariado Sector Privado","Cardenal Caro","p62",2013,250000
"46","Hombre","Asalariado Sector Privado","Cardenal Caro","p62",2014,280000
"47","Hombre","Asalariado Sector Privado","Cardenal Caro","p62",2015,280619.482833002
"48","Hombre","Asalariado Sector Privado","Cauquenes","p72",2010,170127.256237967
"49","Hombre","Asalariado Sector Privado","Cauquenes","p72",2011,182129.168382613
"50","Hombre","Asalariado Sector Privado","Cauquenes","p72",2012,200902.06185567
"51","Hombre","Asalariado Sector Privado","Cauquenes","p72",2013,234919.189026519
"52","Hombre","Asalariado Sector Privado","Cauquenes","p72",2014,225000
"53","Hombre","Asalariado Sector Privado","Cauquenes","p72",2015,240997.151732115
"54","Hombre","Asalariado Sector Privado","Cautín","p91",2010,200195.73302016
"55","Hombre","Asalariado Sector Privado","Cautín","p91",2011,236594.18355547
"56","Hombre","Asalariado Sector Privado","Cautín","p91",2012,262249.080744435
"57","Hombre","Asalariado Sector Privado","Cautín","p91",2013,266978.199371903
"58","Hombre","Asalariado Sector Privado","Cautín","p91",2014,291597.040816262
"59","Hombre","Asalariado Sector Privado","Cautín","p91",2015,340411.968002143
"60","Hombre","Asalariado Sector Privado","Chacabuco","p133",2010,250000
"61","Hombre","Asalariado Sector Privado","Chacabuco","p133",2011,257027.949529944
"62","Hombre","Asalariado Sector Privado","Chacabuco","p133",2012,301353.092783505
"63","Hombre","Asalariado Sector Privado","Chacabuco","p133",2013,300399.933255802
"64","Hombre","Asalariado Sector Privado","Chacabuco","p133",2014,353647.9060072
"65","Hombre","Asalariado Sector Privado","Chacabuco","p133",2015,380000
"66","Hombre","Asalariado Sector Privado","Chañaral","p32",2010,314144.87212153
"67","Hombre","Asalariado Sector Privado","Chañaral","p32",2011,436813.535924092
"68","Hombre","Asalariado Sector Privado","Chañaral","p32",2012,488819.129980577
"69","Hombre","Asalariado Sector Privado","Chañaral","p32",2013,445721.96347243
"70","Hombre","Asalariado Sector Privado","Chañaral","p32",2014,520383.574255961
"71","Hombre","Asalariado Sector Privado","Chañaral","p32",2015,443223.674647694
"72","Hombre","Asalariado Sector Privado","Chiloé","p102",2010,202281.78424747
"73","Hombre","Asalariado Sector Privado","Chiloé","p102",2011,224174.047626921
"74","Hombre","Asalariado Sector Privado","Chiloé","p102",2012,251405.270917803
"75","Hombre","Asalariado Sector Privado","Chiloé","p102",2013,298867.110231973
"76","Hombre","Asalariado Sector Privado","Chiloé","p102",2014,299943.746484155
"77","Hombre","Asalariado Sector Privado","Chiloé","p102",2015,301222.383194496
"78","Hombre","Asalariado Sector Privado","Choapa","p42",2010,299794.821690278
"79","Hombre","Asalariado Sector Privado","Choapa","p42",2011,293719.543020156
"80","Hombre","Asalariado Sector Privado","Choapa","p42",2012,321443.298969072
"81","Hombre","Asalariado Sector Privado","Choapa","p42",2013,366937.609116899
"82","Hombre","Asalariado Sector Privado","Choapa","p42",2014,368912.487376382
"83","Hombre","Asalariado Sector Privado","Choapa","p42",2015,400659.32157117
"84","Hombre","Asalariado Sector Privado","Colchagua","p63",2010,196925.571588825
"85","Hombre","Asalariado Sector Privado","Colchagua","p63",2011,214217.239951409
"86","Hombre","Asalariado Sector Privado","Colchagua","p63",2012,221236.638407666
"87","Hombre","Asalariado Sector Privado","Colchagua","p63",2013,250338.906461818
"88","Hombre","Asalariado Sector Privado","Colchagua","p63",2014,268754.500158136
"89","Hombre","Asalariado Sector Privado","Colchagua","p63",2015,290000
"90","Hombre","Asalariado Sector Privado","Concepción","p81",2010,249829.018075232
"91","Hombre","Asalariado Sector Privado","Concepción","p81",2011,267884.290917108
"92","Hombre","Asalariado Sector Privado","Concepción","p81",2012,280000
"93","Hombre","Asalariado Sector Privado","Concepción","p81",2013,309844.897240535
"94","Hombre","Asalariado Sector Privado","Concepción","p81",2014,323335.22834944
"95","Hombre","Asalariado Sector Privado","Concepción","p81",2015,375263.701767108
"96","Hombre","Asalariado Sector Privado","Copiapó","p31",2010,349760.625305325
"97","Hombre","Asalariado Sector Privado","Copiapó","p31",2011,375748.159623461
"98","Hombre","Asalariado Sector Privado","Copiapó","p31",2012,400000
"99","Hombre","Asalariado Sector Privado","Copiapó","p31",2013,498111.850386621
"100","Hombre","Asalariado Sector Privado","Copiapó","p31",2014,500000
"101","Hombre","Asalariado Sector Privado","Copiapó","p31",2015,550148.836370199
"102","Hombre","Asalariado Sector Privado","Cordillera","p152",2010,299794.821690278
"103","Hombre","Asalariado Sector Privado","Cordillera","p152",2011,299041.083012127
"104","Hombre","Asalariado Sector Privado","Cordillera","p152",2012,398178.426910807
"105","Hombre","Asalariado Sector Privado","Cordillera","p152",2013,370480.531705232
"106","Hombre","Asalariado Sector Privado","Cordillera","p152",2014,429919.369960623
"107","Hombre","Asalariado Sector Privado","Cordillera","p152",2015,455000
"108","Hombre","Asalariado Sector Privado","Coyhaique","p111",2010,249829.018075232
"109","Hombre","Asalariado Sector Privado","Coyhaique","p111",2011,300000
"110","Hombre","Asalariado Sector Privado","Coyhaique","p111",2012,289877.425100759
"111","Hombre","Asalariado Sector Privado","Coyhaique","p111",2013,318786.541931077
"112","Hombre","Asalariado Sector Privado","Coyhaique","p111",2014,332495.979592843
"113","Hombre","Asalariado Sector Privado","Coyhaique","p111",2015,400108.244632872
"114","Hombre","Asalariado Sector Privado","Curicó","p73",2010,195940.126256745
"115","Hombre","Asalariado Sector Privado","Curicó","p73",2011,199360.722008085
"116","Hombre","Asalariado Sector Privado","Curicó","p73",2012,233389.001907728
"117","Hombre","Asalariado Sector Privado","Curicó","p73",2013,259191.683252101
"118","Hombre","Asalariado Sector Privado","Curicó","p73",2014,262709.87303392
"119","Hombre","Asalariado Sector Privado","Curicó","p73",2015,320086.595706298
"120","Hombre","Asalariado Sector Privado","El Loa","p22",2010,406298.603646091
"121","Hombre","Asalariado Sector Privado","El Loa","p22",2011,450000
"122","Hombre","Asalariado Sector Privado","El Loa","p22",2012,602706.18556701
"123","Hombre","Asalariado Sector Privado","El Loa","p22",2013,687408.91053405
"124","Hombre","Asalariado Sector Privado","El Loa","p22",2014,599887.492968311
"125","Hombre","Asalariado Sector Privado","El Loa","p22",2015,600067.672451417
"126","Hombre","Asalariado Sector Privado","Elqui","p41",2010,254374.841939571
"127","Hombre","Asalariado Sector Privado","Elqui","p41",2011,299041.083012127
"128","Hombre","Asalariado Sector Privado","Elqui","p41",2012,361623.711340206
"129","Hombre","Asalariado Sector Privado","Elqui","p41",2013,373052.175462216
