"","sex","isced","year","weighted_median"
"1","Hombre","Doctorado",2010,1300846.38537276
"2","Hombre","Doctorado",2011,1872332.50404371
"3","Hombre","Doctorado",2012,1580455.83368266
"4","Hombre","Doctorado",2013,1241518.14857996
"5","Hombre","Doctorado",2014,1569072.72163896
"6","Hombre","Doctorado",2015,2211523.91396187
"7","Hombre","Educación preescolar",2010,167066.778790557
"8","Hombre","Educación preescolar",2011,185413.289408747
"9","Hombre","Educación Preescolar",2012,190419.003005376
"10","Hombre","Educación Preescolar",2013,226986.47308249
"11","Hombre","Educación Preescolar",2014,180103.0713506
"12","Hombre","Educación Preescolar",2015,243770.015785301
"13","Hombre","Educación primaria (nivel 1)",2010,169883.732291158
"14","Hombre","Educación primaria (nivel 1)",2011,182000
"15","Hombre","Educación Primaria (nivel 1)",2012,196096.111315886
"16","Hombre","Educación Primaria (nivel 1)",2013,210284.681427927
"17","Hombre","Educación Primaria (nivel 1)",2014,225000
"18","Hombre","Educación Primaria (nivel 1)",2015,245998.279608838
"19","Hombre","Educación primaria (nivel 2)",2010,190185.946369152
"20","Hombre","Educación primaria (nivel 2)",2011,200966.641394996
"21","Hombre","Educación Primaria (nivel 2)",2012,219406.302976861
"22","Hombre","Educación Primaria (nivel 2)",2013,250000
"23","Hombre","Educación Primaria (nivel 2)",2014,262709.87303392
"24","Hombre","Educación Primaria (nivel 2)",2015,288024.627677207
"25","Hombre","Educación secundaria",2010,249829.018075232
"26","Hombre","Educación secundaria",2011,263266.300227445
"27","Hombre","Educación Secundaria",2012,301353.092783505
"28","Hombre","Educación Secundaria",2013,322148.253489787
"29","Hombre","Educación Secundaria",2014,349934.370898181
"30","Hombre","Educación Secundaria",2015,368422.26724566
"31","Hombre","Educación Técnica (Educación Superior no Universitaria)",2010,358839.499158637
"32","Hombre","Educación Técnica (Educación Superior no Universitaria)",2011,401933.282789992
"33","Hombre","Educación Técnica (Educación Superior no Universitaria)",2012,412304.644305196
"34","Hombre","Educación Técnica (Educación Superior no Universitaria)",2013,469494.32484461
"35","Hombre","Educación Técnica (Educación Superior no Universitaria)",2014,489595.352891982
"36","Hombre","Educación Técnica (Educación Superior no Universitaria)",2015,500135.30579109
"37","Hombre","Educación universitaria",2010,664431.120398318
"38","Hombre","Educación universitaria",2011,602899.924184988
"39","Hombre","Educación Universitaria",2012,703157.216494845
"40","Hombre","Educación Universitaria",2013,718576.651464072
"41","Hombre","Educación Universitaria",2014,759857.491093194
"42","Hombre","Educación Universitaria",2015,800000
"43","Hombre","Nivel ignorado",2010,230171.602796389
"44","Hombre","Nivel ignorado",2011,251400.604796496
"45","Hombre","Nivel ignorado",2012,247108.989811248
"46","Hombre","Nivel ignorado",2013,298867.110231973
"47","Hombre","Nivel ignorado",2014,280475.247631204
