"","sex","isced","geography_name","geography_id","year","weighted_median"
"1","Hombre","Doctorado","Antofagasta",2,2010,1931398.0166428
"2","Hombre","Doctorado","Antofagasta",2,2011,1939624.11809461
"3","Hombre","Doctorado","Antofagasta",2,2012,2500000
"4","Hombre","Doctorado","Antofagasta",2,2013,925788.438095875
"5","Hombre","Doctorado","Antofagasta",2,2014,1999767.23175197
"6","Hombre","Doctorado","Antofagasta",2,2015,2500000
"7","Hombre","Doctorado","Araucanía",9,2010,3297192.46689577
"8","Hombre","Doctorado","Araucanía",9,2012,950790.345842796
"9","Hombre","Doctorado","Araucanía",9,2013,2332433.478221
"10","Hombre","Doctorado","Araucanía",9,2014,1756361.11059758
"11","Hombre","Doctorado","Araucanía",9,2015,1672796.53655733
"12","Hombre","Doctorado","Arica y Parinacota",15,2010,1598905.71568148
"13","Hombre","Doctorado","Arica y Parinacota",15,2011,1348362.28805114
"14","Hombre","Doctorado","Arica y Parinacota",15,2012,1500000
"15","Hombre","Doctorado","Arica y Parinacota",15,2015,2451866.32994353
"16","Hombre","Doctorado","Atacama",3,2011,2512083.01743745
"17","Hombre","Doctorado","Atacama",3,2012,1736707.61150018
"18","Hombre","Doctorado","Bíobío",8,2010,632995.771257377
"19","Hombre","Doctorado","Bíobío",8,2011,1763335.57448189
"20","Hombre","Doctorado","Bíobío",8,2012,2000917.08236663
"21","Hombre","Doctorado","Bíobío",8,2013,862684.206230464
"22","Hombre","Doctorado","Bíobío",8,2014,1862622.52865407
"23","Hombre","Doctorado","Bíobío",8,2015,2510186.5266208
"24","Hombre","Doctorado","Coquimbo",4,2011,2292560.58437529
"25","Hombre","Doctorado","Coquimbo",4,2012,1000000
"26","Hombre","Doctorado","Coquimbo",4,2013,567192.315020912
"27","Hombre","Doctorado","Coquimbo",4,2014,2300000
"28","Hombre","Doctorado","Coquimbo",4,2015,1150703.10001926
"29","Hombre","Doctorado","Los Lagos",10,2010,2470632.88612771
"30","Hombre","Doctorado","Los Lagos",10,2011,3154302.64451182
"31","Hombre","Doctorado","Los Lagos",10,2012,1263111.31163764
"32","Hombre","Doctorado","Los Lagos",10,2013,2357042.04280573
"33","Hombre","Doctorado","Los Lagos",10,2014,1476992.20036098
"34","Hombre","Doctorado","Los Lagos",10,2015,748486.34334475
"35","Hombre","Doctorado","Los Ríos",14,2010,1301272.26463104
"36","Hombre","Doctorado","Los Ríos",14,2011,1448191.88220104
"37","Hombre","Doctorado","Los Ríos",14,2012,1232641.35706126
"38","Hombre","Doctorado","Los Ríos",14,2013,1460489.86007952
"39","Hombre","Doctorado","Los Ríos",14,2014,1619847.48617056
"40","Hombre","Doctorado","Los Ríos",14,2015,1005036.6613073
"41","Hombre","Doctorado","Magallanes",12,2010,1283260.68737405
