"","sex","isco","geography_name","geography_id","year","weighted_median"
"1","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Algarrobo","1",2010,152209.869076695
"2","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Algarrobo","1",2012,251405.270917803
"3","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Algarrobo","1",2014,101042.2588592
"4","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen","4",2010,122539.036730403
"5","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen","4",2011,150724.981046247
"6","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen","4",2012,87363.3207226054
"7","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen","4",2013,163901.53138884
"8","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen","4",2014,80394.6524282656
"9","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen","4",2015,72290.4077741892
"10","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio","5",2010,163043.992818249
"11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio","5",2011,217668.343967035
"12","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio","5",2012,206152.322152598
"13","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio","5",2013,255320.97045503
"14","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio","5",2014,441049.316781425
"15","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio","5",2015,500000
"16","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud","6",2010,69952.125061065
"17","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud","6",2011,100114.044548777
"18","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud","6",2012,160792.230498102
"19","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud","6",2013,176364.377108461
"20","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud","6",2014,202084.5177184
"21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud","6",2015,263307.991296673
"22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Andacollo","7",2010,147731.076279381
"23","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Andacollo","7",2011,73352.8241091735
"24","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Andacollo","7",2012,102070.539992628
"25","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Andacollo","7",2014,106000.869969812
"26","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Andacollo","7",2015,87333.5552429069
"27","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Angol","8",2010,153376.805227884
"28","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Angol","8",2011,143367.401708955
"29","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Angol","8",2012,94920.4070715408
"30","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Angol","8",2013,123333
"31","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Angol","8",2014,175598.914445745
"32","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Angol","8",2015,102575.773387651
"33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","9",2012,302620.576357675
"34","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","9",2013,152078.040270316
"35","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","9",2014,189418.690164656
"36","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","9",2015,342694.93000146
"37","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antuco","10",2010,74532.4902784563
"38","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antuco","10",2011,91160.3545640889
"39","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antuco","10",2012,78223.9932239932
"40","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antuco","10",2013,118500
"41","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antuco","10",2014,99981.2488280518
"42","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antuco","10",2015,110029.76727404
"43","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","11",2010,48077.9289933033
