"","sex","isco","year","weighted_median"
"1","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,149897.410845139
"2","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,169456.613706872
"3","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,181011.795060818
"4","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,190257.568910981
"5","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,200000
"6","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,220182.591260006
"7","Hombre","Empleados de oficina",2010,299794.821690278
"8","Hombre","Empleados de oficina",2011,308483.794541319
"9","Hombre","Empleados de oficina",2012,351578.608247422
"10","Hombre","Empleados de oficina",2013,372010.538237348
"11","Hombre","Empleados de oficina",2014,400000
"12","Hombre","Empleados de oficina",2015,400108.244632872
"13","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2010,1000978.6651008
"14","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2011,1086492.89771394
"15","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2012,1205412.37113402
"16","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2013,1210005.42333325
"17","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2014,1307043.11318114
"18","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2015,1500405.91737327
"19","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2010,230328.309705521
"20","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2011,251208.301743745
"21","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2012,300000
"22","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2013,300406.687754181
"23","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2014,323335.22834944
"24","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2015,351426.113726912
"25","Hombre","Operadores de instalaciones y máquinas y montadores",2010,280000
"26","Hombre","Operadores de instalaciones y máquinas y montadores",2011,301449.962092494
"27","Hombre","Operadores de instalaciones y máquinas y montadores",2012,331854.957611499
"28","Hombre","Operadores de instalaciones y máquinas y montadores",2013,350474.469046545
"29","Hombre","Operadores de instalaciones y máquinas y montadores",2014,373856.35777904
"30","Hombre","Operadores de instalaciones y máquinas y montadores",2015,400000
"31","Hombre","Otros no identificados",2010,540785.808898794
"32","Hombre","Otros no identificados",2011,550960.351767953
"33","Hombre","Otros no identificados",2012,675977.280266108
"34","Hombre","Otros no identificados",2013,616460.791848123
"35","Hombre","Otros no identificados",2014,708892.344071775
"36","Hombre","Otros no identificados",2015,763096.704092723
"37","Hombre","Profesionales científicos e intelectuales",2010,810163.558523532
"38","Hombre","Profesionales científicos e intelectuales",2011,823333.449390846
"39","Hombre","Profesionales científicos e intelectuales",2012,943125.793274045
"40","Hombre","Profesionales científicos e intelectuales",2013,951228.537058317
"41","Hombre","Profesionales científicos e intelectuales",2014,1000000
"42","Hombre","Profesionales científicos e intelectuales",2015,1039705.24198763
"43","Hombre","Técnicos y profesionales de nivel medio",2010,400000
"44","Hombre","Técnicos y profesionales de nivel medio",2011,478465.732819404
"45","Hombre","Técnicos y profesionales de nivel medio",2012,481142.950565511
"46","Hombre","Técnicos y profesionales de nivel medio",2013,537804.92648207
"47","Hombre","Técnicos y profesionales de nivel medio",2014,521704.40637411
"48","Hombre","Técnicos y profesionales de nivel medio",2015,600162.366949308
"49","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2010,224793.194584975
"50","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2011,251208.301743745
"51","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2012,280000
"52","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2013,300000
"53","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2014,303126.7765776
"54","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2015,326308.074887546
"55","Hombre","Trabajadores no calificados",2010,175879.628724963
"56","Hombre","Trabajadores no calificados",2011,199360.722008085
"57","Hombre","Trabajadores no calificados",2012,203967.97076066
"58","Hombre","Trabajadores no calificados",2013,239093.688185578
"59","Hombre","Trabajadores no calificados",2014,252605.647148
"60","Hombre","Trabajadores no calificados",2015,270073.065127189
"61","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,57152.1128178285
"62","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,70280.3808313096
"63","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,60000
"64","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,57197.72154044
"65","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,80833.80708736
"66","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,100000
"67","Mujer","Empleados de oficina",2010,235000
"68","Mujer","Empleados de oficina",2011,251208.301743745
"69","Mujer","Empleados de oficina",2012,300000
"70","Mujer","Empleados de oficina",2013,300000
"71","Mujer","Empleados de oficina",2014,314943.709060122
"72","Mujer","Empleados de oficina",2015,350000
"73","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2010,500489.3325504
"74","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2011,800000
"75","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2012,922557.024579767
"76","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2013,796978.960618594
