"","sex","isco","geography_name","geography_id","year","weighted_median"
"1","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2010,237983.791975973
"2","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2011,164687.867128644
"3","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2012,306022.68035227
"4","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2013,183525.878155019
"5","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2014,227798.206890927
"6","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2015,373072.431715034
"7","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2010,99017.938249426
"8","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2011,79744.288803234
"9","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2012,156286.207606114
"10","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2013,117135.252417864
"11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2014,119997.021321651
"12","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2015,212857.404030979
"13","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2010,208701.181959527
"14","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2011,207227.504211761
"15","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2012,205036.295598278
"16","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2013,299996.091080037
"17","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2014,300000
"18","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2015,406288.775161349
"19","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2010,219968.131491638
"20","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2011,251208.301743745
"21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2012,351267.221258468
"22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2013,279330.547672162
"23","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2014,530316.149756663
"24","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2015,284793.243100341
"25","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío","p83",2010,189870.053737176
"26","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío","p83",2011,119665.666381609
"27","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío","p83",2012,200000
"28","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío","p83",2013,153104.707204839
"29","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío","p83",2014,142926.459980428
"30","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío","p83",2015,111282.369236225
"31","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Cachapoal","p61",2010,239822.288867617
"32","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Cachapoal","p61",2011,277192.529437936
"33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Cachapoal","p61",2012,216490.703044186
"34","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Cachapoal","p61",2013,215025.358259335
"35","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Cachapoal","p61",2014,277336.981901049
"36","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Cachapoal","p61",2015,299332.301833031
"37","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Capitán Prat","p113",2010,204753.052687318
"38","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Capitán Prat","p113",2011,133000
"39","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Capitán Prat","p113",2012,266697.487113402
"40","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Cardenal Caro","p62",2010,123578.430574689
"41","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Cardenal Caro","p62",2011,163503.270675502
"42","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Cardenal Caro","p62",2012,199434.362418895
"43","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Cardenal Caro","p62",2013,190574.126868988
"44","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Cardenal Caro","p62",2014,210184.968350046
"45","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Cardenal Caro","p62",2015,299583.583894952
"46","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Cauquenes","p72",2010,79381.6094195867
"47","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Cauquenes","p72",2011,125550.171130571
"48","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Cauquenes","p72",2012,159682.820673686
