"","sex","isco","geography_name","geography_id","year","weighted_median"
"1","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",2,2010,297036.530059584
"2","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",2,2011,190330.259423156
"3","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",2,2012,305283.444662667
"4","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",2,2013,183525.878155019
"5","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",2,2014,265137.54795557
"6","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",2,2015,364794.804784097
"7","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía",9,2010,70745.6924505474
"8","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía",9,2011,68825.3473953759
"9","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía",9,2012,86995.3563693207
"10","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía",9,2013,80064.5731786158
"11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía",9,2014,111434.579819581
"12","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía",9,2015,100400.64551129
"13","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota",15,2010,180955.886054879
"14","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota",15,2011,200966.641394996
"15","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota",15,2012,200461.509987748
"16","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota",15,2013,272106.723908753
"17","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota",15,2014,284288.842272955
"18","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota",15,2015,394803.016994383
"19","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama",3,2010,183761.515594195
"20","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama",3,2011,193776.149148409
"21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama",3,2012,194385.371841826
"22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama",3,2013,230637.902402112
"23","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama",3,2014,226695.004181313
"24","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama",3,2015,256766.440238232
"25","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén",11,2010,219580.172946879
"26","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén",11,2011,249705.820950913
"27","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén",11,2012,270000
"28","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén",11,2013,250338.906461818
"29","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén",11,2014,282664.363769934
"30","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén",11,2015,301019.04514849
"31","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío",8,2010,131114.75808073
"32","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío",8,2011,143648.988119781
"33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío",8,2012,193870.489690722
"34","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío",8,2013,159243.670393879
"35","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío",8,2014,159979.347501839
"36","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío",8,2015,204317.26023641
"37","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Coquimbo",4,2010,150146.79976512
"38","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Coquimbo",4,2011,178125.85458662
"39","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Coquimbo",4,2012,150607.96965411
"40","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Coquimbo",4,2013,167010.526162302
"41","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Coquimbo",4,2014,221060.014818818
"42","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Coquimbo",4,2015,230937.160449114
"43","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Lagos",10,2010,136603.0284465
"44","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Lagos",10,2011,171454.887887654
"45","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Lagos",10,2012,150681.792678278
"46","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Lagos",10,2013,214872.471845205
"47","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Lagos",10,2014,199962.497656104
"48","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Lagos",10,2015,240000
"49","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Ríos",14,2010,130057.949438959
"50","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Ríos",14,2011,126046.71458754
"51","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Ríos",14,2012,194246.21268946
"52","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Ríos",14,2013,159395.792123719
"53","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Ríos",14,2014,179960.493419862
"54","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Ríos",14,2015,200048.616627512
"55","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Magallanes",12,2010,279986.088866209
"56","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Magallanes",12,2011,202911.388164932
"57","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Magallanes",12,2012,306982.050557851
"58","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Magallanes",12,2013,382231.209578728
"59","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Magallanes",12,2014,400000
"60","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Magallanes",12,2015,394114.524348798
"61","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Maule",7,2010,131155.598046009
"62","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Maule",7,2011,150000
"63","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Maule",7,2012,167326.515357783
"64","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Maule",7,2013,189622.729579068
"65","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Maule",7,2014,196529.010198969
"66","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Maule",7,2015,200759.093107006
"67","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Metropolitana",13,2010,168938.579520042
"68","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Metropolitana",13,2011,181418.257027357
"69","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Metropolitana",13,2012,200902.06185567
"70","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Metropolitana",13,2013,209206.977162381
"71","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Metropolitana",13,2014,227895.16869501
"72","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Metropolitana",13,2015,300000
