"","sex","isic","year","weighted_median"
"1","Hombre","1",2010,172000
"2","Hombre","1",2012,198868.493111341
"3","Hombre","10",2010,799452.857840742
"4","Hombre","10",2012,652931.701030928
"5","Hombre","11",2010,380000
"6","Hombre","11",2012,452029.639175258
"7","Hombre","12",2010,410365.806629702
"8","Hombre","12",2012,500000
"9","Hombre","13",2010,399726.428920371
"10","Hombre","13",2012,468570.803762131
"11","Hombre","14",2010,400391.46604032
"12","Hombre","14",2012,476689.207738441
"13","Hombre","15",2010,247980.917151573
"14","Hombre","15",2012,241082.474226804
"15","Hombre","16",2010,169883.732291158
"16","Hombre","16",2012,225000.054241596
"17","Hombre","17",2010,363397.537821271
"18","Hombre","17",2012,727351.522125772
"19","Hombre","2",2010,202157.961120791
"20","Hombre","2",2012,217531.904685077
"21","Hombre","3",2010,540000
"22","Hombre","3",2012,602706.18556701
"23","Hombre","4",2010,261998.363619658
"24","Hombre","4",2012,301686.325101363
"25","Hombre","5",2010,297913.148248844
"26","Hombre","5",2012,400000
"27","Hombre","6",2010,234350.877870688
"28","Hombre","6",2012,300000
"29","Hombre","8",2010,250000
"30","Hombre","8",2012,301686.325101363
"31","Hombre","9",2010,289801.660967269
"32","Hombre","9",2012,321443.298969072
"33","Hombre","Comercio al por mayor y al por menor;reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos",2010,209856.375183195
"34","Hombre","Comercio al por mayor y al por menor;reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos",2011,249185.836149823
"35","Hombre","Comercio al por mayor y al por menor;reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos",2012,279353.791993081
"36","Hombre","Comercio al por mayor y al por menor;reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos",2015,320086.595706298
"37","Hombre","Actividades inmobiliarias, empresariales y de alquiler",2011,381023.377764437
"38","Hombre","Actividades inmobiliarias, empresariales y de alquiler",2013,498111.850386621
"39","Hombre","Actividades inmobiliarias, empresariales y de alquiler",2014,500000
"40","Hombre","Actividades inmobiliarias, empresariales y de alquiler",2015,542253.158702898
"41","Hombre","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2011,438655.408699251
"42","Hombre","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2013,520347.509446509
"43","Hombre","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2014,569893.118319895
"44","Hombre","Administración pública y defensa; planes de seguridad social de afiliación obligatoria",2015,602444.766388992
"45","Hombre","Agricultura, ganadería, caza y silvicultura",2011,184408.667857479
"46","Hombre","Agricultura, ganadería, caza y silvicultura",2013,210284.681427927
"47","Hombre","Agricultura, ganadería, caza y silvicultura",2014,227345.0824332
"48","Hombre","Agricultura, ganadería, caza y silvicultura",2015,250000
"49","Hombre","Construcción",2011,251208.301743745
"50","Hombre","Construcción",2013,300000
"51","Hombre","Construcción",2014,349090.586850466
"52","Hombre","Construcción",2015,351426.113726912
"53","Hombre","Enseñanza",2011,422794.603596765
"54","Hombre","Enseñanza",2013,447395.392837893
"55","Hombre","Enseñanza",2014,500068.205753804
"56","Hombre","Enseñanza",2015,562281.781963059
"57","Hombre","Explotación de minas y canteras",2011,540000
"58","Hombre","Explotación de minas y canteras",2013,670000
"59","Hombre","Explotación de minas y canteras",2014,671289.448775797
"60","Hombre","Explotación de minas y canteras",2015,745781.06945459
"61","Hombre","Hogares privados con servicio doméstico",2011,194150.746943054
"62","Hombre","Hogares privados con servicio doméstico",2013,220000
"63","Hombre","Hogares privados con servicio doméstico",2014,259989.263478535
"64","Hombre","Hogares privados con servicio doméstico",2015,300000
"65","Hombre","Hoteles y restaurantes",2011,273233.06844881
"66","Hombre","Hoteles y restaurantes",2013,290483.385181539
"67","Hombre","Hoteles y restaurantes",2014,299990.901791468
"68","Hombre","Hoteles y restaurantes",2015,352242.413365216
"69","Hombre","Industrias manufactureras",2011,299041.083012127
"70","Hombre","Industrias manufactureras",2013,350000
"71","Hombre","Industrias manufactureras",2014,359932.495780987
"72","Hombre","Industrias manufactureras",2015,400000
"73","Hombre","Intermediación financiera",2011,602899.924184988
"74","Hombre","Intermediación financiera",2013,723788.111911899
"75","Hombre","Intermediación financiera",2014,760483.902461605
"76","Hombre","Intermediación financiera",2015,805633.573890054
"77","Hombre","Organizaciones y organos extraterritoriales",2011,936343.701879752
"78","Hombre","Otras actividades de servicios comunitarios, sociales y personales",2011,210415.541675761
"79","Hombre","Otras actividades de servicios comunitarios, sociales y personales",2013,298867.110231973
"80","Hombre","Otras actividades de servicios comunitarios, sociales y personales",2014,303126.7765776
"81","Hombre","Otras actividades de servicios comunitarios, sociales y personales",2015,296435.122337762
"82","Hombre","Pesca",2011,200966.641394996
"83","Hombre","Pesca",2013,230076.383126462
"84","Hombre","Pesca",2014,293797.418139376
"85","Hombre","Pesca",2015,301222.383194496
"86","Hombre","Servicios sociales y de salud",2011,448561.624518191
"87","Hombre","Servicios sociales y de salud",2013,465496.530759513
"88","Hombre","Servicios sociales y de salud",2014,502504.809287378
"89","Hombre","Servicios sociales y de salud",2015,600162.366949308
"90","Hombre","Suministro de electricidad, gas y agua",2011,349233.633034632
"91","Hombre","Suministro de electricidad, gas y agua",2013,377808.287856362
"92","Hombre","Suministro de electricidad, gas y agua",2014,427520.061294552
"93","Hombre","Suministro de electricidad, gas y agua",2015,502037.30532416
"94","Hombre","Transporte, almacenamiento y comunicaciones",2011,300000
"95","Hombre","Transporte, almacenamiento y comunicaciones",2013,350474.469046545
"96","Hombre","Transporte, almacenamiento y comunicaciones",2014,370000
"97","Hombre","Transporte, almacenamiento y comunicaciones",2015,400108.244632872
"98","Hombre","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres ",2013,300000
"99","Hombre","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres ",2014,303126.7765776
"100","Hombre","Organizaciones y órganos extraterritoriales",2013,566495.472103896
"101","Hombre","Organizaciones y órganos extraterritoriales",2014,459006.768554417
"102","Hombre","Organizaciones y órganos extraterritoriales",2015,1420469.2105693
"103","Mujer","1",2010,149897.410845139
"104","Mujer","1",2012,150676.546391753
"105","Mujer","10",2010,431367.203633097
"106","Mujer","10",2012,602706.18556701
"107","Mujer","11",2010,230225.092973184
"108","Mujer","11",2012,301353.092783505
"109","Mujer","12",2010,345251.191945406
"110","Mujer","12",2012,401804.12371134
"111","Mujer","13",2010,299794.821690278
"112","Mujer","13",2012,346365.407958811
"113","Mujer","14",2010,299794.821690278
"114","Mujer","14",2012,344906.427612395
"115","Mujer","15",2010,180000
"116","Mujer","15",2012,212992.675034043
"117","Mujer","16",2010,120000
"118","Mujer","16",2012,144888.524841536
"119","Mujer","17",2010,365529.740436422
"120","Mujer","17",2012,335288.341234295
"121","Mujer","2",2010,120117.439812096
"122","Mujer","2",2012,104580.524994322
